Proto-Slavic	Lower Sorbian	probability
a	a	1.0
aˀ	ˈa	1.0
ǎ	a	1.0
ẽ̂ː	ˈɪ	1.0
i	ˈi	1.0
ĭ̂	-	1.0
ĭ̌	ˈa	1.0
ǐ	ˈi	1.0
j	-	1.0
n	n	1.0
oˀ	-	1.0
ôː	ˈɔ	1.0
s	s	1.0
ûː	ˈu	1.0
x	x	1.0
z	z	1.0
ɛ	-	1.0
ɛˀ	ˈɪ	1.0
ɛː	ˈɪ	1.0
ɛ̂ː	ˈɪ	1.0
ɡ	ɡ	1.0
ɨ̌	ˈɨ	1.0
ɲ	ɲ	1.0
ʎ	-	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
d	ʑ	0.351
ê	ˈa	0.501
o	ˈɛ	0.291
ǒ	ˈɔ	0.521
t	ɕ	0.221
v	v	0.251
ĭ	-	0.652
m	m	0.372
ǒ	ɔ	0.12
t	t	0.742
ŭ	i	0.452
ɛ̌	ɛ	0.122
e	ɔ	0.173
o	ɔ	0.663
ô	ˈɛ	0.193
p	pʲ	0.613
b	bʲ	0.424
ŭ	-	0.144
ŭ	ɨ	0.404
ẽ	e	0.265
ẽ	ˈɪ	0.735
r	-	0.255
r	r	0.535
ŭ̂	ˈe	0.495
ŭ̂	-	0.505
v	vʲ	0.55
b	b	0.576
l	w	0.506
k	kʲ	0.287
l	l	0.47
ô	ˈɔ	0.807
p	p	0.387
e	ˈe	0.408
ĭ	ˈe	0.348
k	k	0.688
m	mʲ	0.628
ɛ̌	ˈɪ	0.878
d	d	0.649
e	ˈɔ	0.199
e	-	0.219
ê	ˈɔ	0.499
ǒ	ˈɛ	0.359
r	rʲ	0.209
v	ˈɔ_v	0.079
v	-	0.119
