Icelandic	Icelandic	probability
θ	t	1.0
ˈʏː	-	1.0
ˈɛː_r̥_#>	ɐ_#>	1.0
ˈɔː_n	ˈõː	1.0
ˈɔː	-	1.0
ˈɔu̯	-	1.0
ˈɔ	ˈɔ	1.0
ˈɑu̯	ˈɑ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	-	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiː_j	ˈoĩ̯	1.0
ˈi	ˈi	1.0
ˈeːi̯	ˈaː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ˈau̯_ŋ	ˈɛ̃ː	1.0
ˈau̯	ˈɛ	1.0
ˈai̯_t͡n̥	ˈĩː	1.0
ˈai̯	-	1.0
ˈa_r̥	ˈɑ	1.0
ˈa_r	ˈɑː	1.0
ʰt͡n̥	z̥_æ̆	1.0
ʰp	-	1.0
ʰk	-	1.0
ʰc	ɡ̊	1.0
ʏ_r̥_#>	#>	1.0
ɲ	-	1.0
ɣ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_#>	#>	1.0
ɟ̊ː	-	1.0
ɟ̊	ɡ̊	1.0
ɛ	-	1.0
ɑu̯	i	1.0
ŋ_ɡ̊	ŋ	1.0
ç	h	1.0
x	ʃ	1.0
v_ʏ	f	1.0
t͡n̥_#>	#>	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	ʦ	1.0
t_ʏ	s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
r̥_#>	#>	1.0
pʰ	f	1.0
n_d̥	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	v	1.0
kʰ	kʰ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈœ	ˈæː	1.0
j_ˈuː	ˈiː	1.0
j_ˈoːu̯	ˈiː	1.0
j_a	ə	1.0
h	h	1.0
f	f	1.0
cʰ	kʰ	1.0
aːu̯	ɛː	1.0
a_r̥	æ̆	1.0
a_#>	#>	1.0
<#_θ	<#_d̥	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_r̥	<#_ʀ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_v	1.0
a	ə	0.9
ʏ	æ̆	0.889
s	s	0.833
d̥	d̥	0.778
v	v	0.769
ˈɛː	-	0.75
ð	d̥	0.739
ˈɪ	ˈi	0.733
ˈuː	ˈau̯	0.727
p	f	0.667
r̥	ɐ	0.625
ʰt	t	0.6
#>	s_#>	0.6
b̥	b̥	0.579
ˈɪː	ˈi	0.571
ˈɛːi̯	ˈaː	0.571
ˈœːy̯	ˈaː	0.571
ɡ̊	-	0.556
ɪ	-	0.526
ˈoːu̯	ˈuː	0.5
ˈiː	ˈai̯	0.5
r	ʀ	0.5
n̥	ə	0.5
n̥	k_n	0.5
c	ʃ	0.5
c	-	0.5
ɪ	æ̆	0.474
ˈʏ	-	0.429
ˈɪː	-	0.429
ˈɛːi̯	-	0.429
nː	n	0.429
b̥	p	0.421
j	ˈi	0.417
j	-	0.417
r	ɐ	0.406
ˈaː	ˈa	0.4
ʰt	ʃ_t	0.4
#>	f_#>	0.4
ˈɑːu̯	ˈɑː	0.375
ˈɑːu̯	-	0.375
r̥	æ̆	0.375
k	ʃ	0.375
k	x	0.375
ˈʏ	ˈu	0.357
ˈa	ˈɑ	0.357
ˈoːu̯	ˈu	0.333
p	v̥	0.333
ˈaː	ˈɑː	0.3
ˈaː	ˈɑ	0.3
ˈɛ	ˈai̯	0.286
ˈɛ	-	0.286
ˈœːy̯	ˈoː	0.286
ˈa	-	0.286
nː	ˈe_n	0.286
nː	-	0.286
ˈuː	-	0.273
ˈɪ	-	0.267
t	z̥	0.267
t	-	0.267
ˈɛː	ˈɛ	0.25
ˈɑːu̯	j	0.25
ˈiː	ˈoi̯	0.25
ˈiː	-	0.25
k	-	0.25
ɡ̊	ɣ̊	0.222
ɡ̊	k	0.222
d̥	t	0.222
ˈʏ	ˈo	0.214
ˈa	ˈa	0.214
t	d̥	0.2
ˈoːu̯	ˈeː	0.167
j	ˈiː	0.167
v	b̥	0.154
ˈɛ	ˈɛ	0.143
ˈɛ	ˈæ	0.143
ˈɛ	ˈa	0.143
ˈœːy̯	oː	0.143
ˈa	ˈæ	0.143
t	t	0.133
t	s	0.133
ð	t	0.13
ð	-	0.13
ʏ	ɑ	0.111
s	ʃ	0.1
a	n	0.1
r	-	0.094
v	-	0.077
s	-	0.067
