Neapolitan	Emilian	probability
a	a	0.83
a	u	0.074
a	e	0.051
b	b	0.836
b	-	0.164
d	d	0.931
e	-	1.0
f	f	1.0
i	-	0.458
i	i	0.374
i	e	0.137
j	-	0.815
j	j	0.148
k	k	0.512
k	-	0.183
k	ʧ	0.133
k	ɡ	0.112
k	p	0.06
l	l	0.793
l	-	0.207
m	m	0.81
m	-	0.183
n	ŋ	0.46
n	n	0.398
n	-	0.059
o	u	0.53
o	-	0.236
o	e	0.235
p	p	0.799
p	v	0.201
r	r	0.8
r	-	0.183
s	s	0.724
s	-	0.174
s	z	0.102
t	t	0.602
t	d	0.258
t	-	0.122
u	u	0.757
u	-	0.243
v	v	0.873
v	b	0.114
w	w	0.746
w	-	0.216
ŋ	ŋ	1.0
ə	-	0.674
ə	a	0.231
ə	e	0.083
ɡ	ɡ	1.0
ɲ	ɲ	0.313
ɲ	ŋ	0.18
ɲ	b	0.177
ɲ	ð	0.105
ɲ	-	0.104
ɲ	n	0.062
ɲ	ʤ	0.06
ɾ	r	0.573
ɾ	d	0.098
ɾ	-	0.095
ɾ	r_e	0.092
ɾ	e_r	0.077
ʃ	θ	0.312
ʃ	-	0.23
ʃ	s	0.207
ʃ	z	0.201
ʎ	j	0.432
ʎ	-	0.259
ʎ	ˈɔː	0.126
ʎ	l	0.108
ʎ	b	0.075
ʤ	ð	0.678
ʤ	-	0.258
ʦ	θ	0.601
ʦ	-	0.334
ʦ	ð	0.065
ʧ	z	1.0
ˈa	ˈɛ	0.433
ˈa	ˈa	0.322
ˈa	ˈaː	0.241
ˈe	ˈa	0.692
ˈe	ˈiː	0.175
ˈe	ˈæ	0.065
ˈi	ˈe	0.398
ˈi	ˈiː	0.235
ˈi	j	0.109
ˈi	ˈa	0.092
ˈi	ˈi	0.071
ˈi	ˈiː_r	0.055
ˈo	ˈʌu̯	0.272
ˈo	-	0.167
ˈo	ˈo	0.144
ˈo	ˈɔː	0.131
ˈo	ˈaː	0.116
ˈo	ˈʌ	0.087
ˈu	ˈo	0.338
ˈu	ˈʌ	0.215
ˈu	ˈuː	0.183
ˈu	ˈʌu̯	0.158
ˈɔ	ˈɔː	0.673
ˈɔ	ˈɔ	0.131
ˈɔ	ˈʌ	0.123
ˈɛ	ˈɛ	0.446
ˈɛ	ˈa	0.136
ˈɛ	ˈæ	0.129
ˈɛ	ˈe	0.097
ˈɛ	ˈɛː	0.09
ˈɛ	-	0.062
