Logudorese	Occitan	probability
a	ɔ	0.734
a	a	0.196
b	v	0.445
b	b	0.239
b	k	0.088
b	ɡ	0.059
bː	ɣ	0.7
bː	-	0.184
bː	ɾ	0.116
d	d	0.835
d	t	0.085
d	-	0.081
e	-	0.651
e	e	0.153
e	w	0.114
ĕ	e	1.0
f	f	0.959
i	e	0.636
i	-	0.24
i	i	0.071
j	ʒ	0.471
j	j	0.311
j	ɾ	0.112
j	i	0.081
k	k	0.582
k	s	0.214
k	-	0.101
l	l	0.876
l	-	0.072
l	w	0.053
lː	l	1.0
m	m	0.827
m	ŋ	0.136
mː	b	1.0
n	n	0.609
n	-	0.345
nː	m	0.551
nː	ɲ	0.284
nː	-	0.097
nː	n	0.067
o	u	0.695
o	ɥ	0.116
o	-	0.107
o	w	0.082
ŏ	e	1.0
p	p	0.95
r	ɾ	0.384
r	-	0.293
r	r	0.206
r	l	0.106
rː	r	0.784
rː	ˈi	0.216
s	s	0.866
s	j_s	0.077
s	-	0.058
sː	s	0.601
sː	l	0.399
t	t	0.578
t	w_t	0.16
t	-	0.118
t	ʧ	0.09
t	ð	0.055
tː	t	1.0
u	-	0.826
u	e	0.131
v	ŋ	0.546
v	-	0.454
w	-	0.888
w	w	0.112
z	s	0.656
z	lː	0.099
z	ʒ	0.099
z	z	0.057
z	ʧ	0.056
ð	ð	0.401
ð	-	0.25
ð	t	0.144
ð	ɾ	0.078
ð	l	0.075
ð	z	0.052
ŋ	n	0.459
ŋ	ŋ	0.268
ŋ	-	0.185
ŋ	ɲ	0.088
ɖ	-	0.5
ɖ	ʒ	0.5
ɖː	l	1.0
ɡ	ɡ	0.388
ɡ	ʒ	0.261
ɡ	-	0.258
ɣ	-	0.214
ɣ	ʤ	0.202
ɣ	ʦ	0.182
ɣ	z	0.178
ɣ	k	0.175
ɲː	ɲ	1.0
ʣ	ʎ	0.575
ʣ	l	0.255
ʣ	-	0.17
ʦ	t	0.398
ʦ	ʦ	0.398
ʦ	s	0.203
ˈa	ˈa	0.954
ˈe	ˈɛ	0.56
ˈe	ˈe	0.281
ˈe	j_ˈɛ	0.068
ˈi	ˈi	0.516
ˈi	ˈe	0.327
ˈo	ˈɔ	0.554
ˈo	ˈu	0.237
ˈo	ɥ	0.096
ˈo	-	0.07
ˈu	ˈu	0.459
ˈu	ˈy	0.413
ˈu	ˈi	0.129
β	β	0.896
β	-	0.083
