Old French	Romansch	probability
θ	t	1.0
ˈo	w	1.0
ˈĩ_n	n	1.0
ˈĩ	ˈi	1.0
ˈẽ_n	n	1.0
ʤ_j	ʥ	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
y	-	1.0
ũ_n	n	1.0
r_ˈɔ	r_ˈa	1.0
r_t	r_t	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l	l	1.0
j_ˈe	ˈaː	1.0
j_ɲ	ɲ	1.0
j_s	ʃ	1.0
j_r	j_r	1.0
j_n	n	1.0
ĩ	u	1.0
e_s	ʃ	1.0
e	-	1.0
d	d	1.0
ã	ə	1.0
r	r	0.986
t	t	0.939
f	f	0.922
s	s	0.917
b	b	0.909
ʧ	ʨ	0.902
n	n	0.902
ə	ə	0.862
v	v	0.857
k	k	0.823
a	ə	0.82
u	u	0.763
ˈũ	ˈu	0.73
ʦ	ʧ	0.7
r_ə	ə_r	0.692
ˈu	ˈu	0.674
ˈẽ	ˈɛ	0.653
ˈa	ˈa	0.642
w	w	0.636
ˈã	ˈa	0.624
z	ʃ	0.606
w_ˈɛ	ˈɔ	0.596
r_ˈi	r_ˈiː	0.588
j_ˈɛ	ˈaː	0.578
ʤ	ʃ	0.556
ˈe	ˈaː	0.529
ˈỹ	-	0.508
ˈỹ	ˈi	0.492
ˈɔ	ˈa	0.459
ʤ	d	0.444
ˈi	ˈiː	0.424
j_ˈɛ	ˈɛ	0.422
r_ˈi	r	0.412
w_ˈɛ	ˈɔː	0.404
z	-	0.394
ˈy	ˈiː	0.385
w	-	0.364
ˈi	-	0.352
ˈẽ	j	0.347
ˈu	ˈuː	0.326
r_ə	r	0.308
ˈy	ˈo	0.29
ˈɛ	ˈɛː	0.279
j	-	0.279
j	w	0.278
ˈa	ˈaː	0.276
ˈã	ˈɔ	0.252
ˈɛ	ˈɛ	0.237
u	o	0.237
j	j	0.236
ˈe	ˈa	0.23
ˈi	ˈi	0.223
ʦ	-	0.203
a	-	0.18
k	ʨ	0.177
ˈɔ	ˈɔː	0.175
ˈɔ	-	0.167
ˈy	ˈuː	0.164
ˈũ	-	0.164
ˈy	ˈi	0.162
ˈe	ˈeː	0.149
v	-	0.131
ˈã	ˈaː	0.124
ˈɛ	-	0.119
ˈɛ	ˈe	0.117
ˈũ	ˈuː	0.106
ˈɛ	ˈa	0.102
ˈɔ	ˈɔ	0.102
ʧ	-	0.098
n	-	0.098
ˈɔ	ˈu	0.097
ʦ	s	0.096
ˈe	-	0.092
b	v	0.091
ˈɛ	ˈaː	0.09
s	ʃ	0.083
ˈa	ə	0.082
f	f_j	0.078
t	-	0.061
j	ˈa_w	0.057
ˈɛ	j_ˈɛ	0.056
j	ʥ	0.054
ə	ə_d	0.052
