English	Hessian	probability
ˈɪ_ə	ɐ	1.0
ˈɜː	ɐ	1.0
ˈɛ	ˈæː	1.0
ˈəʊ̯_n	ˈãː	1.0
ˈe_d	ˈoː_d̥	1.0
ʃ	ʃ	1.0
ɹ_ˈe	ʀ	1.0
ɫ	l	1.0
ɪ	i	1.0
ɜː	ʀ_ˈai̯	1.0
əʊ̯	-	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z	-	1.0
w_ˈiː	ˈiː	1.0
tʰ	ʦ	1.0
s_t	ʃ_d̥	1.0
p	v̥	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
n	n	0.969
s	s	0.908
w	v	0.882
ɹ	ʀ	0.842
ə	æ̆	0.836
ˈɪ	ˈi	0.776
d	d̥	0.738
ˈuː	-	0.709
θ	d̥	0.691
ˈæ	ˈɑ	0.682
pʰ	f	0.667
b	b̥	0.609
ˈɒ	-	0.596
ˈaʊ̯	ˈau̯	0.593
ʧ	kʰ	0.562
ˈɑː	ˈɑː	0.52
ɡ	ɡ̊	0.515
ˈəʊ̯	ˈaː	0.505
ˈʊ	ˈuː	0.5
ˈʊ	ˈo	0.5
ˈiː_n	ˈĩː	0.5
ˈiː_n	ɛː	0.5
ˈaɪ̯_n	ˈɑ̃i̯	0.5
ˈaɪ̯_n	ˈoĩ̯	0.5
j	ɡ̊	0.5
j	j	0.5
ɡ	k	0.485
v	v	0.463
ˈɐ	ˈu	0.455
ˈaɪ̯	ˈi	0.452
ˈəʊ̯	-	0.441
ʧ	-	0.438
ˈaʊ̯	-	0.407
ˈɒ	ˈɑ	0.404
b	p	0.391
k	k	0.382
ˈeɪ̯	ˈɑː_ɣ̊	0.36
ˈiː	ˈaː	0.34
pʰ	pʰ	0.333
ˈeɪ̯	ˈɑ	0.328
ˈɔː	-	0.314
ˈeɪ̯	ˈa	0.311
ˈɔː	ˈɔ_ɐ	0.299
ˈuː	ˈuː	0.291
k	x	0.277
t	s	0.276
ˈe	ˈe	0.272
v	-	0.272
v	v_ə	0.265
ˈɔː	ɐ	0.222
ˈiː	-	0.219
ˈe	ˈɛ	0.219
θ	t	0.215
ˈe	ˈɛː	0.187
ˈæ	-	0.186
ˈiː	ˈiː	0.186
ˈaɪ̯	ˈai̯	0.18
t	z̥	0.176
ˈɐ	ˈo	0.17
k	ɣ̊	0.169
ˈɔː	ˈa	0.166
ə	ɐ	0.164
d	t	0.164
ˈe	-	0.162
ɹ	-	0.158
t	t	0.158
t	ʦ	0.156
t	ʃ_t	0.152
ˈɐ	ˈoː	0.146
ˈiː	ˈɑː	0.143
ˈæ	ˈa	0.132
ˈɪ	-	0.127
k	ɡ̊_ə	0.122
ˈɑː	ˈæ_ɐ	0.12
ˈɑː	ˈa_l	0.12
ˈɑː	ˈa	0.12
ˈɑː	-	0.12
ˈɐ	ˈau̯	0.12
w	v_ˈɔ	0.118
ˈiː	ˈeː	0.112
ˈe	ˈi	0.11
ˈaɪ̯	-	0.107
d	-	0.099
θ	d̥_ˈɔ	0.095
s	ʃ	0.092
ˈaɪ̯	ˈɑ_x	0.07
ˈaɪ̯	ˈoi̯	0.07
t	d̥	0.064
ˈaɪ̯	j	0.061
ˈaɪ̯	x	0.058
ˈɐ	ˈõː	0.055
ˈəʊ̯	ˈɛ̃ː	0.054
ˈɐ	ˈuː	0.054
k	ʤ̥	0.051
