Palatine German	Wymysorys	probability
β	v	1.0
ˈɛ̃ː	-	1.0
ˈɛ_ɐ	ˈɑ	1.0
ˈɔ_ɐ	ˈʏ	1.0
ˈɑ̃ɪ̯	-	1.0
ˈɑ_ɐ	ˈi̯ø	1.0
ˈuː	ˈʏ	1.0
ˈõː	ˈu	1.0
ˈoː_ɐ	ˈʏ_r	1.0
ˈo	ˈø	1.0
ˈĩː	ˈi_n	1.0
ˈi	ˈɑi̯_ɡ	1.0
ˈau̯	ˈɑi̯	1.0
ʣ̥	ʦ	1.0
ɪ	ɪ	1.0
ɑ	d_a	1.0
x	x	1.0
n_ɪ	ŋ	1.0
m	m	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
eː	ɑ	1.0
ˈiː	ˈi	0.919
ˈɪ	ˈɘ̟	0.884
ˈu	ˈu	0.855
ə	a	0.846
n	n	0.836
l	w	0.806
ˈɔ	ˈu	0.767
r	r	0.767
b̥	b	0.702
d̥	t	0.698
ɡ̊	ɡ	0.639
ˈɑ	ˈɑ	0.634
ˈaɪ̯	ˈai̯	0.607
ˈɛː	ˈa	0.606
ŋ	ŋ	0.592
j	ɟ	0.583
s	s	0.571
ˈoː	ˈu	0.558
ɣ̊	ɡ̊	0.553
ʃ	ʃ	0.471
ɐ	ɛ	0.456
ɣ̊	-	0.447
ˈoː	ˈø	0.442
s	z	0.429
j	j	0.417
ŋ	ŋ_ɟ	0.408
ɐ	r	0.363
ˈeː	ˈi	0.361
ɡ̊	k	0.33
ˈɑː	ˈɔ	0.329
ˈɛ	ˈɑ	0.282
ˈɑ	ˈɔ	0.273
ˈɑː	ˈɑi̯	0.267
ˈɛː	-	0.261
ˈɛ	ˈɛ	0.249
ˈɑː	ˈi̯ø	0.236
ˈeː	ˈɘ̟	0.236
ˈɔ	ˈɔ	0.233
ˈeː	ˈei̯	0.225
ˈaɪ̯	ˈɑi̯	0.214
ʃ	x	0.202
ɐ	ə	0.182
ˈeː	ˈa	0.179
ˈaɪ̯	-	0.179
ˈɑː	-	0.168
l	l	0.159
d̥	d	0.158
ˈu	ˈʏ	0.145
d̥	d̥	0.144
n	n_d	0.137
ˈɛː	ˈɑ	0.134
ˈɛ	-	0.133
ʃ	ɡ̊	0.126
ˈɛ	ˈa	0.124
ˈɛ	ˈɘ̟	0.12
b̥	p	0.118
ˈɪ	ˈei̯	0.116
b̥	b̥	0.113
ˈɑ	ˈɛ	0.093
r	d	0.092
r	-	0.092
ˈɛ	ˈi	0.091
ʃ	ç	0.089
ə	-	0.082
ˈiː	ˈɪ	0.081
ə	n	0.072
b̥	-	0.068
ʃ	s	0.055
