Ladin	Asturian	probability
a	a	1.0
b	b	1.0
o	o	1.0
s	s	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʧ	θ	1.0
ˈu	ˈu	1.0
d	d	0.41
e	e	0.361
ɡ	ɡ	0.71
ʃ	e_s	0.501
n	ŋ	0.132
t	ʧ	0.222
ˈi	ˈe	0.082
ˈɛ	j_ˈe	0.302
f	β_u	0.193
n	n	0.653
p	p	0.83
ʒ	θ	0.3
ʨ	θ	0.193
ˈo	ˈu	0.193
ˈɔ	w_ˈe	0.503
ˈɛ	ˈe	0.413
e	ˈe_ɾ	0.194
l	ʎ	0.494
m	m	0.84
t	t_e	0.144
v	β	0.364
ˈe	ˈi	0.084
d	-	0.145
k	-	0.155
r	-	0.095
k	k	0.776
l	ʎ_u	0.056
l	-	0.096
l	l	0.246
m	m_e	0.16
n	n_u	0.116
t	t_u	0.16
v	b	0.636
d	ð	0.407
e	a	0.067
f	f	0.777
j	-	0.317
j	j	0.487
l	l_u	0.107
p	p_j	0.17
r	ɾ_u	0.117
t	t	0.387
w	β	0.057
ʒ	ʃ	0.7
ʨ	k	0.807
ˈa	ˈa	0.967
ˈo	ˈo	0.807
ˈɔ	ˈo	0.497
ˈɛ	ˈa	0.207
e	-	0.378
n	-	0.08
r	r	0.118
r	ɾ	0.588
w	w	0.468
ˈe	ˈe	0.688
ˈi	ˈi	0.918
j	ʝ	0.169
k	k_u	0.069
w	-	0.439
ɡ	ɣ	0.29
ʃ	θ	0.499
ˈe	ˈa_ɾ	0.229
