Swedish	Swedish	probability
ˈʊ	ˈu	1.0
ˈœː	-	1.0
ˈøː_ɡ	ˈœ	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæː	-	1.0
ˈyː	ˈiː	1.0
ʊ	n	1.0
ʈ	t	1.0
ʂ	ʁ_ʃ	1.0
ɳ	ʁ_n	1.0
ɪ	-	1.0
ɡː	k	1.0
ɕ	kʰ	1.0
ɔ	eː	1.0
ŋː	ŋ	1.0
ŋ	i	1.0
v_#>	b̥_#>	1.0
tʰ_r	d̥_ʁ	1.0
t	s	1.0
sː	-	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pː	f	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
k_#>	#>	1.0
jː	ˈaː	1.0
j_ˈʉː	ˈiː	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
r	ʁ	0.884
n	n	0.839
ˈɪ	ˈi	0.8
p	f	0.8
kʰ	kʰ	0.8
ˈiː	ˈiː	0.778
ˈa	ˈɒ	0.778
j	-	0.778
ɛ	ə	0.684
k	ʃ	0.667
<#	<#_ʋ	0.667
a	ə	0.66
tʰ	ʦ	0.636
ˈɑː	ˈɒ	0.625
ɧ	ʃ	0.625
v	ʋ	0.619
ˈɔ	ˈu	0.6
s	s	0.6
ˈʉː	ˈyː	0.583
ˈuː	ˈʊː	0.583
ˈʏ	ˈu	0.571
ˈoː	ˈoː	0.571
ɡ	ɡ̊	0.529
ˈɛː	-	0.5
ˈeː	ˈəi̯	0.5
nː	n	0.5
d	t	0.5
d	d̥	0.45
ˈʏ	-	0.429
ˈoː	-	0.429
ˈøː	ˈoː	0.417
ˈɔ	x	0.4
tː	t	0.4
ˈɛ	-	0.375
ˈɑː	ˈɒː	0.375
ˈœ	-	0.375
ɧ	s	0.375
tʰ	d̥	0.364
a	-	0.34
ˈɵ	ˈu	0.333
ˈɵ	ˈo	0.333
nː	n_d̥	0.333
k	i_ʃ	0.333
<#	<#_ɡ̊	0.333
#>	z̥_#>	0.333
#>	n_#>	0.333
#>	f_#>	0.333
ɛ	-	0.316
ˈɛ	ˈi	0.312
ˈɛ	ˈe	0.312
tː	ʦ	0.3
tː	-	0.3
ɡ	-	0.294
ˈʉː	-	0.25
ˈɛː	ˈɒː	0.25
ˈɛː	ˈæ	0.25
ˈœ	ˈu	0.25
ˈœ	ˈiː	0.25
ˈøː	ˈʊː	0.25
ˈuː	ˈo	0.25
s	ʃ	0.25
ˈiː	-	0.222
ˈa	ˈɒː	0.222
j	l	0.222
ˈɵ	ˈi	0.2
ˈɪ	-	0.2
p	p	0.2
kʰ	-	0.2
v	f	0.19
ɡ	j	0.176
ˈʉː	ˈiː	0.167
ˈøː	ˈiː	0.167
ˈøː	-	0.167
ˈuː	ˈøː	0.167
ˈeː	ˈei̯	0.167
ˈeː	n	0.167
ˈeː	-	0.167
nː	ˈɔi̯	0.167
s	ʃ_w	0.15
ˈɵ	-	0.133
ˈœ	ˈai̯	0.125
r	ə_ʁ	0.116
n	-	0.097
v	b̥	0.095
v	-	0.095
n	ə	0.065
