Corsican	Occitan	probability
c	-	1.0
f	f	1.0
kː	k	1.0
lː	l	1.0
nː	n	1.0
s	s	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʎ	ʎ	1.0
ʧ	s	1.0
ʧː	s	1.0
ˈa	ˈa	1.0
a	-	0.071
e	ˈi	0.181
e	w	0.21
e	e	0.541
j	w	0.241
n	n	0.841
p	β	0.231
u	u	0.101
u	-	0.211
ɟ	-	0.111
ˈi	ˈi	0.891
ˈo	ˈa_w	0.081
ˈɛ	ˈe_j	0.061
p	p	0.72
r	r	0.312
t	j	0.12
u	ɔ	0.162
ˈe	ˈɛ	0.632
i	i	0.233
i	-	0.283
i	e	0.483
k	ɣ	0.103
k	k	0.783
m	m	0.933
tː	t	0.303
ˈe	j_ˈɛ	0.183
ˈo	ˈɔ	0.263
ˈɔ	u	0.143
t	t	0.604
v	β	0.274
ɟ	ɡ_l	0.094
ˈɛ	ˈe	0.444
a	a	0.175
b	β	0.085
b	b	0.915
d	r	0.075
d	-	0.375
j	j	0.065
j	-	0.125
k	-	0.115
a	ɔ	0.706
l	l	0.966
u	e	0.346
v	v	0.726
ɟ	ʒ	0.796
ˈe	ˈe	0.186
ˈo	ˈu	0.656
ˈu	ˈu	0.166
ˈu	ˈy	0.666
ˈɛ	ˈɛ	0.446
j	l	0.57
m	-	0.067
t	ð	0.277
tː	ʧ	0.697
ˈɔ	ˈu	0.347
ˈu	ˈi	0.168
ˈɔ	ˈɔ	0.448
d	d	0.549
e	-	0.069
n	-	0.159
r	-	0.139
r	ɾ	0.549
u	w	0.179
ˈi	ˈe	0.109
