Čakavian	Macedonian	probability
âː	ˈa	1.0
ǎː	ˈa	1.0
b	b	1.0
d	d	1.0
ê	ˈɛ	1.0
êː	ˈɛ	1.0
i	i	1.0
ǐː	ˈɛ	1.0
j	j	1.0
k	k	1.0
m	m	1.0
ôː	ˈo	1.0
p	p	1.0
r	r	1.0
r̩̂	ˈr̩	1.0
s	s	1.0
t	t	1.0
x	f	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
â	a	0.671
e	ˈɛ	0.401
î	ˈɛ	0.31
îː	ˈɛ	0.461
n	m	0.151
ʋ	-	0.061
a	ˈa	0.072
l	l	0.352
o	o	0.632
iː	ˈɛ	0.643
z	ʣ	0.073
ɡ	ɫ_#>	0.143
ûː	ˈo_ɫ	0.415
ûː	ˈu	0.415
a	a	0.716
ô	ˈo	0.956
iː	ˈi	0.357
î	i	0.107
î	ˈi	0.207
î	ɛ	0.377
z	z	0.927
ɡ	ɡ	0.857
a	u	0.18
l	ɫ	0.648
o	ˈo	0.368
â	ˈa	0.329
e	ɛ	0.599
îː	ˈi	0.539
n	n	0.849
ûː	ˈa	0.169
ʋ	v	0.939
