Emilian	Emilian	probability
ˈɛ_t	ˈe_tː	1.0
ˈɛ_r_#>	ˈa_#>	1.0
ˈɛ_l	ˈɛ_ɖː	1.0
ˈɛ_#>	ˈa_i_#>	1.0
ˈɔː	ˈɔ	1.0
ˈæ	ˈɛ	1.0
ˈuː_ɡ	ˈɔ_k	1.0
ˈuː	ˈu	1.0
ˈi	-	1.0
ˈa_ŋ	ˈa_n	1.0
ˈa_d	i_d	1.0
ʤ	ɟ	1.0
ɲ	ɲː	1.0
ŋ_n	n	1.0
ŋ_#>	n_u_#>	1.0
w	-	1.0
u	u	1.0
s_#>	sː_u_#>	1.0
r_t	l_t	1.0
p_#>	p_u_#>	1.0
p	p	1.0
o	u	1.0
n_#>	#>	1.0
m_u	m_u	1.0
k_r	k_r	1.0
i	i	1.0
d_#>	d_u_#>	1.0
a	a	1.0
<#_ˈɔː	<#_ˈo	1.0
<#_ˈo	<#_ˈu	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
f	f	0.952
k	k	0.944
s	s	0.867
ˈaː	ˈa	0.857
b	b	0.846
m	m	0.826
ˈe	ˈi	0.812
r_#>	#>	0.75
ˈɔ	ˈɔ	0.727
l	l	0.724
ʧ	cː	0.714
t	t	0.686
r	r	0.682
ɡ	ɡ	0.667
n	n	0.667
ˈɛ	ˈa	0.656
z	ʧ	0.636
θ	ʧ	0.625
ŋ	n	0.625
#>	u_#>	0.621
v	v	0.609
ˈa_j	ˈi	0.6
v_#>	u_#>	0.571
ˈɛː	ˈe	0.5
ˈɛː	ˈa	0.5
ˈo	ˈu	0.5
ð	ɟ	0.5
e_r_#>	ˈi_#>	0.5
e_r_#>	#>	0.5
d	t	0.5
ˈiː	ˈi	0.462
ˈʌu̯	ˈu	0.455
v_#>	i_#>	0.429
ˈa_j	ˈe	0.4
ˈa	ˈɛ	0.4
ˈa	ˈa	0.4
#>	i_#>	0.379
ˈʌ	ˈɔ	0.375
ˈʌ	ˈu	0.375
j	j	0.375
ˈʌu̯	ˈɔ	0.364
e	i	0.357
e_r	u	0.333
e_r	r_u	0.333
e_r	r_a	0.333
d	d	0.312
ˈiː	ˈe	0.308
ð	-	0.3
ŋ	ŋ	0.292
ˈo	ˈɔ	0.286
ʧ	c	0.286
e	u	0.286
l	ɖː	0.276
ˈɔ	ˈo	0.273
t	tː	0.257
ˈʌ	-	0.25
r_#>	ˈe_#>	0.25
j	ɖː	0.25
j	-	0.25
ˈiː	ˈɛ	0.231
ˈɛ	ˈe	0.219
v	p	0.217
ˈo	-	0.214
e	-	0.214
ˈa	ˈi	0.2
ð	ɟː	0.2
ˈe	-	0.188
d	-	0.188
ˈʌu̯	ˈo	0.182
z	z_u	0.182
z	i	0.182
m	mː	0.174
ɡ	k	0.167
ɡ	-	0.167
n	a	0.167
n	-	0.167
r	l	0.159
b	-	0.154
ˈaː	-	0.143
e	a	0.143
s	u	0.133
θ	ʧː	0.125
θ	ʦ	0.125
θ	-	0.125
j	ˈe	0.125
r	rː	0.114
v	b	0.087
v	-	0.087
ŋ	m	0.083
ˈɛ	ˈɛ	0.062
ˈɛ	-	0.062
t	l_t	0.057
k	u	0.056
