Bavarian	Icelandic	probability
a	ɪ_r̥	0.316
a	ʏ	0.186
a	a	0.186
a	n̥	0.12
a	ɪ	0.093
a	-	0.051
b̥	b̥	0.713
b̥	v	0.14
d	ð	1.0
d̥	d̥	0.398
d̥	ð	0.329
d̥	θ	0.102
d̥	ð_ʏ	0.092
f	f	0.68
f	p	0.145
h	h	0.884
h	ç	0.116
i	l	0.649
i	-	0.175
i	ʏ	0.175
j	l̥	0.529
j	l	0.438
k	c	0.383
k	ʰk	0.369
k	k	0.248
kʰ	kʰ	0.506
kʰ	cʰ	0.293
kʰ	n̥	0.131
kʰ	-	0.07
l	l	0.761
l	l̥	0.135
l	-	0.099
m	m	0.698
m	-	0.131
m	v_a	0.067
m	v	0.053
m	p	0.051
n	n	0.317
n	a	0.288
n	-	0.205
n	nː	0.109
p	v	1.0
p͡f	v	0.665
p͡f	ʰp	0.335
r	r	0.776
r	ˈoːu̯	0.084
r	-	0.059
s	s	0.555
s	t_ʏ	0.178
s	t	0.177
t	ð	0.612
t	t	0.282
t	d̥	0.081
x	k	0.6
x	s	0.323
x	r̥	0.077
ç	k	0.812
ç	ɣ	0.137
ç	c	0.051
ŋ	ŋ	0.352
ŋ	ɲ	0.156
ŋ	ɑu̯	0.106
ŋ	ɡ̊	0.106
ŋ	-	0.097
ŋ	ˈuː	0.073
ŋ	ʰk	0.07
ɐ	r	0.42
ɐ	r̥	0.314
ɐ	r_t	0.171
ɐ	r_ɪ	0.08
ə	ɪ	0.5
ə	ʏ	0.5
ɡ̊	ɡ̊	0.505
ɡ̊	ɣ_a	0.148
ɡ̊	ɟ̊	0.131
ɡ̊	ɣ	0.087
ɡ̊	ɡ̊ː	0.065
ɪ	ɛː	1.0
ʃ	s	0.377
ʃ	s_c	0.284
ʃ	s_k	0.254
ʃ	s_t	0.086
ʋ	v	0.536
ʋ	-	0.175
ʋ	kʰ	0.173
ʋ	ˈu	0.116
ʦ	tʰ	0.669
ʦ	t	0.246
ʦ	-	0.085
ˈa	ˈa	0.352
ˈa	u	0.218
ˈa	ˈœ	0.218
ˈa	ˈaː	0.099
ˈa	ˈœːy̯	0.057
ˈa	ˈɑu̯	0.056
ˈai̯	ˈiː	0.822
ˈai̯	ˈi	0.06
ˈai̯	ˈai̯	0.057
ˈai̯	ˈɛ	0.051
ˈau̯	ˈuː	0.686
ˈau̯	ˈiː	0.166
ˈau̯	ˈœːy̯	0.069
ˈaː	ˈa	0.399
ˈaː	ˈœːy̯	0.338
ˈaː	ˈɛːi̯	0.123
ˈaː	r	0.12
ˈe	ˈʏː	0.272
ˈe	ˈɛːi̯	0.166
ˈe	ˈa	0.159
ˈe	j	0.129
ˈe	ˈɛː	0.083
ˈe	ˈaːi̯	0.082
ˈe	ˈɛ	0.059
ˈeɐ̯	ˈiː	0.363
ˈeɐ̯	ˈoːu̯	0.363
ˈeɐ̯	ˈai̯	0.274
ˈeː	ˈiː	0.27
ˈeː	ˈɛ	0.24
ˈeː	ˈɛː	0.24
ˈeː	ˈœː	0.142
ˈi	ˈɪ	0.353
ˈi	ˈi	0.24
ˈi	ˈɪː	0.127
ˈi	ˈɛː	0.099
ˈi	ˈɛ	0.076
ˈiɐ̯	j	0.537
ˈiɐ̯	ˈaːi̯	0.332
ˈiɐ̯	ˈoːu̯	0.131
ˈiː	j	0.487
ˈiː	ˈœː	0.379
ˈiː	ˈɪ	0.134
ˈo	ˈa	0.321
ˈo	ˈʏ	0.195
ˈo	ˈaː	0.127
ˈo	ˈɛːi̯	0.125
ˈo	-	0.082
ˈo	ˈou̯	0.082
ˈo	ˈɪ	0.055
ˈou̯	ˈœːy̯	0.858
ˈou̯	ˈɑːu̯	0.142
ˈoɐ̯	ˈɔ_r	0.246
ˈoɐ̯	ˈɛːi̯	0.239
ˈoɐ̯	ˈa	0.145
ˈoɐ̯	ˈɑːu̯	0.079
ˈoɐ̯	ˈɛi̯	0.067
ˈoː	ˈaː	0.755
ˈoː	ˈʏ	0.115
ˈoː	ˈɔ	0.08
ˈu	ˈu	0.356
ˈu	ˈɔu̯	0.148
ˈu	ˈɔː	0.145
ˈu	ˈɔ	0.101
ˈu	ˈʏ	0.09
ˈu	-	0.077
ˈuɐ̯	ˈoːu̯	0.914
ˈuɐ̯	ˈiː	0.086
ˈy	ˈi	1.0
ˈɒ	ˈaː	0.539
ˈɒ	ˈɛ	0.23
ˈɒ	ˈa	0.196
ˈɒː	ˈaː	0.646
ˈɒː	ˈɑːu̯	0.354
ˈɔ	ˈɔu̯	0.213
ˈɔ	ˈœ	0.175
ˈɔ	ˈɑːu̯	0.175
ˈɔ	ˈɔː	0.14
ˈɔ	ˈaːu̯	0.094
ˈɔ	ˈœː	0.094
ˈɔ	ˈɑu̯	0.065
ˈɛ	ˈɛ	0.473
ˈɛ	ˈou̯	0.179
ˈɛ	ˈa	0.101
ˈɛ	ˈʏː	0.101
ˈɛː	j_ˈoːu̯	0.907
ˈɛː	ˈaː	0.093
ˈʏ	ˈai̯	1.0
