Gan	Gan	probability
⁵_#>	#>	1.0
⁴²_#>	#>	1.0
ʔ	ɡ	1.0
ɥ	-	1.0
ŋ̍	ŋ_aː	1.0
ŋ_¹¹	ŋ_s	1.0
ŋ	ŋ	1.0
³⁵	-	1.0
²⁴	-	1.0
²¹³_#>	#>	1.0
²¹³	-	1.0
²	-	1.0
p	p	1.0
o	aː_l	1.0
n_¹¹	n_s	1.0
n_³⁵_#>	m_#>	1.0
m	m	1.0
kʰ_w	kʰʷ	1.0
kʰ	kʰ	1.0
k_w	kʷ	1.0
k	k	1.0
j_⁴²	l	1.0
j_ɛ	eː	1.0
j_¹¹	d_s	1.0
j_u	u	1.0
e	-	1.0
<#_ɕ	<#_s	1.0
<#_ŋ	<#_q	1.0
#>	ʔ_#>	1.0
l	r	0.778
y	a_ʔ	0.75
pʰ	b	0.75
ɨ	ɯ	0.667
ʦ	ʔ_s	0.6
nʲ	n_i	0.6
n	n	0.6
t̚	ɡ	0.583
ʨ	k	0.571
w_²¹³	u_ʔ	0.556
ɔ	aː	0.5
ɔ	a	0.5
z̩	ɯ_s	0.5
z̩	ɯ	0.5
w	u	0.5
w	-	0.5
n_²¹³	n_ʔ	0.5
n_²¹³	m_ʔ	0.5
h	h_m	0.5
h	-	0.5
f	p	0.5
i	i	0.462
w_²¹³	ʔ	0.444
j	-	0.444
ʨ	-	0.429
s	h	0.429
t̚	d	0.417
<#	<#_ɡ	0.417
ʨʰ	ɡ	0.4
ʨʰ	kʰ	0.4
ʦ	t	0.4
nʲ	n	0.4
ɵ	e	0.375
ɵ	aː	0.375
f	-	0.375
ɨ	-	0.333
ɛ	ɯː	0.333
ɛ	e	0.333
tʰ	l̥ʰ	0.333
tʰ	lʼ	0.333
tʰ	d	0.333
u	u	0.286
u	oː	0.286
s	s	0.286
s	r	0.286
ɵ	o	0.25
y	ɢ	0.25
pʰ	pʰ	0.25
<#	<#_ŋ	0.25
i	r_ɯ	0.231
ʦʰ	sʰ	0.222
ʦʰ	l	0.222
ʦʰ	kʰ	0.222
ʦʰ	d	0.222
l	n	0.222
u	o	0.214
u	m_ɯ	0.214
ʨʰ	ʦʰ	0.2
a	uː	0.2
a	r_aː	0.2
ɛ	r	0.167
ɛ	iː	0.167
j	s	0.167
j	l	0.167
<#	<#_s	0.167
<#	<#_q	0.167
i	r_a	0.154
i	-	0.154
n	ŋ	0.15
n	m	0.15
a	eː	0.133
a	aː	0.133
f	hʷ	0.125
ʦʰ	tʰ	0.111
j	ɯː	0.111
j	d_s	0.111
n	n_s	0.1
a	ɯː	0.1
a	l	0.1
a	o	0.067
a	e	0.067
