Belarusian	Polish	probability
ˈɛ	ˈɛ	1.0
ˈæ_#>	ɛ_w̃_#>	1.0
ˈu	ˈɔ	1.0
ˈi	ˈi	1.0
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʣʲ	ʥ	1.0
ʐ	ʐ	1.0
ʌ	w	1.0
ʂ	ʂ	1.0
ɫ_a	ˈɔ	1.0
ɫ_#>	w_#>	1.0
ɫ	w	1.0
ɨ	ɨ	1.0
ɣ	ɡ	1.0
zʲ	ʑ	1.0
z	z	1.0
xʲ	x	1.0
vʲ	v	1.0
t	t	1.0
sʲ	ɕ	1.0
s	s	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
i	i	1.0
e	ɛ	1.0
d	d	1.0
b	b	1.0
a_d	ˈɔ_d	1.0
<#_r	<#_r	1.0
ʦʲ	ʨ	0.905
r	r	0.818
ˈɨ	ˈɨ	0.714
ˈa	a	0.706
v	v	0.692
pʲ	p_j	0.6
ˈo	ˈɔ	0.562
ˈe	ˈɛ	0.55
ˈɵ	ˈɛ	0.5
ˈɵ	ˈa	0.5
ˈæ	ˈɛ_w̃	0.5
ˈæ	a	0.5
x	x	0.5
x	k	0.5
w	w	0.5
w	f	0.5
r_a	ʐ_ˈɛ	0.5
r_a	ʐ_ɛ	0.5
pʲ	p	0.4
a	ɔ	0.333
v	-	0.308
ˈe	ˈa	0.3
ˈa	ˈa	0.294
ˈɨ	ɨ	0.286
æ	ˈɛ	0.2
æ	ɛ_ɲ	0.2
æ	ɛ	0.2
æ	j_ˈa	0.2
æ	j	0.2
ˈo	ˈu	0.188
a	ˈɔ	0.154
a	-	0.154
ˈe	j_ˈa	0.15
a	a	0.128
ʦʲ	t	0.095
ˈo	ˈɛ	0.094
ˈo	ɛ	0.094
r	ʐ	0.091
r	ʂ	0.091
a	ɛ	0.077
ˈo	-	0.062
a	ˈɛ	0.051
a	ˈu	0.051
a	ˈa	0.051
