Megleno-Romanian	Megleno-Romanian	probability
ˈɔ	ˈa	1.0
ˈu_k	ˈɔ	1.0
ʤ	u	1.0
ʒ	ʤ	1.0
ʃ	s	1.0
ɲ	-	1.0
ə_#>	#>	1.0
ə	e	1.0
ɔ	v_ˈi	1.0
ŋ	-	1.0
w_ə	f	1.0
v	v	1.0
u_#>	#>	1.0
s	s	1.0
r_n	r	1.0
r_i_#>	r_#>	1.0
r_#>	l_#>	1.0
p_t	t	1.0
p_#>	f_#>	1.0
l	l	1.0
kʲ	p	1.0
k_ʎ	l	1.0
j_n	ŋ	1.0
f	f	1.0
e	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	k_#>	1.0
r	r	0.933
d	d	0.778
<#_p	<#_p	0.778
k	c	0.769
o̯ˈa	-	0.75
n_#>	ŋ_#>	0.75
j	j	0.75
b	b	0.75
k_#>	k_#>	0.714
i	-	0.697
t	t	0.684
ɡ	ɡ	0.667
u	i	0.667
m	m	0.667
p	p	0.6
n	n	0.591
ʎ	l	0.556
ˈi	ˈi	0.526
ˈu	ˈo	0.5
z	ʤ	0.5
z	-	0.5
w	v	0.5
w	-	0.5
e̯ˈa	ˈe	0.5
<#	<#_j	0.5
<#	<#_f	0.5
ʦ	ʧ	0.462
ˈa	ˈa	0.414
p	-	0.4
ˈu	ˈu	0.357
ˈe	ˈɛ	0.333
ɡ	-	0.333
m	-	0.333
ʦ	-	0.308
ˈo	ˈuː	0.294
k_#>	#>	0.286
ˈa	ˈaː	0.276
ˈe	ˈe	0.25
ˈe	-	0.25
o̯ˈa	w	0.25
n_#>	#>	0.25
j	-	0.25
e̯ˈa	ˈɛ	0.25
e̯ˈa	ˈeː	0.25
b	-	0.25
ˈo	ˈo	0.235
ʦ	t	0.231
k	k	0.231
n	ŋ	0.227
ʎ	ˈi	0.222
ʎ	-	0.222
d	t	0.222
<#_p	<#	0.222
i	i	0.212
t	d	0.211
n	ɲ	0.182
ˈo	ˈɔ	0.176
ˈo	-	0.176
ˈa	j_ˈɛ	0.172
ˈe	j_ˈɛ	0.167
u	o	0.167
u	-	0.167
ˈi	ˈe	0.158
ˈu	ˈoː	0.143
ˈo	w_ˈɛ	0.118
ˈi	ˈɛ	0.105
ˈi	f	0.105
ˈi	-	0.105
t	-	0.105
i	e	0.091
ˈa	ˈɛ	0.069
ˈa	-	0.069
r	l	0.067
