East Frisian Low Saxon	Mainland North Frisian	probability
χ	x	1.0
ˈʏə̯	-	1.0
ˈʊə̯	ˈʊ	1.0
ˈɛːɪ̯	ˈai̯	1.0
ˈɛ_l	l	1.0
ˈɔː	-	1.0
ˈɔ_l	lʲ	1.0
ˈɒːɒ̯	ˈɒː	1.0
ˈɒː_t	ˈɒː_d	1.0
ˈɑːʊ̯	-	1.0
ˈɑː_ɐ	ʀ	1.0
ˈɑː	ˈa	1.0
ˈɑɪ̯	ˈiː	1.0
ˈœy̯	ˈɛi̯	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈɛ	1.0
ˈyːʏ̯	ˈœ	1.0
ˈuːu̯	-	1.0
ˈoːo̯	ˈuː	1.0
ˈoː_v	ˈɔu̯	1.0
ˈiːi̯	ˈi	1.0
ˈiː	ˈi	1.0
ˈeːe̯	ˈɛː_d	1.0
ɫ	l	1.0
ɡ̊	-	1.0
ə	-	1.0
ɑɪ̯	ɛi̯	1.0
ɐ_ɣ̊	i	1.0
ɐ_n	ʀ_n	1.0
ŋ	ŋ	1.0
w	v	1.0
v	v	1.0
t_n	z_ə	1.0
s_k	ʃ	1.0
s	s	1.0
r	ʀ	1.0
o	ˈœ	1.0
n_n	n_ə	1.0
n_d̥	nʲ	1.0
j	j	1.0
h	h	1.0
d_n	dʲ_ə	1.0
b	b	1.0
f	f	0.941
k	k	0.935
m	m	0.898
l	l	0.896
p	p	0.859
ˈæɪ̯	ˈiː	0.831
z	s	0.802
v̥	v̥	0.79
t	t	0.747
ˈuː	ˈʏ	0.678
ˈeː	-	0.674
d	d	0.636
ˈʊ	ˈʊ	0.622
ˈæːɪ̯	-	0.593
ˈɑːɑ̯	ˈɒ	0.562
d̥	d̥	0.562
ˈɒː	-	0.554
ɐ	ʀ	0.549
n	n	0.516
ˈʏ	ˈʏ	0.5
ˈʏ	ˈeː	0.5
ˈɑʊ̯	ˈœ	0.5
ˈɑːɑ̯	-	0.438
ˈɔ	-	0.429
ˈæːɪ̯	ˈiː	0.407
ˈøː	-	0.406
ɣ̊	-	0.38
ɐ	ə_ʀ	0.366
ɣ̊	ç	0.359
ˈɛ	ˈeː	0.358
ɡ	ɡ	0.337
ˈeː	ˈɛː	0.326
ˈuː	ˈœː	0.322
ˈɛ	ˈʊ	0.321
ˈɛ	-	0.321
ˈɪ	ˈi	0.316
ˈɑ	ˈœ	0.305
n	ə	0.305
ˈɑʊ̯	ˈœi̯	0.3
ˈoː	ˈuː	0.3
ˈøː	ˈɔː	0.292
ˈɔ	ˈɔː	0.286
ˈɔ	ˈœ	0.286
d̥	dʲ	0.274
d	t	0.267
ˈʊ	ˈʏ	0.264
ɣ̊	ɣ̥	0.261
ˈoː	-	0.248
ˈɒː	ˈɛi̯	0.238
ˈɑ	-	0.234
ˈɪ	ˈa	0.233
t	tʲ	0.221
v̥	-	0.21
ˈɒː	ˈɔu̯	0.208
ˈoː	ˈyː	0.207
ˈɑʊ̯	ˈɛ	0.2
z	-	0.198
ˈɪ	-	0.195
ɡ	ə	0.182
ˈøː	ˈiː	0.177
ˈæɪ̯	-	0.169
d̥	z̥	0.164
ˈɑ	ˈʊ	0.152
ˈoː	ˈɔ	0.145
ˈɪ	ˈʊ	0.143
p	-	0.141
ɡ	j	0.14
ɡ	-	0.14
ˈɑ	ˈeː	0.134
ɡ	j_ə	0.133
ˈøː	ˈɔ	0.125
ˈʊ	-	0.115
ˈɪ	ˈai̯	0.113
n	nʲ	0.106
m	v_ə	0.102
ˈoː	ˈɔː	0.1
d	-	0.097
ˈɑ	ˈɒ	0.088
ˈɑ	ˈuː	0.088
ɐ	ˈœ_ʀ	0.084
ɡ	w	0.069
k	-	0.065
l	lʲ	0.061
f	-	0.059
