Čakavian	Old Prussian	probability
ʧ	k	1.0
ʦ	-	1.0
ʒ	ɡ	1.0
ɲ	p_n	1.0
ɡ̊	ɡ_i	1.0
ɡ	ɡ_a	1.0
z	z	1.0
ǔː	-	1.0
û	aːu̯	1.0
uː	ŋ	1.0
u	e	1.0
s	s	1.0
r̩̂	i_r	1.0
ǒː	a_l	1.0
ôː	a	1.0
ô	-	1.0
m	m	1.0
l_â	eː	1.0
l	l	1.0
k	k	1.0
j_e	ai̯	1.0
ǐː	u	1.0
îː	-	1.0
iː	-	1.0
êː	e	1.0
eː	i_ɡ	1.0
e	e	1.0
d̥	d_o	1.0
c	k_t	1.0
b	b	1.0
ǎː	a	1.0
âː	eːi̯	1.0
aː	-	1.0
t	t	0.863
î	-	0.804
ʋ	v	0.754
d	d	0.701
a	-	0.675
p	p	0.671
ê	-	0.667
n	n	0.666
r	r	0.633
x	s	0.598
o	-	0.553
ûː	au̯	0.544
i	o_n	0.5
i	-	0.5
â	o	0.49
ûː	l	0.456
o	o	0.447
x	u	0.402
r	r_i	0.367
n	n_a	0.334
ê	w	0.333
p	p_i	0.329
a	o	0.325
d	n	0.299
â	a	0.277
ʋ	v_iː	0.246
â	-	0.233
î	oːu̯	0.196
t	n	0.137
