Proto-Slavic	Belarusian	probability
a	a	1.0
aˀ	ˈa	1.0
ǎ	ˈa	1.0
ê	ˈe	1.0
ẽː	æ	1.0
ẽ̂ː	ˈæ	1.0
ě	ˈɵ	1.0
ĭ	ˈe	1.0
ĭˀ	ˈo	1.0
ĭ̂	ˈo	1.0
ǐ	ˈi	1.0
o	a	1.0
ô	ˈo	1.0
ôː	ˈo	1.0
õː	u	1.0
ŭ̌	ˈo	1.0
ɛˀ	ˈe	1.0
ɛ̂ː	ˈe	1.0
ɛ̌	ˈe	1.0
ɡ	ɣ	1.0
ɨˀ	ˈɨ	1.0
ɨ̌	ˈɨ	1.0
ʎ	lʲ	1.0
ʒ	ʐ	1.0
ʧ	ʧ	1.0
e	ʌ	0.071
e	æ	0.371
l	ɫ	0.331
l	lʲ	0.391
n	nʲ	0.051
ɛː	a	0.591
d	d	0.522
ẽ	æ	0.282
i	ˈi	0.242
j	ˈɨ	0.052
k	k	0.642
t	ʦʲ	0.332
v	vʲ	0.652
b	bʲ	0.173
k	-	0.093
l	-	0.223
ŭ	a	0.173
ŭ̂	-	0.353
z	zʲ	0.643
ǒ	a	0.094
p	pʲ	0.624
s	sʲ	0.54
ŭ	ɨ	0.274
v	-	0.114
x	xʲ	0.384
k	kʲ	0.265
l	ɫ_a	0.055
m	m	0.245
m	mʲ	0.755
v	v	0.235
e	e	0.206
ǒ	ˈo	0.906
p	p	0.376
s	s	0.46
x	x	0.616
b	b	0.827
r	r	0.957
ŭ	w	0.067
ŭ	-	0.107
ŭ̂	ˈo	0.647
z	z	0.357
d	ʣʲ	0.478
ẽ	ˈæ	0.718
i	ˈɨ	0.758
j	-	0.948
t	t	0.668
e	a	0.309
n	n	0.949
ŭ	i	0.379
ɛː	æ	0.409
