Old High German	Middle English	probability
ˈɛ_ɡ	ˈæi̯	1.0
ˈɑː_n	ˈoː_n	1.0
ˈɑ_ɡ	ˈæi̯	1.0
ˈɑ_x	ˈi_ç	1.0
ˈiu̯_w	ˈiu̯	1.0
ˈio̯_ɡ	ˈiː	1.0
ˈie̯	ˈɛː	1.0
ˈi_r	ˈeː	1.0
ˈeː	ˈɔu̯	1.0
ʦː	t	1.0
ʦ	t	1.0
ɛ_h	eː	1.0
ɛ	ə	1.0
ə	ə	1.0
ɑ_ɡ	iː	1.0
ɑ_n	n	1.0
w_ˈɛ	ˈu	1.0
tː	d	1.0
t_ˈio̯	d_ˈeː	1.0
t_ɑ	d_ə	1.0
t_r	d_r	1.0
t_o	t_ə	1.0
t_e	d_ə	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
rː	ˈiː	1.0
r_n	r_n	1.0
r_i	r	1.0
r	r	1.0
p͡f	p	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈɛː	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
k	k	1.0
j	j	1.0
i_f	v_ə	1.0
fː	p	1.0
f_ɑ	p_ə	1.0
eː	ə	1.0
e	ə	1.0
b_ɑ	v_ə	1.0
ɑ	ə	0.973
n	n	0.963
w	w	0.918
s	s	0.907
o	ə	0.893
b	b	0.829
ŋ	ŋ	0.823
kʰ	k	0.815
t	d	0.81
h	h	0.808
ˈei̯	ˈɔː	0.778
ˈiː	ˈiː	0.765
f	f	0.76
u	ə	0.753
ˈe	ˈɛ	0.742
ˈɑː	ˈɛː	0.726
ˈuː	ˈuː	0.709
ˈu	ˈu	0.7
ˈi	ˈi	0.668
ˈou̯	ˈɛː	0.667
d	θ	0.659
ˈɛ	ˈɛ	0.65
ˈoː	ˈɛː	0.65
l	l	0.609
ˈɑ	ˈa	0.605
i	ə	0.599
kː	ʤ	0.571
xː	ʧ	0.57
ˈiu̯	ˈeː	0.568
ˈio̯	-	0.554
ˈu_n	ˈi	0.553
ɡ	ɡ	0.539
ˈuo̯	ˈoː	0.528
x	k	0.525
ˈo	ˈɔ	0.517
ˈɑ_n	ˈɔː_n	0.507
ˈɑ_n	ˈoː	0.493
ˈu_n	ˈuː	0.447
ˈio̯	ˈeː	0.446
ˈiu̯	ˈiː	0.432
xː	k	0.43
kː	k	0.429
i	-	0.401
x	ç	0.38
ˈuo̯	ˈeː	0.369
ˈo	ˈu	0.356
ˈoː	ˈeː	0.35
l	ɫ	0.346
ˈou̯	ˈeː	0.333
ˈɑː	-	0.274
ˈɑ	ˈaː	0.266
ˈi	ˈiː	0.264
ˈe	-	0.258
u	-	0.247
ɡ	-	0.228
h	-	0.192
t	t	0.19
f	p	0.187
kʰ	ʧ	0.185
ˈɛ	ˈɛː	0.181
ŋ	n	0.177
d	d	0.173
b	v	0.171
ˈɛ	ˈi	0.169
d	ð	0.169
ˈuː	ˈu	0.168
ˈu	ˈi	0.159
ˈu	ˈɔ	0.142
ˈei̯	-	0.141
ɡ	x	0.141
ˈo	-	0.127
ˈɑ	ˈɔː	0.122
ˈuː	ˈiː	0.122
ˈiː	ˈi	0.118
ˈiː	ˈeː	0.118
o	ɔu̯	0.107
ˈuo̯	ˈuː	0.103
x	x	0.095
s	z	0.093
ɡ	j	0.092
w	ʍ	0.082
ˈei̯	ɛ	0.081
ˈi	ˈeː	0.068
f	v	0.054
