Ligurian	Ligurian	probability
ˈɔ	ˈɔ	1.0
ˈyː	ˈy	1.0
ˈiː_ɡ	ˈi	1.0
ˈeː_z	ˈi	1.0
ˈaː_ɡ	ˈa	1.0
ˈa_t	ˈa_t	1.0
ʒ_e	j_s	1.0
ɡ_u	w	1.0
ɔː	ɔ_j	1.0
ŋ_a	n_ə	1.0
ŋ_#>	n_#>	1.0
y	y	1.0
w_ˈɛː	ˈɛ_r	1.0
w_ˈiː	ˈu_s	1.0
v_u	ˈɛ_f	1.0
v_e	f	1.0
v	v	1.0
sː	ʤ	1.0
r_t	r_t	1.0
p	p	1.0
o	-	1.0
m_e_#>	m_#>	1.0
m	m	1.0
l_u_#>	l_#>	1.0
l_a	l_ə	1.0
l	l	1.0
k_r	k_r	1.0
j_u	ə	1.0
j_a	r_ə	1.0
f_r	f_r	1.0
f	f	1.0
e_ɡ	ə	1.0
e_r	ɛ_r	1.0
e_#>	#>	1.0
d_u	t	1.0
d_e	t	1.0
b	b	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
u_#>	#>	0.953
ˈɔː	ˈɔ	0.917
t	t	0.882
r	r	0.875
d	d	0.833
ˈa	ˈã	0.75
a	ə	0.738
ˈy	ˈỹ	0.714
ˈɛ	ˈɛ	0.667
ˈu	ˈũ	0.667
ʒ	z	0.667
ɲ	ɲ	0.667
ˈiː	ˈi_r	0.6
ɡ	-	0.6
z	ʤ	0.6
ʃ	s	0.571
n	n	0.571
ʤ	ʎ	0.55
ˈi	ˈi	0.529
j	j	0.524
k	k	0.512
ˈøː	w_ˈɛ	0.5
w	w	0.5
i	-	0.5
ŋ	n	0.462
s	s	0.447
ˈuː	ˈu	0.444
e	ə	0.435
ˈø	ˈy_j	0.429
ʧ	p_l	0.429
ʃ	f_l	0.429
ɡ	ɡ	0.4
z	-	0.4
s	ʦ	0.395
k	ʧ	0.39
ˈaː	ˈe_r	0.379
ˈɛː	ˈɛ	0.357
ˈɛː	ˈe	0.357
ˈi	ˈĩ	0.353
u	ə	0.353
ˈɛ	-	0.333
ˈuː	ˈɔ	0.333
ʒ	-	0.333
ɲ	-	0.333
ŋ	j_n	0.333
ˈe	ˈɔ	0.324
ˈe	ˈẽ	0.324
ˈɛː	ˈa	0.286
ˈø	w_ˈɛ	0.286
ˈø	-	0.286
ˈy	ˈu	0.286
ʧ	k_l	0.286
ʧ	-	0.286
n	-	0.286
ˈeː	ˈi	0.278
ˈeː	j_ˈɛ	0.278
#>	ə_#>	0.267
ˈøː	ˈɛ	0.25
ˈøː	w	0.25
ˈu	ˈu	0.25
w	u	0.25
w	-	0.25
i	i	0.25
ˈe	ˈɛ	0.243
ˈaː	ˈa	0.241
#>	l_#>	0.233
ˈuː	u_l	0.222
ˈeː	-	0.222
e	r_ə	0.217
ˈiː	ˈɔ	0.2
ˈiː	ˈi	0.2
j	r	0.19
ˈa	ˈa	0.188
u	r	0.176
ˈaː	ˈɛ	0.172
i	s	0.167
d	j	0.167
#>	n_#>	0.167
s	e_s	0.158
ŋ	ŋ	0.154
ʤ	ɡ_l	0.15
n	n_d	0.143
#>	s_#>	0.133
#>	r_#>	0.133
a	a	0.131
e	j	0.13
e	e	0.13
r	-	0.125
ˈi	-	0.118
u	u	0.118
t	-	0.118
ˈeː	ˈɛ	0.111
ˈeː	j	0.111
ˈaː	ˈe	0.103
ˈaː	ˈa_w	0.103
ʤ	ʤ_j	0.1
ʤ	ʤ	0.1
ʤ	l_ʦ	0.1
k	ʧ_j	0.098
j	ə	0.095
j	j_r	0.095
j	-	0.095
u	s	0.088
u	j	0.088
e	d_r_ə	0.087
ˈɔː	ˈo	0.083
ˈu	ˈy	0.083
i	ĩ	0.083
#>	j_#>	0.067
ˈa	-	0.062
u	ˈũ	0.059
u	ũ	0.059
u	-	0.059
ˈe	ˈi	0.054
ˈe	-	0.054
ŋ	-	0.051
