Aragonese	Aromanian	probability
r	r	1.0
ŋ	ŋ	1.0
ɲ	n	1.0
ʃ	-	1.0
ʝ	-	1.0
ˈu	ˈu	1.0
b	b	0.171
e	i	0.841
w	o̯ˈa	0.441
ˈa	e̯ˈa	0.061
ˈe	ˈa	0.051
ˈi	ˈi	0.821
ˈo	ˈa_v	0.151
j	l	0.112
j	p	0.352
l	ʎ	0.162
m	ɲ	0.222
m	m	0.642
o	ə	0.102
u	ˈo	0.442
ˈe	e̯ˈa	0.272
b	j	0.553
e	-	0.103
o	i	0.093
ɣ	ɡ	0.073
ˈe	-	0.143
ˈo	o̯ˈa	0.273
a	ˈa	0.084
a	i	0.114
d	ʣ	0.544
i	i	0.44
l	l	0.734
n	ɲ	0.064
ɡ	-	0.204
ɣ	k	0.884
ʧ	ʤ	0.304
ˈa	-	0.084
ˈe	ˈu	0.224
ˈi	ˈu	0.074
ˈo	ˈo	0.124
b	v	0.275
f	f	0.405
f	ç	0.595
n	-	0.125
p	k	0.275
s	s	0.715
ð	d	0.135
ð	t	0.865
ʎ	k_ʎ	0.335
ˈe	ˈi	0.115
ˈi	i	0.105
a	a	0.076
d	d	0.456
i	-	0.56
j	-	0.46
m	-	0.136
o	u	0.726
p	p	0.706
s	ʃ	0.206
ɡ	ɡ	0.796
ʎ	ʎ	0.056
ʧ	ʣ	0.696
ˈo	-	0.186
ˈo	ˈu	0.266
θ	ʦ	0.86
n	n	0.757
t	t	0.917
w	-	0.27
ɾ	r_i	0.287
θ	ʦ_i	0.067
a	-	0.118
a	ə	0.608
o	-	0.078
u	-	0.558
ɾ	-	0.168
ˈa	ˈɨ	0.338
ˈa	ˈa	0.48
k	ʦ	0.079
k	k	0.879
s	-	0.079
w	ˈo	0.289
ɾ	r	0.519
ʎ	-	0.609
ˈe	ˈe	0.119
β	p	0.159
β	-	0.819
