Upper Sorbian	Slovak	probability
β_<#	<#	1.0
ˈɪ	ˈi	1.0
ˈɔ_w	ˈɫ̩	1.0
ˈi	ˈi	1.0
ˈe_ʀ	ˈr̩	1.0
ʦ	ʦ	1.0
ʤ	ɟ	1.0
ʒ	ʒ	1.0
ʀʲ	r	1.0
ɲ	ɲ	1.0
ɦ	ɦ	1.0
ɥ	ʋ	1.0
ɔ	ɔ	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
e	ˈɛ	1.0
d	d	1.0
b	b	1.0
a	a	1.0
ʀ	r	0.882
p	p	0.833
w	ɫ	0.824
ʧ	c	0.783
ˈu	ˈu	0.714
ʃ	ʃ	0.714
i	iː	0.714
ˈa	ˈa	0.7
ɪ	iː	0.688
ˈɛ	ˈɛ	0.667
ɛ	ɛ	0.667
ˈo	ˈɔ	0.6
β	ʋ	0.538
ˈe	ˈɛ	0.533
ɔ_#>	ɛ_#>	0.5
ɔ_#>	#>	0.5
ˈe	ɪ̯ˈɛ	0.467
ˈɔ	ˈɔ	0.464
ˈo	ˈa	0.4
l	ʎ	0.4
l	l	0.4
ˈɛ	ɛ	0.333
ɛ	ˈɛ	0.333
ɪ	i	0.312
β	v	0.308
ˈa	ˈaː	0.3
ˈu	ˈuː	0.286
ʃ	r	0.286
i	i	0.286
l	ɫ	0.2
ˈɔ	ˈɛ	0.179
w	l	0.176
p	f	0.167
β	ˈɔ	0.154
ˈɔ	ˈa	0.143
ʧ	ʧ	0.13
ʀ	ˈr̩	0.118
ʧ	t	0.087
ˈɔ	ɪ̯ˈɛ	0.071
ˈɔ	ɛ	0.071
ˈɔ	-	0.071
