Ladin	Ladin	probability
ˈɛ_n	ˈɛ_ŋ	1.0
ˈu	ˈy	1.0
ˈo_s	ˈu_j	1.0
ˈi_#>	e_#>	1.0
ˈi	ˈi	1.0
ˈa_w	ˈɔ	1.0
ˈa	ˈa	1.0
ʧ	s	1.0
ʦ	s	1.0
ʤ	ʤ	1.0
ʒ_ɡ	v	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	-	1.0
w_ˈɛ	ˈø	1.0
w_ʃ	z	1.0
v	v	1.0
t_ˈe	t_ˈa	1.0
t_a	t_a	1.0
t_#>	d_#>	1.0
t	t	1.0
s_ˈe	s_ˈɛ	1.0
s_#>	#>	1.0
s	s	1.0
r_n	r_n	1.0
p_l	p_j	1.0
p	p	1.0
n_#>	ŋ_#>	1.0
m	m	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
j_ˈe	ˈe	1.0
j_a	a	1.0
j_#>	j_#>	1.0
f_ˈɛ	f_ˈɛ	1.0
f_l	f_j	1.0
f_#>	v_#>	1.0
f	f	1.0
e_#>	#>	1.0
d_ˈe	dː	1.0
d_l_#>	j_#>	1.0
d_a	a	1.0
b	b	1.0
a_m	a_m	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_i	<#_i	1.0
<#_a	<#_a	1.0
r	r	0.963
l	l	0.896
ˈo	ˈu	0.846
ʃ	s	0.75
d	d	0.75
ʨ	k	0.739
ˈɔ	ˈɔ	0.727
j	j	0.722
ʒ	z	0.7
k	k	0.7
u	u	0.667
o	u	0.667
n	n	0.652
j_ˈɛ	ˈɛ	0.625
ʥ	ʤ	0.6
ˈe	ˈe	0.579
ɡ	ɡ	0.556
i	i	0.5
i	-	0.5
ˈɛ	ˈɛ	0.486
e	-	0.484
w	-	0.455
e	e	0.452
ɡ	-	0.444
ʥ	-	0.4
j_ˈɛ	ˈe	0.375
#>	j_#>	0.375
#>	a_#>	0.375
n	ŋ	0.348
u	y	0.333
ʒ	ʤ	0.3
j	-	0.278
ˈɔ	ˈu	0.273
w	ˈɔ	0.273
w	w	0.273
ˈe	ˈɛ	0.263
ˈɛ	ˈa	0.257
ʃ	z	0.25
#>	e_#>	0.25
k	ɡ	0.2
ʨ	s	0.174
o	ˈø	0.167
o	-	0.167
d	-	0.167
ˈo	-	0.154
ˈɛ	-	0.143
ˈɛ	ˈe	0.114
ˈe	-	0.105
k	k_w	0.1
ʨ	ʧ	0.087
d	t	0.083
e	ə	0.065
l	-	0.062
ˈe	ˈi	0.053
