Bulgarian	Bulgarian	probability
ˈ	-	1.0
ʦ	-	1.0
ʒ	ɡ	1.0
ʃ	k	1.0
ɫ	l	1.0
ɤ_ˈ	i	1.0
ɡ̊	ɡ_i	1.0
ɡ	ɡ	1.0
ɛ_ˈ	e	1.0
ɛ_d	ai̯	1.0
z	z	1.0
x	s	1.0
vʲ	v	1.0
v	v	1.0
s	s	1.0
rʲ	i	1.0
r	r	1.0
p	p	1.0
o	a	1.0
nʲ	a_j	1.0
mʲ	m	1.0
m	m	1.0
lʲ	l	1.0
l	l	1.0
j_ɐ	t	1.0
i_ˈ	e	1.0
d̥	d	1.0
d	d	1.0
b	b	1.0
a_ˈ	e	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	s_#>	0.8
t	t	0.727
ɔ	a	0.636
ɐ	-	0.636
a	-	0.6
n	n	0.556
ɤ	a	0.5
ɤ	-	0.5
u	u	0.5
i	u	0.4
i	-	0.4
u	au̯	0.333
k	k	0.333
a	o	0.333
ɛ	i	0.3
ɛ	-	0.3
t	n_t	0.273
ɛ	e	0.25
n	a_n	0.222
n	-	0.222
k	k_i	0.222
k	i	0.222
k	-	0.222
#>	n_#>	0.2
ɔ	s	0.182
ɔ	o	0.182
ɐ	u	0.182
ɐ	o	0.182
u	aːu̯	0.167
ɛ	n	0.1
i	uː	0.1
i	oːu̯	0.1
a	eː	0.067
