Swedish	East Low German	probability
a	-	0.663
a	n	0.305
a	æ	0.031
b	b	1.0
d	d	0.553
d	t	0.352
d	-	0.083
e	ɾ	0.49
f	f	1.0
h	h	0.973
h	-	0.04
j	-	0.543
j	ˈiː	0.149
j	ɡ	0.115
j	j	0.098
j	ˈɛ	0.06
j_ˈʉː	ˈae̯	1.0
jː	ŋ	0.49
k	k	0.795
k	ç	0.105
k	-	0.071
kʰ	kʰ	0.814
kʰ	-	0.182
kː	ŋ_k	0.723
kː	k	0.203
l	l	0.964
l	-	0.041
l_ɛ	l	1.0
lː	l	1.0
m	m	0.985
m	-	0.034
mː	m	1.0
n	n	0.835
n	-	0.162
nː	n	0.785
nː	ˈuː	0.107
nː	l	0.107
p	p	1.0
pː	p	1.0
r	r	0.413
r	-	0.241
r	æ	0.23
r	ɾ	0.087
r	s	0.03
r_a	æ	1.0
rː	d	0.574
rː	ç	0.281
s	s	0.344
s	z	0.335
s	ʃ	0.274
s	-	0.039
s_k	ʃ	1.0
sː	s	0.49
t	t	0.912
t	-	0.053
t	d	0.045
tʰ	d	0.552
tʰ	tʰ	0.445
tː	t	0.447
tː	x	0.367
tː	-	0.093
tː	ç	0.069
v	v	0.514
v	f	0.254
v	-	0.08
v	w	0.08
v	b	0.041
ŋ	ŋ	0.195
ŋ	ç	0.177
ŋ	-	0.17
ŋ	m	0.148
ŋ	ɪ	0.065
ŋː	ŋ	1.0
ɕ	kʰ	0.323
ɕ	d	0.323
ɖ	-	0.24
ɛ	æ	0.567
ɛ	-	0.409
ɛ_l	l	1.0
ɡ	ɡ	0.366
ɡ	ç	0.191
ɡ	x	0.153
ɡ	j	0.104
ɡ	k	0.069
ɡː	ç	0.517
ɡː	-	0.239
ɡː	k	0.076
ɧ	ʃ	0.598
ɧ	z	0.394
ɪ	ɪ	0.415
ɪ	-	0.203
ɪ	n	0.203
ɳ	æ	1.0
ɳː	ˈuː	0.24
ɵ	-	0.342
ɵ	ɪ	0.298
ʈː	t	1.0
ʊ	ˈɛː	0.574
ʊ	ˈae̯	0.281
ˈa	ˈa	0.713
ˈa	ˈɒː	0.091
ˈa	ˈɛː	0.069
ˈa	ˈaʊ̯	0.069
ˈa	ˈɔ	0.055
ˈa_r	ˈaː	1.0
ˈeː	ˈae̯	0.667
ˈeː	ˈɪ	0.331
ˈiː	ˈiː	0.711
ˈiː	-	0.194
ˈiː	ˈɪ	0.083
ˈoː	ˈɒː	0.422
ˈoː	ˈaʊ̯	0.164
ˈoː	ˈɔ	0.084
ˈoː	ˈœː	0.08
ˈoː	ˈoː	0.08
ˈuː	ˈaʊ̯	0.699
ˈuː	ɾ	0.107
ˈuː	ˈœː	0.065
ˈuː	ˈuː	0.062
ˈuː	æ	0.059
ˈyː	ˈyː	0.308
ˈyː	ˈaɪ̯	0.234
ˈyː	ˈiː	0.216
ˈyː	ˈae̯	0.102
ˈæ	ˈaː	1.0
ˈæː	ˈiː	1.0
ˈøː	ˈaʊ̯	0.483
ˈøː	ˈɔʏ̯	0.123
ˈøː	ˈoː	0.107
ˈøː	ˈeː	0.081
ˈøː	ˈœː	0.065
ˈœ	ˈɔ	0.247
ˈœ	ˈɔʏ̯	0.247
ˈœ	ˈɛ	0.163
ˈœ	ˈaʊ̯	0.11
ˈœ	ˈʏ	0.08
ˈœː	ˈuː	0.371
ˈœː	ˈyː	0.182
ˈɑː	ˈa	0.447
ˈɑː	ˈɒː	0.336
ˈɑː	ˈɪ	0.115
ˈɑː	ˈaː	0.085
ˈɔ	ˈuː	0.296
ˈɔ	ˈa	0.148
ˈɔ	ˈɔ	0.148
ˈɔ	ˈʊ	0.107
ˈɔ	ˈøː	0.104
ˈɛ	ˈɛ	0.252
ˈɛ	ˈɪ	0.176
ˈɛ	ˈa	0.131
ˈɛ	ˈae̯	0.114
ˈɛ	-	0.075
ˈɛː	ˈɛː	0.443
ˈɛː	ˈɛ	0.189
ˈɛː	ˈae̯	0.122
ˈɛː	ˈaː	0.086
ˈɛː	ɾ	0.082
ˈɪ	ˈɪ	0.82
ˈɪ	r	0.1
ˈɪ	w	0.076
ˈɵ	ˈʊ	0.315
ˈɵ	ˈuː	0.154
ˈɵ	v_ˈʊ	0.104
ˈɵ	ˈʏ	0.088
ˈɵ	ˈɪ	0.088
ˈʉː	ˈuː	0.524
ˈʉː	ˈae̯	0.217
ˈʉː	ˈɔ	0.098
ˈʉː	ˈœ	0.066
ˈʉː	ˈɛ	0.066
ˈʊ	ˈʊ	0.654
ˈʊ	ˈaʊ̯	0.157
ˈʊ	ˈoː	0.096
ˈʏ	ˈʏ	0.478
ˈʏ	ˈyː	0.229
ˈʏ	ˈiː	0.131
