Northern Low Saxon	North Frisian	probability
#>	#>	0.822
#>	ə_#>	0.086
#>	r_#>	0.058
<#	<#	1.0
<#_v	<#	0.244
b	b	0.654
b	p	0.257
b	d	0.052
d	d	0.379
d	t	0.295
d	tʲ	0.126
d	dʲ	0.104
d	-	0.06
d_#>	#>	1.0
f	f	0.825
f	-	0.054
h	h	1.0
i	i	0.244
k	k	1.0
kʰ	k	0.544
kʰ	-	0.162
kʰ	ʃ	0.151
kʰ	s	0.081
l	l	0.871
l	lʲ	0.077
m	m	0.753
m	-	0.072
m	v	0.072
n	n	0.591
n	ə	0.225
n	nʲ	0.12
p	p	0.574
p	v	0.284
r	r	0.948
r	j	0.052
s	s	0.862
s	r_s	0.087
s	z	0.051
t	t	0.898
t	-	0.082
tʰ	t	1.0
v	v	0.86
v	-	0.134
v_ˈʊ	ˈʊ	0.494
x	x	0.509
x	-	0.129
x	j	0.129
x	k	0.129
x	w	0.094
z	s	0.831
z	ʃ	0.094
z	z	0.072
ç	j	0.303
ç	ŋ	0.296
ç	x	0.258
ç	k	0.079
ç_#>	#>	1.0
ŋ	ŋ	0.829
ŋ	ə	0.084
ŋ	n	0.08
ɐ	r	0.524
ɐ	ə	0.445
ə	ə	0.244
ɡ	k	0.465
ɡ	ɡ	0.365
ɡ	j_ə	0.087
ɪ	i	1.0
ʃ	ʃ	0.545
ʃ	s	0.444
ʒ	-	0.66
ʒ	j	0.161
ˈa	ˈɒ	0.182
ˈa	ˈœ	0.153
ˈa	ˈɒː	0.123
ˈa	ˈeː	0.091
ˈa	ˈɔː	0.091
ˈa	ˈʊ	0.091
ˈa	ˈa	0.079
ˈa	ˈɛi̯	0.052
ˈaɪ̯	ˈiː	0.699
ˈaɪ̯	ˈiː_ə	0.108
ˈaɪ̯	ˈɔu̯	0.108
ˈaʊ̯	ˈuː	0.349
ˈaʊ̯	ˈyː	0.245
ˈaʊ̯	ˈœ	0.193
ˈaʊ̯	ˈɔ	0.092
ˈaʊ̯	ˈiː	0.052
ˈaʊ̯	ˈɔu̯	0.052
ˈaː	ˈa	0.202
ˈaː	ˈɛ	0.202
ˈaː	ˈeː	0.137
ˈaː	ˈœ	0.131
ˈaː	ˈʊ	0.131
ˈaː	ˈuː	0.094
ˈeɪ̯	ˈiː	0.53
ˈeɪ̯	ˈi	0.187
ˈeɪ̯	ˈɒː	0.173
ˈeː	ˈɛː	0.2
ˈeː	w	0.152
ˈeː	ˈiː	0.152
ˈeː	ˈøː	0.152
ˈeː	j	0.107
ˈeː	ˈaː	0.107
ˈeː	ˈɛi̯	0.081
ˈiː	ˈi	0.512
ˈiː	ˈeː	0.165
ˈiː	ˈiː	0.144
ˈiː	ˈai̯	0.081
ˈiː	ˈyː	0.066
ˈoː	ˈɛi̯	0.17
ˈoː	ˈɒː	0.157
ˈoː	ˈɛː	0.145
ˈoː	ˈɔu̯	0.093
ˈoː	ˈɔː	0.093
ˈoː	ˈiː	0.071
ˈoː	ˈøː	0.071
ˈoː	ˈuː	0.06
ˈoː	ˈyː	0.059
ˈoː	ˈeː	0.051
ˈuː	ˈyː	0.706
ˈuː	ˈœ	0.115
ˈuː	ˈuː	0.086
ˈuː	ˈøː	0.084
ˈyː	ˈʏ	0.271
ˈyː	ˈyː	0.134
ˈyː	ˈiː	0.117
ˈyː	ˈøː	0.117
ˈø	ˈeː	0.185
ˈø	ˈʊ	0.185
ˈøː	ˈɔː	0.37
ˈøː	ˈɔu̯	0.21
ˈøː	ˈøː	0.183
ˈøː	ˈaː	0.069
ˈœ	ˈeː	1.0
ˈœː	ˈa	0.326
ˈœː	ˈɔː	0.326
ˈɔ	ˈɔː	0.552
ˈɔ	ˈɒ	0.112
ˈɔ	ˈɔ	0.112
ˈɔ	ˈʏ	0.079
ˈɔ	ˈʊ	0.076
ˈɔʏ̯	ˈiː	0.282
ˈɔʏ̯	ˈɛ	0.254
ˈɔʏ̯	ˈɛi̯	0.193
ˈɔʏ̯	ˈi	0.095
ˈɔʏ̯	ˈyː	0.069
ˈɔʏ̯	ˈøː	0.067
ˈɔː	ˈœ	0.244
ˈɛ	ˈeː	0.316
ˈɛ	ˈɔː	0.182
ˈɛ	ˈɛi̯	0.128
ˈɛ	ˈʊ	0.128
ˈɛ	ˈɛː	0.122
ˈɛɪ̯	ˈɒ	0.425
ˈɛɪ̯	ˈeː	0.241
ˈɛɪ̯	ˈɛi̯	0.137
ˈɪ	ˈi	0.308
ˈɪ	ˈa	0.27
ˈɪ	ˈʊ	0.134
ˈɪ	ˈœ	0.065
ˈɪ	ˈɛ	0.065
ˈɪ	ˈiː	0.055
ˈɪ	ˈai̯	0.052
ˈʊ	ˈʊ	0.641
ˈʊ	ˈyː	0.105
ˈʊ	ˈœ	0.105
ˈʊ	ˈɔ	0.097
ˈʊ_n	ˈyː	0.494
ˈʏ	ˈa	0.303
ˈʏ	ˈyː	0.174
ˈʏ	ˈœ	0.174
ˈʏ	ˈʏ	0.123
ˈʏ	ˈʊ	0.118
ˈʏ	ˈeː	0.057
