Slovenian	Štokavian	probability
a	a	1.0
á	â	1.0
áː	âː	1.0
b	b	1.0
d	d	1.0
i	i	1.0
ìː	î	1.0
íː	îː	1.0
m	m	1.0
o	ô	1.0
òː	ô	1.0
s	s	1.0
úː	ûː	1.0
x	x	1.0
z	z	1.0
ɔ	o	1.0
ɔ̀ː	ǒ	1.0
ə̀	-	1.0
ɛ̀ː	ě	1.0
ɡ	ɡ	1.0
ʃ	ʒ	1.0
ʋ	ʋ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʨ	1.0
èː	j_ê	0.121
j	j	0.231
r	r	0.781
ə	-	0.081
ɛ	e	0.431
e	êː	0.072
éː	e	0.232
k	ɡ	0.132
p	p	0.752
w	l	0.452
àː	â	0.933
éː	j_êː	0.303
t	d	0.063
èː	j_ěː	0.624
óː	o	0.344
r	r̩̂ː	0.064
ə́	-	0.824
èː	j	0.255
l	ʎ	0.145
óː	ôː	0.386
r	r̩̂	0.06
ə́	â	0.176
àː	ǎː	0.067
éː	ê	0.107
n	n	0.957
óː	ûː	0.27
t	t	0.937
e	ê	0.928
éː	êː	0.178
éː	eː	0.18
k	k	0.868
l	l	0.838
p	b	0.248
r	r̩̂	0.08
w	o	0.548
j	-	0.769
ə	a	0.919
ɛ	j_e	0.569
