Latin	Ligurian	probability
ae̯	e	1.0
aː	a	1.0
e	-	1.0
iː	i	1.0
kː	k	1.0
lʲ	-	1.0
lʲː	l	1.0
nː	n	1.0
o	-	1.0
sː	s	1.0
tː	t	1.0
u	-	1.0
ŋ	ŋ	1.0
ɛ̃	e	1.0
ˈau̯	ˈɔː	1.0
ˈeː	ˈe	1.0
ˈu	-	1.0
i	ˈeː	0.051
l	-	0.431
p	v	0.241
w	v	0.751
ɔ	-	0.131
ɫ	l	0.361
ʊ	w	0.091
ˈoː	ˈu	0.721
ˈɔ	ˈøː	0.171
ˈɛ	ˈe	0.381
ˈɪ	ˈeː	0.261
j	z	0.322
k	-	0.272
n	ɲ	0.082
t	s	0.082
t	w	0.132
ɪ	ˈe	0.122
ɪ	-	0.262
ʊ̃ː	u	0.822
ˈaː	-	0.272
ˈɔ	ˈɔː	0.362
ˈɛ	ˈeː	0.22
ˈɪ	ˈe	0.62
a	ˈaː	0.073
b	-	0.113
eː	e	0.463
f	f	0.983
oː	-	0.143
oː	u	0.773
p	-	0.073
ɔ	u	0.483
ɛ	e	0.653
ˈʊ	ˈy	0.203
ˈʊ	ˈuː	0.223
a	a	0.44
n	ŋ	0.404
r	r	0.484
s	z	0.074
ɡ	-	0.324
ʊ	u	0.624
ˈa	ˈaː	0.194
ˈiː	ˈiː	0.224
ãː	ʤ_a	0.05
b	v	0.25
k	ʒ	0.145
kʷ	k_w	0.145
kʷ	k	0.855
m	-	0.105
oː	i	0.085
ʊ	-	0.285
ˈuː	ˈyː	0.475
ˈuː	ˈy	0.525
ˈɛ	ˈɛː	0.285
ˈʊ	ˈu	0.575
ãː	a	0.816
k	ɡ	0.216
k	k	0.366
n	-	0.126
t	t	0.616
ɔ	w	0.386
ɛ̃ː	u	0.136
ɛ̃ː	a	0.156
ˈa	ˈa	0.726
ˈiː	ˈi	0.776
ˈɔ	ˈu	0.276
a	j	0.097
b	b	0.637
eː	-	0.537
m	m	0.777
p	p	0.597
r	-	0.457
s	-	0.187
t	-	0.17
ɛ	-	0.347
ɫ	-	0.617
ʊ̃ː	-	0.137
ˈɛ	ˈɛ	0.067
ãː	-	0.098
d	ʤ	0.088
d	d	0.618
j	-	0.678
ɡ	z	0.328
ɪ	j	0.118
ˈaː	ˈa	0.648
a	-	0.39
d	-	0.269
i	-	0.949
l	l	0.569
m	ŋ	0.119
n	n	0.389
p	ʧ	0.089
s	s	0.739
w	-	0.249
ɛ̃ː	e	0.709
ɡ	ɡ	0.349
ɪ	i	0.239
ɪ	e	0.259
ˈaː	ˈaː	0.079
ˈoː	ˈuː	0.089
ˈoː	ˈy	0.19
ˈɔ	ˈɔ	0.19
ˈɪ	-	0.119
