Saterland Frisian	Gothic	probability
h	h	1.0
x	h	1.0
ˈaː	ˈa	1.0
ˈaːi̯	ˈa	1.0
ˈyː	ˈiu̯	1.0
ˈɔː	ˈa	1.0
ˈɪ	ˈi	1.0
f	f_s	0.141
j	-	0.211
ˈɔ	ˈu	0.481
ˈɛ	ˈi	0.741
ˈɛɪ̯	i	0.071
j	ˈi	0.192
k	k	0.822
v	w	0.932
ŋ	s_#>	0.072
ˈi	ˈi	0.272
ˈoː	ˈɔ	0.072
d	θ	0.423
n	nː	0.093
p	p	0.923
r	-	0.073
r	a_r	0.083
ŋ	h	0.093
ə	oː	0.133
ə	a	0.223
ˈuː	ˈuː	0.23
l	l	0.914
n	n_s	0.144
r	r	0.844
s	s	0.974
t	θ	0.104
ə	u	0.064
ˈeː	ˈɔː	0.094
ˈeː	ˈɛː	0.584
ˈiː	ˈi	0.714
ˈoːu̯	ˈeː	0.184
ˈuː	ˈoː	0.234
ˈɛɪ̯	ˈiː_s	0.104
ˈɛː	ˈa	0.644
ˈʊ	ˈu	0.704
k	k_s	0.155
m	m_s	0.315
m	m	0.685
n	n	0.725
ə	-	0.125
ɣ	ɣ	0.165
ɣ	-	0.165
ˈɛɪ̯	r	0.385
d	d_s	0.066
t	t	0.66
ə	a_n	0.456
ˈa	s_#>	0.176
ˈeː	ˈa	0.126
ˈeː	ˈɛː_w	0.196
ˈiː	ˈɛ	0.286
ˈuː	ˈu	0.536
ˈɛː	ˈi	0.356
ˈʊ	ˈi	0.296
d	d	0.307
p	p_s	0.077
ˈa	ˈa	0.597
b	b	0.958
j	j	0.318
t	t_s	0.208
ŋ	ŋ_ɡ	0.318
ˈa	n_#>	0.118
ˈi	ˈiː	0.728
ˈoːu̯	-	0.088
d	θ_s	0.089
f	f	0.859
j	ˈɛ	0.279
ŋ	ŋ	0.479
ɣ	ɡ	0.669
ˈa	a_#>	0.109
ˈoː	ˈɔː	0.389
ˈoː	ˈa	0.539
ˈoːu̯	ˈa	0.359
ˈoːu̯	ˈoː	0.369
ˈɔ	ˈa	0.519
ˈɛ	ˈa	0.259
ˈɛɪ̯	ˈeː	0.439
