Proto-Balto-Slavic	Kashubian	probability
́ˀ	ˈ	1.0
ʃ	x	1.0
ɛ	ɛ	1.0
ŋ_ɡ	ʒ̊	1.0
ŋ	-	1.0
z	z	1.0
uː_́ˀ	ˈ	1.0
uː	ə	1.0
sʲ	s	1.0
p	p	1.0
o	-	1.0
n_d	d	1.0
n_aː	n_a	1.0
l_i	l	1.0
l	w	1.0
k_t	ʦ	1.0
j	-	1.0
e_́	ˈ	1.0
d_u	d̥	1.0
au̯	ə	1.0
a_́	ˈ	1.0
m	m	0.823
aː	a	0.8
b	b	0.797
r	r	0.765
oː	a	0.739
ˀ	ˈ	0.714
i	-	0.692
w	v	0.682
zʲ	z	0.68
́	ˈ	0.675
u	-	0.661
k	k	0.637
s	s	0.622
t	t	0.586
eː	j	0.58
d	d	0.537
n	n	0.514
ɡ	ɡ	0.506
n	-	0.486
ai̯	j	0.468
eː	-	0.42
s	-	0.378
k	-	0.363
e	ɛ	0.341
u	ʧ_i	0.339
ai̯	-	0.292
ˀ	-	0.286
́	-	0.275
d	ʣ	0.266
oː	-	0.261
a	ɔ	0.256
ai̯	a	0.24
i	ã	0.231
ɡ	ɡ̊	0.228
e	-	0.214
r	r̝	0.209
e	j	0.208
b	b̥	0.203
t	-	0.201
aː	ɞ	0.2
d	d̥	0.196
zʲ	z̥	0.178
m	-	0.177
w	v_j	0.169
e	e	0.169
ɡ	ʒ	0.167
w	f	0.149
a	i	0.147
zʲ	ɡ	0.142
a	õ	0.132
a	a	0.131
a	-	0.125
t	ʦ	0.123
a	u	0.106
a	u̯ɛ	0.104
ɡ	ʤ	0.099
t	d	0.09
i	ɛ	0.077
e	u	0.067
