Aragonese	Friulian	probability
d	d	1.0
f	f	1.0
r	r	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʧ	ʤ	1.0
k	k	0.351
t	l_t	0.071
ɡ	ɡ	0.751
ˈe	ˈo	0.051
ˈe	ˈa	0.061
ˈe	ˈɛ	0.361
ˈu	ˈuː	0.161
ˈu	ˈu	0.51
a	-	0.072
e	-	0.162
j	ˈi	0.062
j	j	0.732
n	ŋ	0.12
p	-	0.052
ʝ	-	0.542
ˈi	i	0.142
ˈu	ˈo	0.262
β	f	0.052
θ	-	0.092
m	-	0.073
n	n	0.723
s	s	0.873
ɡ	-	0.073
ʎ	j	0.383
ʎ	l	0.543
ˈe	ˈi	0.133
ˈi	ˈiː	0.053
ˈo	ˈa_w	0.053
ˈo	ˈoː	0.273
ˈo	ˈo	0.503
β	b	0.123
b	v	0.724
n	ɲ	0.094
ð	t	0.164
ʎ	-	0.074
ˈa	ˈa	0.824
a	a	0.175
e	e	0.415
i	-	0.215
o	i	0.65
u	-	0.095
u	o	0.905
ɣ	ɡ	0.275
ɣ	-	0.725
ˈe	ˈe	0.205
ˈi	ˈi	0.805
ˈo	w	0.085
θ	ʧ	0.55
b	b	0.276
i	j	0.136
l	l	0.916
o	o	0.236
p	p	0.906
ɡ	k	0.176
ɾ	-	0.276
β	-	0.196
a	e	0.7
i	i	0.37
l	-	0.067
m	m	0.927
ˈa	ˈaː	0.157
e	i	0.38
i	a	0.28
s	z	0.088
t	t	0.888
w	w	0.578
ð	-	0.078
ð	d	0.758
ʝ	j	0.458
θ	s	0.358
j	-	0.169
k	c	0.649
o	w	0.099
w	-	0.369
ɾ	r	0.659
ˈe	-	0.09
β	w	0.09
β	v	0.539
