Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʏ	ˈɪ	1.0
ˈʉː_#>	ˈɪ_ɡ̊_v̥_#>	1.0
ˈœʏ̯	ˈɔːi̯	1.0
ˈøː	ˈøː	1.0
ˈeː_ɡ_#>	ˈeː_#>	1.0
ʰtː	ʰt	1.0
ʰpː	ʰp	1.0
ʰkː	ʰk	1.0
ʋ	v	1.0
ʉ	ˈœ_d̥	1.0
ʂ	ʃ	1.0
ɾ_ɑ	ɹ_a	1.0
ɾ_n	t͡n̥	1.0
ɲ	ɲ	1.0
ɪ	ɪ_ŋ	1.0
ɡː	ɡ̊ː	1.0
ɛ	ɪ	1.0
ɑ	a	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
çː	ʰʧ	1.0
v	v	1.0
tː	ʰt	1.0
tʰ	tʰ	1.0
t_ə	ʰt͡n̥	1.0
sː	sː	1.0
s	s	1.0
pʰ	pʰ	1.0
kʰ	kʰ	1.0
jː	ʤ̊ː	1.0
j_ɑ	ʤ̊_a	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e_n	ɪ_n	1.0
e_#>	ʊ_#>	1.0
d_ɾ	d̥_ɹ	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ɾ	<#_ɹ	1.0
<#_j	<#	1.0
m	m	0.92
l	l	0.875
k	k	0.875
ɾ	ɹ	0.873
n	n	0.868
ˈoː	ˈɔ̯aː	0.867
ˈɑː	ˈɛːa̯	0.857
#>	ʊ_ɹ_#>	0.841
ˈʉ	ˈʊ	0.833
ˈɪ	ˈɪ	0.769
t	t	0.767
ˈiː	ˈʊ̯iː	0.765
ə	-	0.75
d	d̥	0.737
ç	ʧʰ	0.727
ˈʉː	ˈʉːu̯	0.722
ˈɑ	ˈa	0.72
nː	nː	0.667
ɡ	ɡ̊	0.625
p	p	0.625
lː	t͡l̥	0.625
ˈʊ	ˈɔ	0.6
ˈuː	ˈɔːu̯	0.6
ˈɔ	ˈɔ	0.583
ˈyː	ˈʊ̯iː	0.571
ˈæɪ̯	ˈai̯	0.538
ˈœ	ˈɔ	0.5
ˈœ	ˈœ	0.5
ˈæː	ˈeː	0.5
ˈæː	-	0.5
ˈæʉ̯	ˈɛːi̯_j	0.5
ˈæʉ̯	ˈɛːi̯	0.5
e	a	0.467
ˈɛ	ˈɛ	0.438
ˈyː	-	0.429
ˈeː	ˈeː	0.417
ˈʊ	-	0.4
p	ʰp	0.375
lː	l_d̥	0.375
ˈeː	ˈɛːa̯	0.333
nː	n_d̥	0.333
e	ɪ	0.333
ˈæɪ̯	ˈaːi̯	0.308
ç	ʧ	0.273
ˈɛ	-	0.25
ˈɔ	ˈœ	0.25
ˈeː	ˈiː	0.25
ə	ɪ	0.25
ˈɪ	-	0.231
ˈɑ	ˈɔ	0.2
ˈɛ	ˈa	0.188
ˈʉː	ˈuː	0.167
ˈʉ	ˈʏ	0.167
ˈɔ	ɹ	0.167
t	ʰt	0.167
d	-	0.158
ˈæɪ̯	-	0.154
ˈuː	ˈoː	0.15
ˈuː	-	0.15
ˈɑː	-	0.143
ˈoː	ˈoː	0.133
e	ʊ	0.133
ˈɛ	ˈeː	0.125
ɡ	v̥	0.125
ɡ	v	0.125
ɡ	-	0.125
k	-	0.125
ˈiː	ˈʊ_ʤ̊ː	0.118
ˈiː	ˈiː	0.118
ˈʉː	ˈɪ_ɡ̊	0.111
d	tʰ	0.105
ˈuː	ˈɛ_ɡ̊	0.1
ɾ	-	0.091
ˈɑ	ˈɛ	0.08
m	-	0.08
#>	a_#>	0.08
n	n̥	0.079
l	l̥	0.075
t	ʈ	0.067
e	ɡ̊_a	0.067
#>	ɡ̊_ʊ_ɹ_#>	0.057
n	-	0.053
