Old Frisian	Hessian	probability
ˈɛː_n	ˈãː	1.0
ˈuː	ˈau̯	1.0
ˈu_n	ˈõː	1.0
ˈi̯uː_ɣ	ˈoĩ̯	1.0
ˈi̯uː	ˈoi̯	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈi_kː	ˈi	1.0
ˈeː_r	ˈɑː	1.0
ˈeː_n	ˈĩː	1.0
ˈaː_n	ˈɛ̃ː	1.0
ʦ	kʰ	1.0
ʣ	-	1.0
ɡː	k	1.0
ə_r	æ̆	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z	s	1.0
v	v	1.0
tː	ʦ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
r_m	m	1.0
pː	b̥	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k_s	k_s	1.0
j_ə	ə	1.0
iː	ɛː	1.0
i	i	1.0
h_w	v	1.0
h_r	ʀ	1.0
h_l	l	1.0
h	h	1.0
f_r	f_ʀ	1.0
f	f	1.0
dː	d̥	1.0
d_r	t_ʀ	1.0
bː	ˈɑ_v	1.0
w	v	0.898
d	d̥	0.855
n	n	0.848
s	s	0.807
ˈi	ˈi	0.754
ˈoː	ˈuː	0.743
ɣ	-	0.732
ˈo	-	0.707
θ	d̥	0.68
ˈeː	-	0.676
ˈiː	ˈai̯	0.657
ˈi̯aː	ˈiː	0.648
b	b̥	0.646
ɣ̥	ʃ	0.629
ˈaː	ˈaː	0.597
ə	-	0.584
p	f	0.578
ˈɛː	ˈaː	0.551
x	ʃ	0.545
r	ɐ	0.524
ˈu	ˈu	0.513
x	x	0.455
ˈɔː	ˈɑ	0.448
ɡ	ɡ̊	0.414
ˈa	ˈa	0.411
ɡ	-	0.405
k	ʃ	0.404
ˈɔː	ˈɔ	0.403
ə	ə	0.397
ɣ̥	-	0.371
ˈa	ˈɑ	0.357
b	p	0.354
ˈaː	ˈoː	0.351
t	s	0.345
ˈiː	-	0.343
j	ɡ̊	0.341
ˈeː	ˈɑː	0.324
k	x	0.32
r	ʀ	0.294
ˈo	ˈo	0.293
ɣ	ɣ̊	0.268
ˈɛː	-	0.259
ˈoː	ˈu	0.257
j	-	0.255
p	v̥	0.248
t	t	0.243
θ	t	0.237
ˈa	ˈɑː	0.232
t	z̥	0.218
j	ɣ̊	0.213
ˈu	ˈo	0.205
ˈi̯aː	-	0.203
ˈi	-	0.193
j	j	0.191
ˈɛː	ˈeː	0.19
ˈu	-	0.182
ɡ	k	0.181
p	-	0.174
k	ɡ̊	0.162
t	ʦ	0.157
ˈe	ˈi	0.155
n	-	0.152
ˈɔː	ˈoː	0.149
ˈi̯aː	ˈi	0.148
ˈe	ˈe	0.14
ˈe	ˈɛ	0.138
ˈe	ˈɑː	0.131
ˈe	ˈæ	0.119
d	-	0.115
k	k	0.113
s	ʃ	0.112
ˈe	-	0.108
w	v_ˈɔ	0.102
ˈu	ˈoː	0.101
r	æ̆	0.099
θ	-	0.083
r	-	0.082
s	ʒ̊	0.081
ˈe	ˈɛː	0.079
ˈe	ˈa	0.07
ˈe	ˈæː	0.059
ˈi	ˈɛ	0.053
ˈaː	oː	0.051
