Provençal	Provençal	probability
ˈɛ_j	ˈɛ	1.0
ˈỹ	ˈo	1.0
ˈũ_ŋ	ˈõũ̯	1.0
ˈũ	ˈo	1.0
ˈu_#>	ˈou̯_r_#>	1.0
ˈĩ	ˈẽ	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_ʧ	t	1.0
ˈe_ʀ	r_t	1.0
ˈe_w	v	1.0
ˈã_ŋ	ˈʌ̃	1.0
ˈã	ˈʌ̃	1.0
ˈa_ʀ	ˈeə̯_r	1.0
ˈa_w	ˈɔə̯	1.0
ˈa_n	ˈʌ̃_n	1.0
ˈa_j	ˈa	1.0
ˈa_#>	ˈeə̯_#>	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_e	ɐ_r	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
z_ˈa	j	1.0
z	z	1.0
y	u	1.0
w_ˈẽ	ˈõũ̯	1.0
v	v	1.0
ũ	u	1.0
t	t	1.0
s_ˈe	s_ˈeː	1.0
p_ˈe	p_ˈɛ	1.0
p	p	1.0
n	n	1.0
mː	t_m	1.0
m	m	1.0
lː	-	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_ˈe	ˈi	1.0
j_ɾ	d	1.0
j_s	s	1.0
j_#>	#>	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
ẽ	-	1.0
e_s	s	1.0
e_#>	#>	1.0
ã	ɐ	1.0
a_b	ɐ_v	1.0
<#_ˈa	<#_ˈeə̯	1.0
<#_ʤ	<#_ð	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ɔ	ɐ	0.926
w_#>	l_#>	0.9
b	b	0.885
ɾ	r	0.84
ʀ	r	0.81
d	d	0.778
a	ɐ	0.75
ʤ	-	0.7
ɥ	-	0.667
u	u	0.625
s	s	0.614
j	-	0.6
ˈi	ˈi	0.556
l	l	0.542
ˈɛ	ˈɛə̯	0.5
ˈɔ	ˈɔə̯	0.5
ˈɔ	-	0.5
w_ˈe	ˈɔə̯	0.5
w_t	ˈeː_t	0.5
w_t	t	0.5
<#_ɥ	<#_ˈɔ	0.5
<#_ɥ	<#	0.5
<#_a	<#_ɐ	0.5
<#_a	<#	0.5
s_#>	z_#>	0.462
ˈa	ˈeə̯	0.433
ˈu	ˈou̯	0.421
ˈu	ˈo	0.421
ˈẽ	ˈɛ	0.385
u	-	0.375
l	j	0.375
ˈy	ˈo	0.364
ˈy	-	0.364
ɥ	ˈɔ	0.333
e	ɐ	0.333
ŋ	n_t	0.312
w_ˈe	ˈɔ	0.312
ˈẽ	ˈẽ	0.308
s_#>	θ_#>	0.308
ʤ	ð	0.3
e	-	0.296
s	θ	0.295
ŋ	n	0.281
ˈy	ˈu	0.273
w	-	0.273
j	j	0.267
a	a	0.25
#>	ɐ_#>	0.25
ˈa	ˈa	0.233
ˈẽ	-	0.231
s_#>	#>	0.231
w	l	0.227
ˈi	ˈɛ	0.222
ˈe	ˈɛ	0.222
d	-	0.222
#>	t_#>	0.214
ˈɛ	ˈeː	0.2
ʀ	-	0.19
ŋ	ŋ	0.188
w_ˈe	ˈo	0.188
ˈe	-	0.185
e	ɐ_r	0.185
w	ˈɔə̯	0.182
#>	d_#>	0.179
ɾ	-	0.16
ˈu	-	0.158
ˈe	ˈeː	0.148
w	v	0.136
ˈɛ	ˈɛ	0.133
j	ˈi	0.133
ŋ	-	0.125
b	v	0.115
ˈi	ˈẽ	0.111
ˈi	j_ˈɔə̯	0.111
ˈe	ˈu	0.111
ˈe	ˈou̯	0.111
ˈe	ˈo	0.111
e	i	0.111
#>	s_#>	0.107
#>	p_#>	0.107
ˈa	ˈʌ̃	0.1
w_#>	#>	0.1
ŋ	j̃	0.094
w	v_ɐ	0.091
w	u	0.091
s	z	0.091
l	-	0.083
ˈẽ	ˈɛ̃	0.077
ˈe	ˈi	0.074
e	ɐ_n	0.074
#>	θ_#>	0.071
#>	r_#>	0.071
ˈɛ	ˈi	0.067
ˈɛ	-	0.067
ˈa	ˈʌ̃_n	0.067
ˈa	ɐ	0.067
ˈa	v_ˈa	0.067
