Scots	West Flemish	probability
b	b	1.0
d	t	0.567
d	d	0.396
d	-	0.04
e	-	0.388
e	n	0.199
f	v	0.837
f	f	0.16
h	-	0.858
h	z	0.091
h	ɦ	0.058
i	ə	0.512
j	j	0.389
j	ˈiə̯	0.257
j	ɦ	0.164
j	ˈɛː	0.105
k	k	1.0
k_s	s	1.0
kʰ	k	0.826
kʰ	v	0.148
l	l	0.983
l	w	0.037
l_d	t	1.0
m	m	1.0
n	n	0.867
n	-	0.09
n	ɦ_n	0.043
p	p	1.0
pʰ	p	0.512
r	ɾ	0.935
r	-	0.063
s	z	0.516
s	s	0.457
t	t	0.955
t	t_n	0.055
tʰ	t	0.97
tʰ	b	0.047
v	v	1.0
w	ʋ	0.923
w	-	0.077
x	h	1.0
z	s	0.683
z	z	0.231
ð	d	0.496
ð	-	0.484
ŋ	ŋ	1.0
ə	-	0.682
ə	ə	0.277
ə	ˈæ	0.05
əi̯	m	0.574
əi̯	ə	0.294
ɡ	ɦ	0.862
ɡ	-	0.124
ɪ	-	0.512
ɫ	l	0.512
ɹ	ˈi	1.0
ʃ	ʃ	0.607
ʃ	s	0.369
ʍ	ʋ	1.0
ʧ	k	1.0
ˈa	ˈɔ	1.0
ˈaːɪ̯	ˈœ	0.263
ˈe	ˈɒː	0.352
ˈe	ˈɛː	0.299
ˈe	ˈoː	0.079
ˈe	ˈeː	0.071
ˈe	ˈiə̯	0.069
ˈei̯	ˈoː	0.581
ˈei̯	ˈeː	0.137
ˈei̯	ˈiə̯	0.078
ˈei̯	ə	0.073
ˈei̯	-	0.062
ˈeː	ˈɒː	0.312
ˈeː	ˈɛ	0.16
ˈeː	ˈɑ	0.16
ˈi	ˈuə̯	0.415
ˈi	ˈæ	0.213
ˈi	ˈoː	0.213
ˈiː	ˈiə̯	0.385
ˈiː	ˈɒː	0.185
ˈiː	ˈuə̯	0.145
ˈiː	ˈoː	0.14
ˈiː	ˈɛː	0.073
ˈø	ˈuə̯	0.614
ˈø	ˈɑ_n	0.226
ˈø	ˈɒː	0.149
ˈɑ	ˈɑ	0.592
ˈɑ	ˈɛ	0.273
ˈɑ	ˈɒː	0.115
ˈɑː	ˈɑ	0.444
ˈɑː	ˈu	0.248
ˈɑː	w	0.169
ˈɑː	ˈiə̯	0.075
ˈɑː	ˈɛː	0.065
ˈɔ	ˈoː	0.342
ˈɔ	ˈɔ	0.297
ˈɔ	ˈøː	0.158
ˈɔ	ˈu	0.091
ˈɔ	ˈœ	0.07
ˈəi̯	ˈi	0.359
ˈəi̯	ˈɪ	0.109
ˈəi̯	ˈiə̯	0.109
ˈəi̯	ˈyː	0.089
ˈəi̯	ˈoː	0.087
ˈɛ	ˈæ	0.219
ˈɛ	ˈiə̯	0.219
ˈɛ	ˈeː	0.195
ˈɛ	ˈɑ	0.116
ˈɛ	ˈɒː	0.101
ˈɪ	ˈɪ	0.255
ˈɪ	ˈuə̯	0.148
ˈɪ	ˈɑ	0.129
ˈɪ	ˈœ	0.115
ˈɪ	ˈɛ	0.078
ˈʉ	ˈyː	0.426
ˈʉ	ˈu	0.26
ˈʉ	ˈøː	0.087
ˈʉ	ʋ	0.087
ˈʉ	ˈœ	0.073
ˈʌ	ˈɛː	0.461
ˈʌ	ˈœ	0.151
ˈʌ	ˈæ	0.082
ˈʌ	ˈu	0.082
ˈʌʉ̯	w	0.28
ˈʌʉ̯	ˈiə̯	0.28
ˈʌʉ̯	ˈoː	0.28
ˈʌʉ̯	ˈu	0.114
θ	d	0.586
θ	t	0.303
θ	n_t	0.103
