Emilian	Emilian	probability
θ_#>	s_#>	1.0
ˈʌ_ŋ	ˈũ	1.0
ˈɛ_r	ˈa	1.0
ˈɛ_d	ˈɑː_d	1.0
ˈɛ_#>	ˈɑː_#>	1.0
ˈæ_ŋ	ˈẽ	1.0
ˈo_ŋ	ˈũ	1.0
ˈiː_r	ˈi	1.0
ˈi	-	1.0
ˈe_ŋ	ˈĩ	1.0
ˈaː_s	ˈa_s	1.0
ˈa_ŋ	ˈã	1.0
ˈa_j	ˈeː	1.0
ʤ	ʤ	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
ŋ_n	n	1.0
ð_e	ʧ	1.0
w	w	1.0
v_e	ẽ	1.0
v_#>	f_#>	1.0
u_ŋ	ũ	1.0
t_a	t_a	1.0
s_e	s	1.0
s	s	1.0
r_a	r_a	1.0
r_#>	#>	1.0
r	r	1.0
p	p	1.0
o	-	1.0
l	l	1.0
k	k	1.0
j_r_#>	#>	1.0
f	f	1.0
d_#>	t_#>	1.0
d	d	1.0
b	b	1.0
a_ŋ	ã	1.0
a_r	e_r	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈaː	<#_ˈa	1.0
<#_u	<#_u	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
t	t	0.939
n	n	0.931
m	m	0.931
v	v	0.926
j	j	0.818
ʧ	ʧ	0.778
ɲ	ɲ	0.778
θ	ʧ	0.75
z	s	0.727
ˈʌ	-	0.714
ð	ʒ	0.714
ˈɔ	ˈɔ	0.615
ˈʌu̯	ˈuː	0.583
ˈo	ˈyː	0.583
e	e	0.542
ˈɛ	ˈɛ	0.5
ˈaː	ˈɑː	0.5
ŋ	ˈẽ	0.5
ŋ	n_a	0.5
u	y	0.5
u	u	0.5
#>	s_#>	0.5
#>	a_#>	0.5
ˈɔː	ˈøː	0.444
ˈiː	ˈiː	0.444
ˈɛː	ˈɛ	0.429
i	i	0.429
ˈuː	ˈyː	0.417
ˈe	ˈiː	0.417
ˈɔː	ˈɔ	0.389
ˈa	ˈɛ	0.381
e	-	0.375
ˈiː	ˈeː	0.333
ˈe	-	0.333
ˈɛ	ˈɑː	0.316
ˈʌ	ˈu	0.286
ˈɛː	ˈeː	0.286
ˈɛː	ˈe	0.286
ð	-	0.286
i	ĩ	0.286
i	-	0.286
z	z	0.273
θ	s	0.25
ˈʌu̯	ˈu	0.25
ˈuː	ˈøː	0.25
ˈo	-	0.25
ˈe	ˈi	0.25
ˈaː	ˈa	0.25
ˈaː	-	0.25
ˈa	ˈeː	0.238
ˈa	-	0.238
ˈiː	ˈi	0.222
ʧ	-	0.222
ɲ	-	0.222
ˈɛ	ˈa	0.184
j	-	0.182
ˈʌu̯	ˈyː	0.167
ˈɔː	ˈoː	0.167
ˈuː	ˈy	0.167
ˈuː	-	0.167
ˈo	ˈɔ	0.167
ˈɔ	ˈœ	0.154
ˈɔ	-	0.154
ˈa	ˈa	0.143
e	o	0.083
ˈɔ	ˈo	0.077
v	-	0.074
n	-	0.069
m	e_m	0.069
t	ʧ	0.061
