Campidanese	Campidanese	probability
ˈɛ_n	ˈe_n	1.0
ˈɔ_ɾ	ˈɔ_ɾ	1.0
ˈi_ɾ	ˈi_ɾ	1.0
ˈa_β	ˈa_p	1.0
ʧ	k	1.0
ʦ	ʦ	1.0
ʒ_i	k_ɛ	1.0
ɾ_ˈu	ˈu_ɾ	1.0
ɾ_u	ɾ_u	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɖː	ɖː	1.0
ɔ̆	ɔ̆	1.0
ɔ	ɔ	1.0
ŋ_ɡ	m	1.0
ŋ_k	m	1.0
ŋ	ŋ	1.0
z	z	1.0
u_#>	ɔ_#>	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p_ˈo	p_ˈɔ	1.0
p_u	p_u	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_u	n_u	1.0
n_d	nː	1.0
m	m	1.0
l_i	l_ɛ	1.0
l	l	1.0
k_ˈa	k_ˈa	1.0
ĭ	ɛ̆	1.0
i_#>	#>	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
ă	ă	1.0
a_ɾ	a_ɾ	1.0
a_ð	a_t	1.0
a_n	a_n	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a_r	<#_ɾ	1.0
<#	<#_i	1.0
#>	ɛ_#>	1.0
a	a	0.974
k	k	0.946
ˈɔ	ˈɔ	0.931
ˈu	ˈu	0.917
ˈe	ˈe	0.895
n	n	0.881
ˈi	ˈi	0.872
u	u	0.847
ɛ	ɛ	0.833
ɾ	ɾ	0.82
ɭː	ʣ	0.8
ɣ	k	0.789
ˈo	ˈo	0.75
ˈa	ˈa	0.75
ˈɛ	ˈɛ	0.743
j	j	0.714
i	ɛ	0.703
ð	t	0.615
ʒ	k	0.6
ŭ	ɔ̆	0.583
<#_a	<#	0.571
β	β	0.5
β	p	0.5
ʤ	ʣ	0.5
ʃ	s_k	0.5
ʃ	s	0.5
w	b	0.5
w	-	0.5
i_n	ɛ_n	0.5
i_n	i_n	0.5
<#_a	<#_a	0.429
ŭ	ŭ	0.417
ʒ	z	0.4
ð	ð	0.385
ʤ	ɡ	0.333
j	-	0.286
ˈa	ˈa_ɾ	0.25
ɣ	k_ɾ	0.211
ɭː	l	0.2
ʤ	-	0.167
ɛ	-	0.167
i	i	0.162
ˈo	ˈɔ	0.15
ˈi	ˈi_β	0.128
ˈe	ˈɛ	0.105
ˈo	ˈo_β	0.1
ˈɛ	ˈɛ_ɣ	0.086
ˈɛ	ˈɛ_ð	0.086
ˈɛ	ˈe	0.086
ˈu	-	0.083
ɾ	-	0.082
n	nː	0.071
ˈɔ	ˈɔ_j	0.069
ɾ	ɛ_ɾ	0.066
u	ɔ	0.061
k	-	0.054
