Sichuanese	Sichuanese	probability
⁵⁵	¹¹	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɥ	ɥ	1.0
ɛ_n	e	1.0
ɚ	ə_ɻ	1.0
ɕ	ɕ	1.0
ŋ	ŋ	1.0
²¹³	⁴⁵	1.0
z	ʐ	1.0
w_²¹	w_¹¹	1.0
w	w	1.0
v	v	1.0
tʰ	tʰ͡x	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ͡x	1.0
p	p	1.0
nʲ	n	1.0
n_a	n	1.0
m	m	1.0
kʰ	kʰ͡x	1.0
k	k	1.0
j	j	1.0
f	f	1.0
a_ŋ	ɒ̃	1.0
a_n	æ̃	1.0
<#_ŋ	<#_ɣ	1.0
<#_w	<#_v	1.0
<#_n	<#_l	1.0
⁵³	⁵³	0.964
x	x	0.9
a	a	0.862
n	ŋ	0.783
z̩	z̩	0.75
y	y	0.667
²¹	¹¹	0.56
ɛ	ə_ʔ	0.556
i	i	0.533
ə	ə	0.529
u	u	0.5
e	ə	0.5
e	e	0.5
ə	ə̃	0.471
o	ũ	0.467
i	ĩ	0.467
y	ỹ	0.333
o	ɤ	0.267
z̩	ə_ʔ	0.25
u	ə_ʔ	0.25
u	w_ə	0.25
ɛ	ɤ	0.222
ɛ	a_ʔ	0.222
²¹	²	0.22
²¹	ʔ_²	0.18
o	w_a	0.133
o	-	0.133
n	e	0.13
a	-	0.103
x	h	0.1
n	æ̃	0.087
