Wymysorys	Scots	probability
ˈʏ_x	ˈøː	1.0
ˈʏ_r	ˈiː_r	1.0
ˈɪ	ˈɪ	1.0
ˈɘ̟_x	ˈaː	1.0
ʧ	s	1.0
ʃ_w	s_l	1.0
ʃ_t	s_t	1.0
ɪ_k	i	1.0
ɡ̊	-	1.0
ɟ	-	1.0
ɑ	i_n	1.0
ŋ	ŋ	1.0
z_ˈu	s_ˈɪ	1.0
v_ɛ	ə	1.0
u	-	1.0
s_t	s_t	1.0
s	t	1.0
r	r	1.0
p	-	1.0
n_d	n	1.0
m_ˈø	m	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_a	p	1.0
d̥	d	1.0
d_a	d	1.0
c	k	1.0
b̥	f	1.0
b	b	1.0
ɛ	ə	0.934
z	s	0.877
n	n	0.826
ŋ_ɡ̊	ŋ	0.8
w	l	0.777
ɡ	ɡ	0.76
v	w	0.745
f	f	0.736
ˈei̯	-	0.732
ˈɛ	-	0.726
ˈø	-	0.699
ç	k	0.668
t	d	0.665
ˈɘ̟	ˈɪ	0.635
ʃ	ʃ	0.623
j	-	0.622
ˈai̯	ˈəi̯	0.61
ˈi̯ø	ˈeː_r	0.579
ˈa	ˈe	0.573
ˈu	ˈʌ	0.567
d	θ	0.564
k	k	0.56
ˈʏ	ˈɪ	0.543
ə	ə	0.54
ʦ	t	0.518
x	k	0.51
ʦ	tʰ	0.482
ə	-	0.46
k	kʰ	0.44
d	ð	0.436
ˈi̯ø	-	0.421
ˈɔ	-	0.418
j	j	0.378
ʃ	s	0.377
ˈi	ˈi	0.35
x	ç	0.345
ç	ʧ	0.332
ˈu	-	0.323
ˈʏ	ˈø	0.312
ˈi	ˈiː	0.31
ˈø	ˈi	0.301
ˈɑi̯	ˈiː	0.276
ˈɛ	ˈɛ	0.274
ˈei̯	ˈɑː	0.268
ˈɘ̟	-	0.263
ˈɑ	ˈɑː	0.255
ˈai̯	-	0.252
ˈɑi̯	ˈu	0.24
ɡ	-	0.24
ˈɔ	ˈeː	0.234
ˈi	-	0.23
t	t	0.225
w	-	0.223
ˈɑi̯	ˈuː	0.206
ˈɑ	-	0.202
ŋ_ɡ̊	e	0.2
ˈɑi̯	ˈəi̯	0.184
ˈɑ	ˈa	0.179
f	p	0.178
ˈɔ	ˈe	0.173
ˈɑ	ˈɪ	0.163
ˈa	ˈɛ	0.15
ˈa	-	0.15
ˈʏ	-	0.145
x	x	0.145
ˈɑ	ˈɛ	0.141
v	w_ˈa	0.139
ˈai̯	ˈɪ	0.138
ˈa	ˈɛː	0.128
z	-	0.123
ˈɔ	ˈɛ	0.118
v	-	0.116
ˈi	ˈø	0.11
ˈu	ˈi	0.109
t	ð	0.109
ˈɑi̯	-	0.095
f	f_ˈo	0.086
n	-	0.074
ɛ	ɛ	0.066
n	ˈi_n	0.066
ˈɑ	ˈi	0.06
ˈɔ	ˈoː	0.057
ˈɘ̟	ˈɛ	0.051
ˈɘ̟	ˈaːɪ̯	0.051
