Catalan	Piedmontese	probability
d	d	1.0
f	f	1.0
p	p	1.0
r	r	1.0
z	-	1.0
ʃ	s	1.0
ʤ	d	1.0
m	m	0.951
ð	-	0.191
ð	d	0.421
ɡ	ɡ	0.901
ɾ	r	0.821
ʎ	l	0.721
ˈe	ˈa	0.051
ˈo	ˈy	0.141
b	v	0.672
l	j	0.312
n	ŋ_t	0.232
n	n	0.482
s	s	0.862
u	u	0.822
ɲ	ɲ	0.832
ˈo	ˈɔ	0.152
ˈu	ˈu	0.192
β	v	0.852
i	e	0.493
w	v	0.103
ɣ	-	0.733
ˈa	ˈe	0.23
ˈi	e	0.133
ˈɛ	ə	0.073
ˈɛ	ˈɛ	0.433
ˈɔ	ˈɔ	0.654
j	j	0.095
j	-	0.905
k	k	0.925
l	-	0.085
s	-	0.065
ŋ	ŋ_k	0.155
ŋ	ŋ	0.845
ʒ	z	0.125
ʒ	ʤ	0.875
ˈe	ˈe	0.215
ˈu	ˈø	0.175
b	b	0.26
l	w	0.06
n	ŋ	0.286
ˈe	ˈi	0.106
i	i	0.507
u	-	0.067
ə	e	0.077
ɣ	ɡ	0.267
ˈa	ˈa	0.737
ˈo	ˈu	0.657
ˈu	ˈy	0.597
ˈɔ	ˈu	0.177
b	-	0.068
l	l	0.518
u	j	0.068
ð	t	0.388
ə	a	0.78
ɲ	n	0.08
ɲ	ŋ	0.088
ˈi	ˈi	0.778
ˈɛ	ˈɔ	0.098
ˈɛ	ˈi	0.098
β	b	0.148
t	d	0.069
t	-	0.149
t	t	0.689
w	w	0.269
w	z	0.299
w	-	0.329
ə	-	0.09
ɡ	-	0.099
ɾ	-	0.179
ʎ	j	0.279
ˈe	ˈɛ	0.629
ˈɔ	ˈø	0.169
ˈɛ	ˈu	0.069
ˈɛ	ˈe	0.19
