Gothic	Gothic	probability
θ_u	d	1.0
θ_s	d	1.0
ˈɛː_w	ˈøː	1.0
ˈɔː_s	ˈœː_r	1.0
ˈuː	ˈʉː	1.0
ˈiː	ˈiː	1.0
ˈiu̯_#>	ˈɛː_#>	1.0
ˈiu̯	ˈʉː	1.0
ˈi_ð	ˈyː	1.0
ˈa_ŋ	ˈoː	1.0
ʍ	v	1.0
ɣ	ɡ	1.0
ɡʷː	ɡ	1.0
ɡʷ	-	1.0
ɔː	a	1.0
ŋ_ɡ	ŋː	1.0
ŋ	-	1.0
ð	-	1.0
z	-	1.0
x	ɡ	1.0
t_#>	#>	1.0
s_k	ɧ	1.0
s_#>	#>	1.0
r_u	ɛ_r	1.0
r_t	ʈː	1.0
r_n	ɳ	1.0
p_s	p	1.0
nː	nː	1.0
n_θ	nː	1.0
n_#>	#>	1.0
lː	lː	1.0
l_s	ɛ_l	1.0
kʷ	-	1.0
k_s	k	1.0
k_i	sː	1.0
j_a	ˈeː	1.0
j	-	1.0
iː	-	1.0
h_t	tː	1.0
f_s	v	1.0
e	l	1.0
aː	-	1.0
a_r	r	1.0
a_n	a	1.0
a_#>	#>	1.0
<#_ˈu	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#	<#_kʰ	1.0
#>	n_#>	1.0
r	r	0.909
i	-	0.857
f	f	0.857
b	b	0.857
u	-	0.833
t	t	0.812
m	m	0.812
l	l	0.81
n	n	0.786
ˈɔː	ˈøː	0.778
ˈoː	ˈuː	0.75
oː	a	0.733
ˈeː	ˈoː	0.714
<#_w	<#_v	0.714
d	d	0.667
h	h	0.652
ˈu	ˈɵ	0.625
β	v	0.6
w	v	0.6
θ	d	0.583
s	s	0.533
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈɛ	-	0.5
ˈa	ˈa	0.5
p	pː	0.5
p	p	0.5
a	ɛ	0.462
k	k	0.444
ˈɔ	ˈuː	0.429
ˈi	ˈɪ	0.414
β	-	0.4
w	-	0.4
ˈɛ	ˈɛ	0.375
ɡ	ɡ	0.333
s	ɧ	0.333
k	kː	0.333
ˈɔ	ˈøː	0.286
ˈɔ	-	0.286
ˈeː	-	0.286
<#_w	<#	0.286
ˈi	ˈɛ	0.276
h	-	0.261
θ	tʰ	0.25
ˈoː	-	0.25
a	-	0.231
ˈɔː	-	0.222
ɡ	ŋ	0.222
ɡ	j	0.222
ɡ	-	0.222
k	-	0.222
ˈi	-	0.207
ˈa	ˈɑː	0.206
t	tː	0.188
m	mː	0.188
ˈa	ˈɛ	0.176
θ	-	0.167
u	ʊ	0.167
d	j	0.167
d	-	0.167
a	ˈeː	0.154
a	a	0.154
i	ɵ	0.143
f	v	0.143
b	v	0.143
s	r	0.133
oː	n	0.133
oː	-	0.133
ˈɛ	ˈæ	0.125
ˈu	ˈʊ	0.125
ˈu	ˈoː	0.125
ˈu	-	0.125
ˈi	j	0.103
l	j	0.095
l	-	0.095
r	-	0.091
h	j	0.087
n	ɛ_n	0.071
n	nː	0.071
n	a	0.071
ˈa	ˈɔ	0.059
ˈa	ˈoː	0.059
