Dutch	Swabian	probability
b	b	0.944
b	-	0.058
d	d	1.0
f	b	0.616
f	f	0.375
j	j	1.0
k	kʰ	0.408
k	ɡ	0.209
k	ç	0.209
k	x	0.1
k	-	0.066
l	l	1.0
m	m	1.0
n	n	0.697
n	-	0.27
n	l	0.031
p	f	0.627
p	b̥͡f	0.121
p	p͡f	0.121
p	b̥	0.121
s	ʃ	0.575
s	s	0.389
s	k	0.038
s_χ	ʃ	1.0
t	d	0.513
t	s	0.222
t	ʦ	0.174
t	-	0.044
t	t	0.044
t_ə	s	0.491
v	f	0.814
v	b	0.183
w	ˈeː	0.66
w	ˈəi̯	0.159
z	s	0.75
z	ʃ	0.204
z	ʁ	0.049
ŋ	ŋ	0.859
ŋ	ɡ	0.136
ə	-	0.467
ə	e	0.133
ə	ə	0.133
ə	ɐ	0.101
ə	ɪ	0.069
ə_f	f	1.0
ə_n	a	1.0
ə_ɫ	l	1.0
ə_ɾ	ʌ	1.0
ɦ	h	1.0
ɪ	i	0.372
ɪ	ɪ	0.183
ɫ	l	0.959
ɫ	l_e	0.044
ɾ	ʁ	0.544
ɾ	ʕ	0.346
ɾ	d_ʌ	0.069
ɾ	ʌ	0.04
ɾ_s	ʃ	0.491
ʋ	ʋ	1.0
ˈaː	ˈɔː	0.294
ˈaː	ˈa	0.204
ˈaː	ˈaː	0.135
ˈaː	ˈɛ	0.124
ˈaː	ˈɛː	0.082
ˈeː	ˈɔe̯	0.238
ˈeː	ˈɛː	0.225
ˈeː	ˈɛ	0.18
ˈeː	-	0.071
ˈeː	ˈi	0.071
ˈeː_n	ˈɔe̯	1.0
ˈi	ˈiə̯	0.302
ˈi	ˈiː	0.165
ˈi	ˈae̯	0.125
ˈi	ˈi	0.109
ˈi	ˈeː	0.107
ˈoː	ˈoː	0.411
ˈoː	ˈao̯	0.212
ˈoː	ˈeː	0.14
ˈoː	ˈɔ	0.119
ˈoː	ˈi	0.051
ˈu	ˈuə̯	0.516
ˈu	ˈiə̯	0.132
ˈu	ˈeə̯	0.087
ˈu	ˈuː	0.087
ˈu	ˈɔə̯	0.068
ˈyː	ˈəi̯	1.0
ˈøː	ˈɔː	1.0
ˈœy̯	ˈao̯	0.675
ˈœy̯	ˈae̯	0.19
ˈœy̯	ˈəi̯	0.125
ˈɑ	ˈa	0.737
ˈɑ	ˈɛ	0.086
ˈɑ	ˈaː	0.068
ˈɑ	ˈe	0.052
ˈɑ	ˈɔː	0.047
ˈɑ_n	ˈaː	1.0
ˈɑu̯	ˈa_l	0.583
ˈɑu̯	ˈao̯	0.229
ˈɑu̯	l	0.148
ˈɔ	ˈo	0.653
ˈɔ	ˈɔ	0.164
ˈɔ	ˈu	0.098
ˈɔ	ˈao̯	0.07
ˈɛ	ˈɛ	0.311
ˈɛ	ˈa	0.125
ˈɛ	ˈe	0.124
ˈɛ	ˈɛː	0.094
ˈɛ	-	0.077
ˈɛ_ɾ	ˈʌ	1.0
ˈɛi̯	ˈəi̯	0.611
ˈɛi̯	ˈɔe̯	0.176
ˈɛi̯	m	0.093
ˈɛi̯	ˈi	0.061
ˈɛi̯	ˈae̯	0.055
ˈɪ	ˈi	0.371
ˈɪ	ˈɪ	0.262
ˈɪ	ˈe	0.151
ˈɪ	ˈəi̯	0.093
ˈɪ	ˈa	0.051
ˈʏ	ˈu	0.74
ˈʏ	ˈɛ	0.135
χ	ɡ	0.775
χ	x	0.151
χ	ç	0.046
χ	-	0.032
