Dutch	Swabian	probability
b	b	0.916
b	-	0.084
d	d	1.0
f	b	0.643
f	f	0.357
j	j	1.0
k	kʰ	0.445
k	ç	0.182
k	ɡ	0.166
k	x	0.108
k	-	0.088
m	m	1.0
n	n	0.849
n	-	0.151
p	f	0.737
p	b̥	0.167
p	b̥͡f	0.062
s	ʃ	0.562
s	s	0.423
t	d	0.485
t	s	0.296
t	ʦ	0.154
v	f	0.828
v	b	0.172
w	ˈeː	0.5
w	ˈəi̯	0.5
z	s	0.833
z	ʃ	0.147
ŋ	ŋ	0.71
ŋ	ɡ	0.29
ə	a	0.565
ə	ʌ	0.288
ə	-	0.092
ɦ	h	1.0
ɪ	i	0.5
ɪ	ɪ	0.5
ɫ	l	1.0
ɾ	ʕ	0.44
ɾ	ʁ	0.423
ɾ	d_ʌ	0.087
ʋ	ʋ	0.953
ˈaː	ˈɔː	0.336
ˈaː	ˈa	0.153
ˈaː	ˈɛ	0.135
ˈaː	ˈaː	0.129
ˈaː	ˈo	0.111
ˈaː	ˈɛː	0.055
ˈeː	ˈɛː	0.293
ˈeː	ˈɔe̯	0.251
ˈeː	ˈɛ	0.202
ˈeː	ˈae̯	0.06
ˈeː	ˈi	0.052
ˈi	ˈiː	0.236
ˈi	ˈae̯	0.217
ˈi	ˈiə̯	0.215
ˈi	ˈi	0.118
ˈi	ˈeː	0.102
ˈi	ˈeə̯	0.071
ˈoː	ˈoː	0.411
ˈoː	ˈeː	0.192
ˈoː	ˈao̯	0.157
ˈoː	ˈɔ	0.123
ˈu	ˈuə̯	0.443
ˈu	ˈeə̯	0.167
ˈu	ˈɔə̯	0.105
ˈu	ˈiə̯	0.104
ˈu	ˈiː	0.06
ˈu	ˈu	0.06
ˈu	ˈuː	0.06
ˈyː	ˈəi̯	1.0
ˈøː	ˈɔː	1.0
ˈœy̯	ˈao̯	0.746
ˈœy̯	ˈəi̯	0.137
ˈœy̯	ˈae̯	0.116
ˈɑ	ˈa	0.768
ˈɑ	ˈɛ	0.105
ˈɑ	ˈɔː	0.063
ˈɑu̯	ˈa_l	0.715
ˈɑu̯	l	0.192
ˈɑu̯	ˈao̯	0.093
ˈɔ	ˈo	0.741
ˈɔ	ˈu	0.158
ˈɔ	ˈɔ	0.082
ˈɛ	ˈɛ	0.318
ˈɛ	ˈa	0.203
ˈɛ	-	0.164
ˈɛ	ˈe	0.131
ˈɛ	ˈɪ	0.096
ˈɛi̯	ˈəi̯	0.539
ˈɛi̯	ˈi	0.241
ˈɛi̯	ˈɔe̯	0.098
ˈɛi̯	ˈɛ	0.061
ˈɛi̯	ˈae̯	0.061
ˈɪ	ˈɪ	0.335
ˈɪ	ˈe	0.268
ˈɪ	ˈi	0.195
ˈɪ	ˈa	0.083
ˈɪ	ˈeː	0.062
ˈɪ	ˈəi̯	0.058
ˈʏ	ˈu	0.755
ˈʏ	ˈɛ	0.245
χ	ɡ	0.766
χ	x	0.12
χ	ç	0.089
