Auvergnat	Auvergnat	probability
ˈɪ̃	ˈe	1.0
ˈɪ_l	ˈi_s	1.0
ˈɛ	ɡ	1.0
ˈɔ̃	n	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈũ	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_w	ˈi_ɛ	1.0
ˈe_j	ˈa	1.0
ˈa_w	ˈɔ_j	1.0
ˈa_l	l	1.0
ʤ_ə	j_u	1.0
ʤ_ɒ	b	1.0
ʒ	ɣ	1.0
ʃ	k	1.0
ʀ_ˈa	ɾ_a	1.0
ʀ_ɔ	a	1.0
ɪ	i_s	1.0
ɥ	ˈi	1.0
ɡʲ	ʃ	1.0
ɒ	a	1.0
œ	-	1.0
ŋ_d	nː	1.0
z	-	1.0
y	-	1.0
w_ˈẽ	ˈu_n	1.0
vʲ	b	1.0
ũ	ɔ	1.0
s_ɔ	ʦ_a	1.0
pʲ	p_ˈi	1.0
p_l	p	1.0
p	p	1.0
mʲ	m	1.0
m_ˈe	m_ˈe	1.0
m_#>	m_ɛ_n_ɛ_#>	1.0
m	m	1.0
lː	z_u	1.0
k_w	k	1.0
k_l	k_ɾ	1.0
ĩ	i	1.0
i	i_ð	1.0
fʲ	f	1.0
f	f	1.0
dʲ	-	1.0
d_ɔ	ð_a	1.0
ã	a	1.0
a	a	1.0
<#_ʤ	<#_ʣ	1.0
<#_ʀ	<#_ɾ	1.0
<#_ɒ	<#_a	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
ˈi	ˈi	0.875
ˈã	ˈa	0.867
ɔ	a	0.85
n	n	0.824
v	b	0.8
ʧ	k	0.769
t	t	0.769
ˈu	ˈu	0.762
ʀ	ɾ	0.729
b	b	0.7
ˈœ	ˈɔ	0.667
ˈa	ˈa	0.625
ʤ	-	0.625
d	d	0.625
k	k	0.619
ˈɪ	ˈi	0.579
ˈẽ	ˈe	0.571
ˈe	ˈɛ	0.5
w_ˈɔ	ˈɔ	0.5
w_ˈɔ	ˈo	0.5
u	-	0.5
l	l	0.5
e	k_ɛ	0.5
e	-	0.5
<#	<#_t	0.5
<#	<#_n	0.5
ʎ	l	0.471
#>	ɛ_#>	0.435
#>	u_#>	0.435
ˈẽ	ˈɛ	0.429
ˈɪ	ˈɛ	0.421
ə	ɛ	0.415
ɲ	ʣ	0.4
ɲ	n	0.4
ʤ	b	0.375
ɡ	b	0.375
ɡ	-	0.375
ŋ	n	0.35
ˈœ	ˈo	0.333
ˈa	ˈa_ɾ	0.312
u	ˈɔ	0.3
ˈe	ˈe	0.286
s	k	0.28
ˈɔ	ˈo	0.273
j	-	0.267
ɡ	ɡ	0.25
d	ð	0.25
ə	u	0.244
s	s	0.24
ˈu	ˈɔ	0.238
ʎ	ʣ	0.235
l	ɾ	0.233
w	ˈɔ	0.231
w	ˈo	0.231
ɲ	ɲ	0.2
v	-	0.2
u	ɔ	0.2
s	ɣ_ɛ	0.2
l	ɖː	0.2
j	ɣ_ɛ	0.2
w	u	0.192
k	ɣ_u	0.19
k	b	0.19
ˈɔ	ˈɔ	0.182
ˈɔ	ɾ_t	0.182
ˈɔ	s	0.182
ˈɔ	-	0.182
ʎ	j_u	0.176
n	-	0.176
ŋ	n_u	0.175
w	ɛ	0.154
ŋ	n_t	0.15
b	β	0.15
b	-	0.15
ˈe	-	0.143
ˈã	ˈa_n	0.133
j	ɛ	0.133
j	t_ɛ	0.133
j	t_u	0.133
j	d	0.133
ˈi	ɛ	0.125
d	-	0.125
ə	e	0.122
s	z	0.12
ʎ	u	0.118
ɔ	u	0.117
ʧ	t	0.115
ʧ	-	0.115
w	-	0.115
ʀ	ɛ_ɾ	0.102
ʀ	r	0.102
ŋ	m	0.1
ə	i	0.098
#>	ɾ_ɛ_#>	0.098
s	z_ŭ	0.08
s	t	0.08
w	ɾ	0.077
t	z	0.077
t	s_t	0.077
t	-	0.077
ŋ	u	0.075
ə	ɔ̆	0.073
ˈe	ˈa	0.071
l	-	0.067
ˈa	ˈe	0.062
