Pennsylvania German	German	probability
ˈɪ_n	ˈɪ_n	1.0
ˈɪ_l	ˈɪ_l	1.0
ˈɛː_ɑ	ˈɛ_ɐ	1.0
ˈɛː	ˈɛː	1.0
ˈɛ_ɑ	ˈiː_ɐ	1.0
ˈɛ_v	ˈeː_b	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈuː_#>	ˈuː_#>	1.0
ˈuː	ˈuː	1.0
ˈeː_#>	ˈeː_#>	1.0
ˈaː_ɾ	ˈʊ_ɐ	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯_#>	ˈaɪ̯_#>	1.0
ˈa_s	ˈa_s	1.0
ˈa_l	ˈa_l	1.0
ʦ_#>	ʦ_#>	1.0
ʦ	ʦ	1.0
ʋ_ˈɛː	v_ˈɛ	1.0
ʋ	v	1.0
ʃ_t	s_t	1.0
ʃ_#>	ʃ_#>	1.0
ɾ_ˈɪ	ʁ_ˈʏ	1.0
ɾ_ɪ	ɐ	1.0
ɾ	ʁ	1.0
ɪ_ç	ɪ_ç	1.0
ɣ	ɡ	1.0
ɡ̊_#>	ɡ̊_#>	1.0
ə_#>	n_#>	1.0
ə	-	1.0
ɑ_#>	ɐ_#>	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x_#>	x_#>	1.0
x	x	1.0
v_ə	b_n	1.0
t_#>	t_#>	1.0
t	t	1.0
s_ə	s_n	1.0
s_#>	s_#>	1.0
n_#>	n_#>	1.0
m_#>	m_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ə	ɡ_n	1.0
f_ə	f_n	1.0
f_#>	f_#>	1.0
d_ə	t_n	1.0
d_l	d_l	1.0
b̥_#>	b̥_#>	1.0
<#_ˈʊ	<#_ˈʊ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈeː	<#_ˈaɪ̯	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʋ	<#_v	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɾ	<#_ʁ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_s	<#_z	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
ˈɔ	ˈɔ	0.833
n	n	0.815
ˈɪ	ˈɪ	0.792
ˈa	ˈa	0.773
l_#>	l_#>	0.75
d_ɑ	t_ɐ	0.75
ˈʊ	ˈʊ	0.733
ˈoː	ˈoː	0.733
ç_#>	ç_#>	0.714
s	z	0.714
ˈiː	ˈiː	0.688
#>	ə_#>	0.686
ŋ_#>	ŋ_#>	0.667
ˈɛ	ˈɛ	0.636
ˈaɪ̯	ˈaɪ̯	0.6
ˈɔː	ˈaː	0.545
ˈeː	ˈaɪ̯	0.545
<#_d	<#_tʰ	0.531
d̥_#>	d̥_#>	0.515
ˈaː	ˈɔ_ɐ	0.5
ˈaː	ˈa_ɐ	0.5
p	p͡f	0.5
p	p	0.5
m	m_ə	0.5
m	m	0.5
d̥_#>	t_#>	0.485
<#_d	<#_d	0.469
ˈaɪ̯	ˈɔʏ̯	0.4
ŋ_#>	ŋ_ə_#>	0.333
ˈɔː	ˈaʊ̯	0.318
#>	n_#>	0.314
ˈiː	ˈyː	0.312
ç_#>	#>	0.286
s	ʦ	0.286
ˈeː	ˈeː	0.273
ˈʊ	ˈɔ	0.267
ˈoː	ˈaː	0.267
l_#>	l_ə_#>	0.25
d_ɑ	d_ɐ	0.25
ˈɪ	ˈʏ	0.208
n	n_d	0.185
ˈɛ	ˈœ	0.182
ˈɛ	ˈeː	0.182
ˈeː	ˈøː	0.182
ˈɔ	ˈoː	0.167
ˈɔː	ˈa	0.136
ˈa	ˈaː	0.136
ˈa	ˈɔ_ɐ	0.091
