Westphalian	North Frisian	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_ɡ	1.0
<#_ˈa	<#_ˈeː	1.0
<#_ˈuː	<#_ˈyː	1.0
d_#>	d_#>	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
l_t	lʲ	1.0
l_ə	l_#>	1.0
m_#>	m_#>	1.0
p	p	1.0
r	r	1.0
r_ˈaɪ̯	r_ˈiː	1.0
s	s	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
v	v	1.0
v_#>	f_#>	1.0
x	x	1.0
x_#>	#>	1.0
ç	x_t	1.0
ç_#>	j_#>	1.0
ŋ_#>	ŋ_#>	1.0
ɐ	r	1.0
ɐ_#>	r_#>	1.0
ɪ_ç	i_#>	1.0
ʃ_k	ʃ_#>	1.0
ʋ	v	1.0
ʋ_#>	v_#>	1.0
ˈa_l	ˈuː_l	1.0
ˈaɪ̯	ˈiː	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈaʊ̯_d	ˈyː_dʲ	1.0
ˈiɛ̯	-	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈiː_t	ˈi_d	1.0
ˈoː	ˈœ	1.0
ˈuə̯	ˈaː	1.0
ˈuːə̯	r	1.0
ˈyː	ˈøː	1.0
ˈɔ	ˈɔː	1.0
ˈɪ_l	ˈi_l	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈɪə̯	ˈɔː	1.0
ˈʊ_s	ˈyː_s	1.0
ˈʏ	ˈʏ	1.0
<#_v	<#_v	0.81
l	lʲ	0.111
<#_l	<#_j	0.2
n	n	0.562
t	tʲ	0.292
ə	w	0.182
ə	ə	0.182
ˈaʊ̯	ˈyː	0.222
<#_k	<#	0.273
m	m_ə	0.333
n_#>	ə_#>	0.673
t	z	0.083
t	d	0.083
t	s_#>	0.083
ŋ	n	0.333
ɡ	-	0.333
ɡ	d	0.333
ɡ	j_ə	0.333
ˈa	ˈɒː	0.143
ˈiː	ˈiː	0.3
ˈøː	ˈɛi̯	0.333
ˈʊ	ˈʊ	0.833
<#_ʃ	<#_ʃ	0.4
n_d	n	0.4
ˈeː	ˈiː	0.714
ˈuː	ˈøː	0.4
ˈɪɛ̯	r	0.4
<#_d	<#	0.115
d	-	0.5
d	dʲ	0.5
k	k_ə	0.375
k	k	0.625
n	n_ə	0.25
z	z	0.5
z	s	0.5
ˈa	ˈa	0.095
ˈa	ˈɔː	0.095
ˈa	ˈɛi̯	0.095
ˈa	ˈʊ	0.095
<#_d	<#_t	0.346
<#_ʃ	<#_s	0.6
n_d	nʲ	0.6
ə	-	0.636
ˈeː	ˈuː	0.286
ˈuː	ˈyː	0.6
ˈɔː	ˈɔu̯	0.286
ˈɔː	ˈɛː	0.286
ˈɛ	ˈɒ	0.286
ˈɛ	ˈʊ	0.286
ˈɪɛ̯	ˈɛː_d	0.6
<#_k	<#_k	0.727
m	m	0.667
ŋ	ŋ	0.667
ˈiː	ˈi	0.7
ˈøː	ˈɛ	0.667
ˈɪ	ˈʊ	0.167
ˈɪ	ˈa	0.417
ˈɪ	ˈi	0.417
ˈʊ	ˈa	0.167
<#_d	<#_d	0.538
<#_l	<#_l	0.8
n	nʲ	0.188
n_#>	#>	0.058
t	t	0.458
ˈa	ˈɒ	0.238
ˈa	ˈœ	0.238
ˈaʊ̯	ˈuː	0.778
<#_v	<#	0.19
l	l	0.889
n_#>	n_#>	0.269
ˈɔː	ˈɛi̯	0.429
ˈɛ	ˈeː	0.429
