Ligurian	Asturian	probability
f	f	1.0
ɔː	o	1.0
ʧ	ʎ	1.0
ˈøː	w_ˈe	1.0
ˈɔ	w_ˈe	1.0
a	ɾ_#>	0.1
e	-	0.121
e	ˈe_ɾ	0.161
i	ˈe	0.051
i	u	0.101
l	ʎ	0.921
s	θ	0.191
v	β	0.471
w	w	0.341
ŋ	n_u	0.161
ɡ	ɣ	0.571
ˈeː	j_ˈe	0.161
ˈiː	ˈi	0.551
ʃ	θ	0.232
ʤ	ʝ	0.912
ˈu	ˈu	0.092
ˈy	ˈu	0.82
ˈyː	ˈu	0.862
ˈɛː	j_ˈe	0.242
d	-	0.143
d	d	0.733
p	p	0.943
s	s	0.763
t	t	0.653
u	-	0.053
ŋ	m	0.053
ɡ	ɡ	0.303
ʃ	<#_e	0.113
ʒ	θ	0.83
ˈaː	ˈa_ɾ	0.463
ˈi	ˈe	0.203
ˈu	o	0.073
ˈuː	ˈu	0.133
ˈø	ˈo	0.203
d	ð	0.124
m	m	0.974
t	-	0.124
v	b	0.494
w	o	0.154
ɲ	n	0.134
ˈe	ˈi	0.114
ˈe	j_ˈe	0.24
ˈeː	ɾ_ˈe	0.054
ˈiː	ˈi_ɾ	0.244
ˈɛ	ˈe_j	0.434
ˈɛː	ˈe	0.064
ˈɛː	ˈa	0.694
i	-	0.095
i	o	0.15
j	e	0.195
k	k	0.985
n	ɲ	0.155
n	n	0.845
t	ð	0.145
u	o	0.085
z	s	0.065
ˈiː	ˈo	0.205
ˈu	ˈo	0.835
i	i	0.326
j	ɾ	0.436
r	ɾ	0.756
w	-	0.506
ɡ	-	0.126
ɲ	ɲ	0.866
ˈaː	ˈa	0.356
ˈe	ˈe	0.646
ˈɛ	j_ˈe	0.566
a	s_#>	0.247
b	b	0.957
i	e	0.277
p	β	0.057
t	ʧ	0.077
u	u	0.767
z	-	0.257
ŋ	ŋ	0.267
ŋ	n	0.427
ʒ	-	0.17
ˈa	ˈa	0.957
ˈaː	ˈa_l	0.077
ˈeː	e	0.067
ˈi	ˈi	0.797
ˈuː	ˈo	0.867
ˈø	w_ˈe	0.797
ˈɔː	ˈo	0.097
ˈɔː	w_ˈe	0.537
e	e	0.718
r	-	0.08
r	r	0.128
u	e	0.058
z	ʃ	0.678
ˈeː	ˈe	0.718
ˈy	ˈo	0.18
ˈyː	ˈu_ɾ	0.138
ˈɔː	ˈo_ɾ	0.108
ˈɔː	ˈe	0.258
a	a	0.59
j	-	0.319
l	l	0.079
ʃ	-	0.629
ʤ	b	0.069
