Latin	Aragonese	probability
ae̯	a	1.0
f	f	1.0
kː	k	1.0
l	l	1.0
lʲ	l	1.0
nː	ɲ	1.0
o	o	1.0
rː	ˈe_r	1.0
tː	t	1.0
u	-	1.0
uː	-	1.0
ɡʷ	ɡ	1.0
ˈau̯	ˈo	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈu	ˈo	1.0
ˈuː	ˈu	1.0
ãː	a	0.931
e	-	0.921
i	o	0.071
j	-	0.101
k	k	0.321
p	-	0.051
p	β	0.211
w	β	0.251
w	b	0.671
ɔ	-	0.41
ɛ	e	0.231
ʊ̃ː	-	0.101
ˈɛ	j	0.581
ˈʊ	ˈu	0.551
eː	-	0.132
i	j	0.202
iː	-	0.482
k	ɣ	0.152
kʷ	k_w	0.192
kʷ	-	0.412
n	-	0.212
oː	-	0.162
oː	o	0.782
s	e_s	0.082
ˈɛ	ˈe	0.132
a	-	0.183
aː	ˈa	0.243
d	ʝ	0.133
d	-	0.213
lʲː	-	0.073
m	m	0.933
sː	s	0.063
ɛ̃ː	ɾ_e	0.113
ɛ̃ː	j	0.273
ɡ	ʧ	0.323
ɪ	ɾ_e	0.133
ʊ	ˈe	0.853
ˈoː	-	0.053
ˈɔ	ˈo	0.123
k	θ	0.114
ŋ	n	0.364
ɛ̃ː	-	0.054
ɫ	-	0.064
ˈiː	ˈe	0.124
ˈɪ	ˈe	0.914
a	a	0.785
b	-	0.075
lʲː	l	0.375
s	s	0.905
ɫ	ˈe_l	0.055
ˈaː	ˈa	0.965
ˈɛ	-	0.05
ˈʊ	w_ˈe	0.145
ˈʊ	ˈo	0.305
b	b	0.476
d	ð	0.186
kʷ	k	0.396
lʲː	ˈe_ʎ	0.196
lʲː	ʎ	0.356
n	ˈe_n	0.06
oː	ˈo	0.056
r	ˈe_ɾ	0.076
ɛ̃ː	e	0.56
ɡ	ɡ	0.276
ɫ	l	0.806
ˈiː	ˈi	0.876
aː	a	0.757
d	d	0.467
i	-	0.687
k	-	0.37
m	m_b	0.067
n	n	0.657
sː	ʃ	0.937
t	-	0.207
t	ð	0.27
ŋ	ŋ	0.557
ɡ	-	0.367
ɪ	e	0.537
ʊ	-	0.147
ˈoː	ˈo	0.947
ˈɔ	w_ˈe	0.877
eː	e	0.868
iː	i	0.518
p	p	0.738
r	-	0.08
t	t	0.498
w	w	0.078
ɛ	ˈe	0.258
ɛ	-	0.478
ɫ	ʎ	0.068
ˈɛ	j_ˈe	0.198
ãː	-	0.069
b	β	0.449
e	a	0.079
j	ʧ	0.899
r	r	0.069
r	ɾ	0.739
ŋ	-	0.079
ɔ	o	0.59
ɪ	-	0.29
ʊ̃ː	o	0.899
ˈa	ˈa	0.909
