Romanian	Piedmontese	probability
#>	#>	0.987
<#	<#	0.989
<#_z	<#	1.0
<#_ɨ	<#	1.0
a	a	0.695
a	-	0.149
a	ˈa	0.101
b	b	0.581
b	v	0.13
b	-	0.099
b	ɡ	0.099
b	f	0.064
d	d	0.724
d	-	0.271
e	-	0.644
e	a	0.142
e	e	0.071
e_n	ŋ	1.0
e_r	e	1.0
e̯ˈa	ˈe	0.591
e̯ˈa	ˈa	0.132
e̯ˈa	ˈi	0.132
e̯ˈa	j	0.094
f	f	1.0
i	i	0.381
i	a	0.196
i	e	0.179
i	ˈe	0.101
i_m	m	0.515
j	-	0.665
j	j	0.166
j	ɲ	0.053
j	ˈi	0.053
j_e	a	0.137
k	k	0.734
k	ɡ	0.076
k	-	0.07
k	s	0.056
k_#>	#>	1.0
kʲ	j	0.515
l	l	0.642
l	j	0.202
l	w	0.104
l	-	0.051
m	m	0.669
m	-	0.125
m	ŋ	0.095
m	ɲ	0.095
m_e	m	1.0
n	n	0.537
n	ŋ	0.328
n	-	0.111
n_#>	#>	0.265
n_e	ŋ	1.0
o	-	0.461
o	ˈø	0.265
o	u	0.122
o	w	0.078
o̯ˈa	ˈɔ	0.378
o̯ˈa	ˈø	0.29
o̯ˈa	ˈu	0.238
o̯ˈa	ˈa	0.076
p	p	0.67
p	v	0.115
p	-	0.108
p	j	0.064
p_t	t	1.0
r	r	0.717
r	l	0.138
r	-	0.137
r_e	r	0.549
r_e	e	0.441
s	s	0.949
s	-	0.054
t	t	0.64
t	-	0.263
t	s	0.06
t_#>	#>	0.265
t_e	t	1.0
u	u	0.409
u	-	0.195
u	ˈɛ	0.112
u	a	0.09
u	ˈø	0.072
u	ˈy	0.068
u	e	0.057
u_#>	#>	1.0
v	v	1.0
w	v	0.433
w	-	0.2
w	e	0.132
w	w	0.124
w	j	0.065
z	d	0.668
z	-	0.326
ŋ	ŋ	1.0
ə	a	0.823
ə	-	0.128
ə_#>	#>	1.0
ə_m	m	1.0
ɡ	ɡ	0.607
ɡ	ʤ	0.288
ɡ	j	0.079
ɨ	ˈa	0.34
ɨ	a	0.175
ʃ	s	0.803
ʃ	z	0.061
ʃ	r	0.057
ʃ_t	s	1.0
ʒ	ʤ	0.715
ʒ	d	0.28
ʤ	ʤ	0.466
ʤ	z	0.265
ʤ	ɡ	0.137
ʤ	l	0.079
ʦ	s	0.55
ʦ	t	0.348
ʦ	z	0.096
ʧ	s	0.41
ʧ	k	0.204
ʧ	-	0.169
ʧ	ʧ	0.087
ʧ	z	0.062
ʧ_e	s	1.0
ʧʲ	k	0.34
ʧʲ	t	0.34
ˈa	ˈa	0.714
ˈa	ˈɛ	0.133
ˈa	ˈe	0.105
ˈa_r	ˈe	1.0
ˈa_u	ˈɔ	1.0
ˈe	ˈɛ	0.609
ˈe	ˈe	0.207
ˈe	ˈi	0.1
ˈe	-	0.061
ˈi	ˈi	0.447
ˈi	-	0.175
ˈi	ˈɛ	0.149
ˈi	ˈe	0.074
ˈi	ˈi_v	0.056
ˈo	ˈø	0.357
ˈo	ˈɔ	0.325
ˈo	ˈu	0.225
ˈo	ˈy	0.053
ˈu	ˈu	0.522
ˈu	ˈy	0.232
ˈu	ˈɔ	0.102
ˈə	a	1.0
ˈɨ	ˈa	0.841
ˈɨ	ˈɛ	0.132
