Italian	Catalan	probability
a	ə	0.976
b	b	0.709
b	β	0.165
b	-	0.074
b	k	0.054
d	d	0.551
d	-	0.163
d	t	0.154
d_e	w	1.0
d_ˈe	ˈɛ	1.0
e	-	0.72
e	ə	0.221
e_l	l	0.269
e_r	ɾ	0.734
e_r	ə	0.257
f	f	1.0
i	-	0.325
i	ə	0.311
i	i	0.293
i	r	0.063
i_ʧ	ə	1.0
j	l	0.58
j	ʒ	0.14
j	i	0.073
j	-	0.061
j	j	0.055
j	p	0.055
j_o	ʎ	1.0
j_ˈɛ	ˈɛ	1.0
k	k	0.691
k	-	0.222
k	ɣ	0.055
k_j	ʎ	1.0
l	ʎ	0.443
l	l	0.279
l	-	0.276
l_e	l	0.82
l_e	ʎ	0.147
l_o	l	1.0
m	m	0.939
n	n	0.638
n	-	0.309
n_n	ɲ	0.362
n_n	n	0.315
n_t	n	1.0
o	-	0.737
o	u	0.155
o	ə	0.088
o_l	ʎ	0.139
o_r	ʎ	1.0
p	p	0.812
p	β	0.161
p_o	s	1.0
r	ɾ	0.543
r	r	0.364
r	-	0.092
r_e	r	0.367
r_e	ə	0.278
r_e	ˈa	0.151
r_e	ˈi	0.103
r_e	ɾ	0.052
r_o	r	0.518
r_ˈo	ˈu	0.518
s	s	0.694
s	ə_s	0.132
s	-	0.09
t	t	0.58
t	-	0.199
t	ð	0.158
u	u	0.422
u	ə	0.166
u	i	0.156
u	m	0.156
v	b	0.691
v	β	0.298
v_e	w	1.0
v_o	w	1.0
w	-	0.662
w	w	0.337
z	z	0.315
z	s	0.163
z	-	0.112
ŋ	ŋ	1.0
ɡ	ɡ	0.61
ɡ	ɣ	0.183
ɡ	-	0.139
ɡ_o	k	0.518
ɲ	ɲ	0.774
ɲ	-	0.219
ɲ_a	ə	1.0
ɲ_o	ɲ	0.561
ɲ_o	ə	0.291
ʃ	-	0.588
ʃ	ʃ	0.411
ʃ_e	ʃ	1.0
ʎ	ʎ	0.69
ʎ	-	0.299
ʣ	-	0.629
ʣ	ʧ	0.361
ʤ	ʒ	0.574
ʤ	-	0.345
ʤ	ʧ	0.051
ʦ	s	0.594
ʦ	-	0.392
ʦ_o	w	1.0
ʦ_ʦ	w	1.0
ʧ	s	0.473
ʧ	-	0.426
ʧ_e	w	0.805
ʧ_e	s	0.164
ʧ_i	w	0.139
ˈa	ˈa	0.92
ˈa	ˈe	0.056
ˈa_d	ˈa	0.518
ˈa_r	ˈa	1.0
ˈe	ˈɛ	0.607
ˈe	ˈe	0.311
ˈe_k	ˈɛ	1.0
ˈi	ˈi	0.878
ˈi_r	ˈi	1.0
ˈi_ʎ	ˈi	1.0
ˈo	ˈo	0.428
ˈo	ˈɔ	0.342
ˈo	ˈɛ	0.125
ˈo	ˈu	0.085
ˈo_n	ˈo	1.0
ˈo_r	ˈo	0.826
ˈo_r	ˈɔ	0.15
ˈu	ˈu	0.902
ˈu	ˈo	0.094
ˈu_n	ˈu	1.0
ˈu_r	ˈu	1.0
ˈu_t	ˈo	0.269
ˈu_ɲ	ˈu	1.0
ˈɔ	ˈɔ	0.841
ˈɔ	ˈu	0.111
ˈɔ_k	ˈo	0.561
ˈɔ_k	ˈu	0.425
ˈɔ_ʤ	ˈu	1.0
ˈɛ	ˈe	0.547
ˈɛ	ˈɛ	0.302
ˈɛ	ˈi	0.122
ˈɛ_j	ˈi	0.518
