West Flemish	Bokmål Norwegian	probability
b	b	1.0
d	tʰ	0.42
d	d	0.365
d	-	0.215
f	ʋ	0.925
f	-	0.075
h	-	0.433
h	k	0.257
h	tː	0.194
h	ɡ	0.117
iə̯	ə	1.0
j	-	0.64
j	ˈæɪ̯	0.36
k	k	0.35
k	kʰ	0.269
k	ɕ	0.189
k	kː	0.076
k	ɡː	0.058
l	l	0.815
l	lː	0.135
m	m	0.741
m	mː	0.22
n	n	0.414
n	ə	0.319
n	nː	0.2
p	p	0.593
p	-	0.197
p	pʰ	0.118
p	pː	0.092
s	s	0.958
t	t	0.51
t	-	0.153
t	tʰ	0.109
t	tː	0.095
t	d	0.089
v	f	0.666
v	-	0.242
v	ʋ	0.092
w	l	0.53
w	lː	0.425
z	s	0.847
z	ʂ	0.124
ç	-	1.0
ŋ	ŋː	0.68
ŋ	-	0.32
ə	ə	0.855
ə	-	0.14
ɦ	ɡ	0.4
ɦ	j	0.288
ɦ	-	0.239
ɦ	ɡː	0.073
ɪ	ə	1.0
ɾ	ɾ	0.869
ɾ	-	0.062
ɾ	ɳ	0.058
ʃ	s	0.409
ʃ	ʃ	0.356
ʃ	f	0.235
ʋ	ʋ	0.636
ʋ	-	0.364
ˈeː	ˈæɪ̯	0.207
ˈeː	ˈʉː	0.176
ˈeː	ˈoː	0.164
ˈeː	ˈeː	0.148
ˈeː	ˈiː	0.14
ˈeː	ˈɛ	0.102
ˈeː	ˈæː	0.062
ˈi	ˈiː	1.0
ˈiə̯	ˈyː	0.419
ˈiə̯	ˈiː	0.184
ˈiə̯	ˈeː	0.15
ˈiə̯	ˈʉː	0.122
ˈiə̯	ˈɛ	0.065
ˈoː	ˈuː	0.361
ˈoː	ˈøː	0.269
ˈoː	ˈɔ	0.136
ˈoː	ˈʊ	0.108
ˈu	ˈʉ	0.746
ˈu	lː	0.084
ˈu	ˈɑ	0.058
ˈu	ˈʏ	0.058
ˈuə̯	ˈuː	0.672
ˈuə̯	ˈœ	0.165
ˈuə̯	ˈøː	0.127
ˈyː	ˈʉː	0.78
ˈyː	ˈʊ	0.137
ˈyː	ˈʏ	0.058
ˈæ	ˈɛ	0.433
ˈæ	ˈœ	0.129
ˈæ	-	0.108
ˈæ	ˈɑ	0.107
ˈæ	ˈæ	0.072
ˈæ	ˈɪ	0.069
ˈøː	ˈœ	0.485
ˈøː	ˈʉː	0.228
ˈøː	ˈɔ	0.149
ˈøː	ˈeː	0.137
ˈœ	ˈʏ	0.328
ˈœ	ˈʉ	0.263
ˈœ	ˈœ	0.174
ˈœ	ˈyː	0.12
ˈœ	ˈɛ	0.115
ˈɑ	ˈɑ	0.793
ˈɑ	ˈɛ	0.059
ˈɒː	ˈoː	0.495
ˈɒː	ˈɑ	0.204
ˈɒː	ˈɑː	0.185
ˈɒː	ˈæː	0.077
ˈɔ	ˈɔ	0.435
ˈɔ	ˈɑ	0.227
ˈɔ	ˈʉː	0.099
ˈɔ	-	0.096
ˈɔ	ˈʉ	0.077
ˈɔ	ˈœ	0.066
ˈɛ	ˈɪ	0.408
ˈɛ	ˈɛ	0.396
ˈɛ	ˈiː	0.196
ˈɛː	ˈæɪ̯	0.506
ˈɛː	ˈuː	0.161
ˈɛː	ˈeː	0.155
ˈɛː	ˈøː	0.126
ˈɪ	ˈɪ	0.684
ˈɪ	ˈɛ	0.104
ˈɪ	ˈʏ	0.094
ˈɪ	-	0.075
