West Flemish	Bokmål Norwegian	probability
b	b	1.0
d	tʰ	0.375
d	d	0.358
d	-	0.26
f	ʋ	1.0
h	-	0.428
h	tː	0.314
h	k	0.145
h	ɡ	0.08
j	j	0.488
j	-	0.13
j	ˈʊ	0.13
k	k	0.376
k	kʰ	0.362
k	-	0.124
k	ç	0.059
k	kː	0.048
l	l	0.817
l	lː	0.136
l	-	0.043
m	m	0.788
m	mː	0.125
m	n	0.082
n	n	0.372
n	ə	0.27
n	-	0.259
n	ɳ	0.05
n	nː	0.04
n_d	nː	0.482
n_t	nː	1.0
p	p	0.296
p	-	0.187
p	ɾ	0.187
p	pʰ	0.129
s	s	0.724
s	s_k	0.189
s	k_s	0.049
s	sː	0.041
t	-	0.348
t	t	0.311
t	d	0.099
t	tʰ	0.081
t	lː	0.052
t_ʋ	tʰ	1.0
v	f	0.657
v	-	0.18
v	ʋ	0.129
v	kʰ	0.034
w	l	0.357
w	ˈøː	0.27
z	s	0.922
z	ʂ	0.074
ç	-	0.482
ŋ	ŋː	0.842
ŋ	-	0.067
ŋ	ə	0.067
ə	-	0.587
ə	ə	0.386
ə	i	0.029
ɦ	ɡ	0.425
ɦ	-	0.276
ɦ	j	0.184
ɦ	ɡː	0.103
ɪ	ŋ	0.232
ɾ	ɾ	0.875
ɾ	-	0.045
ɾ	n	0.029
ʃ	f	0.574
ʃ	s	0.277
ʋ	ʋ	0.725
ʋ	-	0.272
ˈeː	ˈeː	0.29
ˈeː	ˈʉː	0.228
ˈeː	ˈiː	0.172
ˈeː	ˈæː	0.131
ˈeː	ˈɛ	0.09
ˈi	ˈiː	1.0
ˈiə̯	ˈyː	0.448
ˈiə̯	ˈiː	0.195
ˈiə̯	ˈeː	0.18
ˈiə̯	ˈʉː	0.107
ˈiə̯	ˈɛ	0.057
ˈoː	ˈøː	0.387
ˈoː	ˈuː	0.208
ˈoː	ˈœʏ̯	0.078
ˈoː	ˈoː	0.074
ˈoː	ˈɔ	0.074
ˈoː_t	ˈøː	1.0
ˈoː_ɾ	ˈuː	0.482
ˈu	ˈʉ	0.489
ˈu	ˈɑ	0.259
ˈu	-	0.081
ˈu	ˈʊ	0.077
ˈu	e	0.036
ˈuə̯	ˈuː	0.712
ˈuə̯	ˈœ	0.105
ˈuə̯	ˈʉː	0.089
ˈuə̯	ˈøː	0.07
ˈyː	ˈʉː	0.815
ˈyː	ˈʏ	0.145
ˈæ	ˈɛ	0.247
ˈæ	-	0.15
ˈæ	ˈɑ	0.104
ˈæ	ˈɪ	0.104
ˈæ	ˈœ	0.1
ˈøː	ˈœ	0.392
ˈøː	ˈeː	0.217
ˈøː	ˈʉː	0.217
ˈœ	ˈʉ	0.341
ˈœ	ˈɛ	0.164
ˈœ	ˈʏ	0.155
ˈœ	ˈyː	0.099
ˈœ	ˈœ	0.059
ˈɑ	ˈɑ	0.571
ˈɑ	ˈɑː	0.132
ˈɑ	ˈɛ	0.115
ˈɑ	ˈoː	0.059
ˈɑ	ˈɔ	0.059
ˈɒː	ˈoː	0.449
ˈɒː	ˈɑ	0.213
ˈɒː	ˈɑː	0.171
ˈɒː	ˈɛː	0.083
ˈɒː	ˈæɪ̯	0.066
ˈɔ	ˈɑ	0.314
ˈɔ	ˈɔ	0.273
ˈɔ	ˈʉː	0.18
ˈɔ	ˈœ	0.12
ˈɔ	-	0.055
ˈɛ	ˈɛ	0.348
ˈɛ	ˈɪ	0.348
ˈɛ	ˈiː	0.296
ˈɛː	ˈæɪ̯	0.443
ˈɛː	ˈuː	0.263
ˈɛː	-	0.12
ˈɛː	ˈeː	0.08
ˈɛː	ˈøː	0.038
ˈɪ	ˈɪ	0.544
ˈɪ	ˈʏ	0.221
ˈɪ	ˈæɪ̯	0.127
ˈɪ	ˈiː	0.088
ˈʏ	ˈʏ	0.112
