ID	Language_ID	Glottocode	ISO 639-3	Parameter_ID	Value	Form	Segments	Source_Form	Cognate_ID	Loan	Comment	Source
Old Chinese	Old Chinese			LOVE_VERB	愛	qɯːds	q ɯː d s		LOVE_VERB_1			
Middle Chinese	Middle Chinese			LOVE_VERB	愛	ʔʌi˥˩	ʔ ʌ i ˥˩		LOVE_VERB_1			
Standard Mandarin	Standard Mandarin			LOVE_VERB	ài	aj⁵¹	a j ⁵¹		LOVE_VERB_1			
Sichuanese	Sichuanese			LOVE_VERB	nɡai⁴	ŋaj²¹³	ŋ a j ²¹³		LOVE_VERB_1			
Jin	Jin			LOVE_VERB	ɡhai³	ɣaj⁴⁵	ɣ a j ⁴⁵		LOVE_VERB_1			
Xiang	Xiang			LOVE_VERB	nɡai⁴	ŋaj⁴⁵	ŋ a j ⁴⁵		LOVE_VERB_1			
Shanghainese	Shanghainese			LOVE_VERB	²e	e³⁴	e ³⁴		LOVE_VERB_1			
Gan	Gan			LOVE_VERB	nɡai⁴	ŋaj³⁵	ŋ a j ³⁵		LOVE_VERB_1			
Cantonese	Cantonese			LOVE_VERB	oi³	ɔːj³³	ɔː j ³³		LOVE_VERB_1			
Hoisanese	Hoisanese			LOVE_VERB	oi¹	wɔj³³	w ɔ j ³³		LOVE_VERB_1			
Sixian	Sixian			LOVE_VERB	oi	oj⁵⁵	o j ⁵⁵		LOVE_VERB_1			
Meixian	Meixian			LOVE_VERB	oi⁴	oj⁵³	o j ⁵³		LOVE_VERB_1			
Min Bei	Min Bei			LOVE_VERB	o̿	o³³	o ³³		LOVE_VERB_1			
Fuzhounese	Fuzhounese			LOVE_VERB	ó̤ɪ	ɔɥ²¹³	ɔ ɥ ²¹³		LOVE_VERB_1			
Teochew	Teochew			LOVE_VERB	àiⁿ	ãĩ²¹³	ã ĩ ²¹³		LOVE_VERB_1			
Taiwanese Hokkien	Taiwanese Hokkien			LOVE_VERB	ài	aj¹¹	a j ¹¹		LOVE_VERB_1			
Sino-Vietnamese	Sino-Vietnamese			LOVE_VERB	ái	ʔaːj˧˦	ʔ aː j ˧˦		LOVE_VERB_1			
Sino-Korean	Sino-Korean			LOVE_VERB	애	ɛ	ɛ		LOVE_VERB_1			
Sino-Japanese	Sino-Japanese			LOVE_VERB	あい	ai	a i		LOVE_VERB_1			
Old Chinese	Old Chinese			PEACE_NOUN	安	qaːn	q aː n		PEACE_NOUN_1			
Middle Chinese	Middle Chinese			PEACE_NOUN	安	ʔɑn˦	ʔ ɑ n ˦		PEACE_NOUN_1			
Standard Mandarin	Standard Mandarin			PEACE_NOUN	ān	an⁵⁵	a n ⁵⁵		PEACE_NOUN_1			
Sichuanese	Sichuanese			PEACE_NOUN	nɡan1	ŋan⁵⁵	ŋ a n ⁵⁵		PEACE_NOUN_1			
Jin	Jin			PEACE_NOUN	ɡhan1	ɣæ̃¹¹	ɣ æ̃ ¹¹		PEACE_NOUN_1			
Xiang	Xiang			PEACE_NOUN	nɡan1	ŋan³³	ŋ a n ³³		PEACE_NOUN_1			
Shanghainese	Shanghainese			PEACE_NOUN	1oe	ø⁵³	ø ⁵³		PEACE_NOUN_1			
Gan	Gan			PEACE_NOUN	nɡon1	ŋɵn⁴²	ŋ ɵ n ⁴²		PEACE_NOUN_1			
Cantonese	Cantonese			PEACE_NOUN	on1	ɔːn⁵⁵	ɔː n ⁵⁵		PEACE_NOUN_1			
Hoisanese	Hoisanese			PEACE_NOUN	on1	wɔn³³	w ɔ n ³³		PEACE_NOUN_1			
Sixian	Sixian			PEACE_NOUN	ôn	on²⁴	o n ²⁴		PEACE_NOUN_1			
Meixian	Meixian			PEACE_NOUN	on1	ɔn⁴⁴	ɔ n ⁴⁴		PEACE_NOUN_1			
Min Bei	Min Bei			PEACE_NOUN	úinɡ	ujŋ⁵⁴	u j ŋ ⁵⁴		PEACE_NOUN_1			
Fuzhounese	Fuzhounese			PEACE_NOUN	ănɡ	aŋ⁵⁵	a ŋ ⁵⁵		PEACE_NOUN_1			
Teochew	Teochew			PEACE_NOUN	uaⁿ	ũã³³	ũ ã ³³		PEACE_NOUN_1			
Taiwanese Hokkien	Taiwanese Hokkien			PEACE_NOUN	uann	wã⁴⁴	w ã ⁴⁴		PEACE_NOUN_1			
Sino-Vietnamese	Sino-Vietnamese			PEACE_NOUN	an	ʔaːn˧˧	ʔ aː n ˧˧		PEACE_NOUN_1			
Sino-Korean	Sino-Korean			PEACE_NOUN	안	an	a n		PEACE_NOUN_1			
Sino-Japanese	Sino-Japanese			PEACE_NOUN	あん	ãɴ	ã ɴ		PEACE_NOUN_1			
Old Chinese	Old Chinese			EIGHT_NUM	八	preːd	p r eː d		EIGHT_NUM_1			
Middle Chinese	Middle Chinese			EIGHT_NUM	八	pˠɛt̚	pˠ ɛ t̚		EIGHT_NUM_1			
Standard Mandarin	Standard Mandarin			EIGHT_NUM	bā	pa⁵⁵	p a ⁵⁵		EIGHT_NUM_1			
Sichuanese	Sichuanese			EIGHT_NUM	ba2	pa²¹	p a ²¹		EIGHT_NUM_1			
Jin	Jin			EIGHT_NUM	bah4	paʔ²	p a ʔ ²		EIGHT_NUM_1			
Xiang	Xiang			EIGHT_NUM	ba6	pa²⁴	p a ²⁴		EIGHT_NUM_1			
Shanghainese	Shanghainese			EIGHT_NUM	4paq	paʔ⁵⁵	p a ʔ ⁵⁵		EIGHT_NUM_1			
Gan	Gan			EIGHT_NUM	bat6	pat̚⁵	p a t̚ ⁵		EIGHT_NUM_1			
Cantonese	Cantonese			EIGHT_NUM	baatɜ	paːt̚³	p aː t̚ ³		EIGHT_NUM_1			
Hoisanese	Hoisanese			EIGHT_NUM	bat1	pat̚³³	p a t̚ ³³		EIGHT_NUM_1			
Sixian	Sixian			EIGHT_NUM	pat	pat̚²	p a t̚ ²		EIGHT_NUM_1			
Meixian	Meixian			EIGHT_NUM	bad5	pat̚¹	p a t̚ ¹		EIGHT_NUM_1			
Min Bei	Min Bei			EIGHT_NUM	băi	paj²⁴	p a j ²⁴		EIGHT_NUM_1			
Fuzhounese	Fuzhounese			EIGHT_NUM	báik	pajʔ²⁴	p a j ʔ ²⁴		EIGHT_NUM_1			
Teochew	Teochew			EIGHT_NUM	poih	pojʔ²	p o j ʔ ²		EIGHT_NUM_1			
Taiwanese Hokkien	Taiwanese Hokkien			EIGHT_NUM	pueh	pweʔ³²	p w e ʔ ³²		EIGHT_NUM_1			
Sino-Vietnamese	Sino-Vietnamese			EIGHT_NUM	bát	ʔ͡ɓaːt̚˧˦	ʔ͡ɓ aː t̚ ˧˦		EIGHT_NUM_1			
Sino-Korean	Sino-Korean			EIGHT_NUM	팔	pʰaɭ	pʰ a ɭ		EIGHT_NUM_1			
Sino-Japanese	Sino-Japanese			EIGHT_NUM	はち	haʨi	h a ʨ i		EIGHT_NUM_1			
Old Chinese	Old Chinese			HUNDRED_NUM	百	praːɡ	p r aː ɡ		HUNDRED_NUM_1			
Middle Chinese	Middle Chinese			HUNDRED_NUM	百	pˠæk̚	pˠ æ k̚		HUNDRED_NUM_1			
Standard Mandarin	Standard Mandarin			HUNDRED_NUM	bǎi	paj²¹⁴	p a j ²¹⁴		HUNDRED_NUM_1			
Sichuanese	Sichuanese			HUNDRED_NUM	be²	pɛ²¹	p ɛ ²¹		HUNDRED_NUM_1			
Jin	Jin			HUNDRED_NUM	bai²	paj⁵³	p a j ⁵³		HUNDRED_NUM_1			
Jin	Jin			HUNDRED_NUM	bieh⁴	pjəʔ²	p j ə ʔ ²		HUNDRED_NUM_1			
Xiang	Xiang			HUNDRED_NUM	be⁶	pɤ²⁴	p ɤ ²⁴		HUNDRED_NUM_1			
Shanghainese	Shanghainese			HUNDRED_NUM	4paq	paʔ⁵⁵	p a ʔ ⁵⁵		HUNDRED_NUM_1			
Gan	Gan			HUNDRED_NUM	bet⁶	pɛt̚⁵	p ɛ t̚ ⁵		HUNDRED_NUM_1			
Cantonese	Cantonese			HUNDRED_NUM	baak³	paːk̚³	p aː k̚ ³		HUNDRED_NUM_1			
Hoisanese	Hoisanese			HUNDRED_NUM	bak¹	pak̚³³	p a k̚ ³³		HUNDRED_NUM_1			
Sixian	Sixian			HUNDRED_NUM	pak	pak̚²	p a k̚ ²		HUNDRED_NUM_1			
Meixian	Meixian			HUNDRED_NUM	baɡ⁵	pak̚¹	p a k̚ ¹		HUNDRED_NUM_1			
Min Bei	Min Bei			HUNDRED_NUM	bă	pa²⁴	p a ²⁴		HUNDRED_NUM_1			
Fuzhounese	Fuzhounese			HUNDRED_NUM	báh	pɑʔ²⁴	p ɑ ʔ ²⁴		HUNDRED_NUM_1			
Teochew	Teochew			HUNDRED_NUM	peh	peʔ²	p e ʔ ²		HUNDRED_NUM_1			
Taiwanese Hokkien	Taiwanese Hokkien			HUNDRED_NUM	pah	paʔ³²	p a ʔ ³²		HUNDRED_NUM_1			
Taiwanese Hokkien	Taiwanese Hokkien			HUNDRED_NUM	peh	peʔ³²	p e ʔ ³²		HUNDRED_NUM_1			
Sino-Vietnamese	Sino-Vietnamese			HUNDRED_NUM	bách	ʔ͡ɓajk̟̚˧˦	ʔ͡ɓ a j k̟̚ ˧˦		HUNDRED_NUM_1			
Sino-Korean	Sino-Korean			HUNDRED_NUM	백	pɛk̚	p ɛ k̚		HUNDRED_NUM_1			
Sino-Japanese	Sino-Japanese			HUNDRED_NUM	ひゃく	çakɯ	ç a k ɯ		HUNDRED_NUM_1			
Sino-Japanese	Sino-Japanese			HUNDRED_NUM	はく	hakɯ	h a k ɯ		HUNDRED_NUM_1			
Old Chinese	Old Chinese			NORTH_NOUN	北	pɯːɡ	p ɯː ɡ		NORTH_NOUN_1			
Middle Chinese	Middle Chinese			NORTH_NOUN	北	pək̚	p ə k̚		NORTH_NOUN_1			
Standard Mandarin	Standard Mandarin			NORTH_NOUN	běi	pej²¹⁴	p e j ²¹⁴		NORTH_NOUN_1			
Sichuanese	Sichuanese			NORTH_NOUN	be²	pɛ²¹	p ɛ ²¹		NORTH_NOUN_1			
Jin	Jin			NORTH_NOUN	bei²	pej⁵³	p e j ⁵³		NORTH_NOUN_1			
Jin	Jin			NORTH_NOUN	bieh⁴	pjəʔ²	p j ə ʔ ²		NORTH_NOUN_1			
Xiang	Xiang			NORTH_NOUN	be⁶	pɤ²⁴	p ɤ ²⁴		NORTH_NOUN_1			
Shanghainese	Shanghainese			NORTH_NOUN	⁴poq	poʔ⁵⁵	p o ʔ ⁵⁵		NORTH_NOUN_1			
Gan	Gan			NORTH_NOUN	bet⁶	pɛt̚⁵	p ɛ t̚ ⁵		NORTH_NOUN_1			
Cantonese	Cantonese			NORTH_NOUN	bak¹	pɐk̚⁵	p ɐ k̚ ⁵		NORTH_NOUN_1			
Hoisanese	Hoisanese			NORTH_NOUN	bak²	pak̚⁵⁵	p a k̚ ⁵⁵		NORTH_NOUN_1			
Sixian	Sixian			NORTH_NOUN	pet	pet̚²	p e t̚ ²		NORTH_NOUN_1			
Meixian	Meixian			NORTH_NOUN	bêd⁵	pɛt̚¹	p ɛ t̚ ¹		NORTH_NOUN_1			
Min Bei	Min Bei			NORTH_NOUN	bă̤	pɛ²⁴	p ɛ ²⁴		NORTH_NOUN_1			
Fuzhounese	Fuzhounese			NORTH_NOUN	báe̤k	pɔɥʔ²⁴	p ɔ ɥ ʔ ²⁴		NORTH_NOUN_1			
Teochew	Teochew			NORTH_NOUN	pak	pak̚²	p a k̚ ²		NORTH_NOUN_1			
Taiwanese Hokkien	Taiwanese Hokkien			NORTH_NOUN	pak	pak̚³²	p a k̚ ³²		NORTH_NOUN_1			
Sino-Vietnamese	Sino-Vietnamese			NORTH_NOUN	bắc	ʔ͡ɓak̚˧˦	ʔ͡ɓ a k̚ ˧˦		NORTH_NOUN_1			
