Latin	Latin	probability
ˈʊ_ŋ	ˈũ	1.0
ˈɛ_rː	ˈɛ_r	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈũ	1.0
ˈɔ_m	ˈo	1.0
ˈu	-	1.0
ˈoː_n	ˈũ	1.0
ˈoe̯	ˈeː	1.0
ˈĩː	ˈi	1.0
ˈiː_r	ˈi	1.0
ˈiː_n	ˈĩ	1.0
ˈiː_lʲ	j_ˈøː	1.0
ˈi	-	1.0
ˈeː_r	ˈɛ	1.0
ˈe	ˈe	1.0
ˈaː_r	ˈa	1.0
ˈaː_n	ˈã	1.0
ˈae̯	ˈe	1.0
ˈa_ŋ	ˈã	1.0
ˈa_sː	ˈa_s	1.0
ˈa_n	ˈã	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	r	1.0
ʊ_ɫ	j	1.0
ɫ_ʊ̃ː	ʧ	1.0
ɫ_ɛ̃ː	l	1.0
ɪ̃	-	1.0
ɡ_ɛ	ʧ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	r	1.0
ɛ̃	-	1.0
ɛ_#>	#>	1.0
ŋ_n	ɲ	1.0
w_ɛ̃ː	f	1.0
w_ɛ	ẽ	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	d	1.0
t_ɛ̃ː_#>	#>	1.0
t_r	d_e	1.0
t_i	s	1.0
t_e	s	1.0
sː	s	1.0
s_t	s_t	1.0
s_k	s	1.0
s_#>	#>	1.0
r_ˈaː	r_ˈɑː	1.0
r_ʊ̃ː	r	1.0
r_ɛ̃ː	r	1.0
r_ɛ_#>	#>	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_m	r_m	1.0
p_ɛ	v	1.0
oː	-	1.0
o	-	1.0
nː	-	1.0
n_ʊ̃ː_#>	#>	1.0
n_t	t	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
mː	m	1.0
lʲː	l	1.0
lʲ_i	j	1.0
lʲ	l	1.0
kː	k	1.0
k_ˈa	k_ˈa	1.0
k_ʊ̃ː_#>	k_#>	1.0
k_ʊ	ˈœ	1.0
k_ɫ	ʧ	1.0
k_ɛ̃ː	s	1.0
k_s	ɡ	1.0
k_r	k_r	1.0
j	ʒ	1.0
ĩː	ĩ	1.0
iː	-	1.0
i_ʊ̃ː	l	1.0
f	f	1.0
e	-	1.0
d_ʊ̃ː	t	1.0
d_ɛ̃ː	t	1.0
ãː_#>	#>	1.0
ãː	a	1.0
ae̯	-	1.0
a_r	a_r	1.0
<#_ˈɔ	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#	<#_v	1.0
m	m	0.906
r	r	0.824
ˈiː	ˈiː	0.818
b	b	0.808
s	s	0.786
ˈuː	ˈyː	0.765
p	p	0.762
a	a	0.762
n	n	0.76
ˈaː	ˈɑː	0.75
k_t	t	0.75
ˈɛ	ˈɛ	0.733
w	v	0.731
i	-	0.714
aː	a	0.714
ɫ	l	0.605
ˈau̯	ˈoː	0.6
p_ʊ̃ː_#>	p_#>	0.6
eː	e	0.6
d	d	0.533
ˈɔ	ˈɔ	0.52
t	t	0.516
ˈa	ˈɑː	0.5
ʊ	-	0.5
ɛ	e	0.5
ɔ	u	0.5
ɔ	-	0.5
ŋ	k	0.5
ŋ	-	0.5
d	-	0.467
ɪ	-	0.409
ˈau̯	-	0.4
ɛ	-	0.4
p_ʊ̃ː_#>	#>	0.4
eː	i	0.4
ɡ	ɡ	0.391
ˈa	ˈa	0.367
ˈʊ	ˈuː	0.353
ˈʊ	ˈu	0.353
ˈɪ	ˈeː	0.353
ˈeː	ˈɛ	0.333
ˈeː	ˈeː	0.333
kʷ	k	0.333
ˈɔ	ˈøː	0.32
ˈoː	ˈuː	0.308
ˈoː	-	0.308
ʊ	u	0.3
ˈʊ	-	0.294
i	j	0.286
aː	-	0.286
k	k	0.28
ɪ	e	0.273
ɡ	-	0.261
t	d	0.258
ˈaː	ˈa	0.25
k_t	ʧ	0.25
k	ʧ	0.24
k	ɡ	0.24
ɫ	j	0.237
ˈɪ	ˈɛ	0.235
ˈɪ	-	0.235
ˈoː	ˈyː	0.231
ɪ	i	0.227
kʷ	ʧ	0.222
kʷ	ɡ_w	0.222
kʷ	w	0.222
s	z	0.214
ʊ	y	0.2
w	-	0.192
ˈiː	ˈi	0.182
ˈɪ	ˈe	0.176
ɡ	ʤ	0.174
ˈeː	ˈi	0.167
ˈeː	-	0.167
ˈɔ	ˈu	0.16
k	-	0.16
ɫ	-	0.158
ˈoː	ˈu	0.154
p	-	0.143
a	-	0.143
ˈɛ	ˈeː	0.133
ˈɛ	ˈe	0.133
ˈuː	ˈỹ	0.118
ˈuː	ˈi	0.118
b	v	0.115
ɛ	z	0.1
t	-	0.097
p	v	0.095
a	ã	0.095
m	-	0.094
ɪ	u	0.091
ɡ	ʧ	0.087
ɡ	ʒ	0.087
n	ˈẽ	0.08
n	ɲ	0.08
n	-	0.08
k	s	0.08
w	ˈøː_f	0.077
b	-	0.077
ˈa	ˈɔ	0.067
ˈa	ˈã	0.067
t	ʧ	0.065
t	s	0.065
r	ˈɛ	0.059
r	e	0.059
r	-	0.059
