Lombard	Romanian	probability
ẽ	e	1.0
n	n	1.0
o	u	1.0
v	v	1.0
ˈaː	ˈa	1.0
ˈiː	ə	1.0
ˈĩː	ˈi	1.0
ˈỹː	u	1.0
ˈøː	ˈo	1.0
ˈˈi	ˈe	1.0
a	e	0.241
ã	i	0.661
b	b	0.751
f	-	0.111
ĩ	n	0.391
ĩ	j	0.391
j	l	0.251
t	-	0.071
u	ˈo	0.051
u	ə	0.121
ɲ	j	0.201
ɲ	m	0.351
ʃ	s	0.281
ʋ	-	0.361
ʧ	p_t	0.111
ˈe	ˈi	0.131
ˈe	e̯ˈa	0.291
ˈo	ˈu	0.661
ˈuː	ˈu	0.351
ˈyː	o̯ˈa	0.471
ˈɛ	ˈe	0.611
d	-	0.112
d	t	0.2
e	e	0.472
j	ˈi	0.072
s	-	0.102
s	s	0.512
ɡ	m	0.112
ʃ	t	0.192
ʤ	ʒ	0.2
ˈãː	e	0.062
ˈãː	-	0.112
ˈẽː	ˈɨ	0.092
ˈi	ˈu	0.072
ˈi	ˈi	0.772
ˈø	ˈu	0.302
ˈɔ	o̯ˈa	0.22
ˈɛ	-	0.092
a	ə	0.503
j	j	0.113
l	r	0.173
s	ʃ	0.193
z	ʧ	0.923
ʋ	v	0.543
ʤ	ʤ	0.343
ʧ	k	0.163
ʧ	ʧ	0.323
ˈãː	ɨ	0.063
ˈãː	ˈɨ	0.703
ˈeː	ˈe	0.73
ˈi	j	0.053
ˈy	ˈo	0.053
ˈø	o̯ˈa	0.33
ˈɔ	ˈu	0.103
ˈɔ	ˈo	0.403
ˈɛ	ˈa	0.163
d	ʦ	0.074
e	o	0.074
e	-	0.144
f	f	0.654
i	e	0.534
k	p	0.074
m	-	0.054
p	p	0.934
r	r	0.94
u	-	0.144
ɛ	ə	0.714
ˈa	ˈa	0.714
ˈẽː	-	0.244
ˈy	ˈu	0.354
ˈyː	ˈo	0.124
e	u	0.115
t	t	0.75
w	-	0.5
w	z	0.5
ʦ	ʦ	0.275
ʧ	kʲ	0.185
ˈa	ˈɨ	0.165
ˈẽː	ˈi	0.665
ˈu	ˈu	0.725
ˈũː	ŋ	0.365
ˈy	ˈa	0.195
ˈyː	ˈu	0.405
ˈɛ̃ː	ˈu	0.5
ˈɛ̃ː	ˈi	0.5
l	l	0.606
p	t	0.066
ɛ	-	0.286
ʋ	ˈu	0.056
ˈãː	ˈe	0.06
ˈi	-	0.06
ˈy	-	0.226
i	-	0.167
ĩ	i	0.217
z	ʦ	0.077
ɡ	b	0.067
ʦ	ʧ	0.317
ʧ	t	0.157
ˈe	ˈɨ	0.067
ˈeː	ˈi	0.27
ˈu	ˈo	0.107
ˈũː	ˈu	0.547
ˈɛ	ˈi	0.057
s	ʧ	0.128
ɡ	-	0.278
ɲ	n	0.448
ʃ	ʃ	0.528
ʤ	k	0.198
ʤ	ɡ	0.218
ʦ	z	0.118
ˈu	o̯ˈa	0.168
ˈũː	-	0.088
ˈy	u	0.128
ˈø	ˈo	0.368
ˈɔ	ˈau̯	0.228
a	-	0.149
ã	ɨ	0.339
b	r	0.249
d	d	0.589
e	ə	0.129
f	w	0.209
i	i	0.299
j	-	0.49
k	ʧ	0.059
k	k	0.789
l	-	0.19
m	m	0.9
u	u	0.649
ɡ	ɡ	0.479
ʦ	ʤ	0.289
ˈe	-	0.059
ˈe	ˈe	0.389
ˈo	o̯ˈa	0.339
ˈuː	ˈa	0.649
