Logudorese	Latin	probability
d	d	1.0
f	f	1.0
p	p	1.0
s	s	1.0
v	b	1.0
ŋ	ŋ	1.0
ɖ	d	1.0
ɖː	lʲː	1.0
ɡ	ɡ	1.0
ɲː	n	1.0
ʦ	t	1.0
e	ɛ̃ː	0.321
l	ɫ	0.711
n	-	0.061
ʣ	-	0.981
ˈe	ˈeː	0.341
a	ãː	0.662
i	ʊ	0.232
j	i	0.92
m	ŋ	0.122
r	ɫ	0.072
ˈi	ɪ	0.052
i	-	0.103
o	oː	0.383
ˈu	ˈu	0.073
β	b	0.573
a	aː	0.064
l	l	0.244
nː	n	0.814
rː	r_n	0.54
sː	sː	0.424
z	s	0.824
ɣ	-	0.064
ˈo	ˈʊ	0.064
e	-	0.075
i	iː	0.085
k	kʷ	0.055
k	kː	0.105
r	r	0.855
t	k_t	0.115
ð	t	0.805
ˈo	ˈoː	0.185
ˈu	ˈuː	0.395
a	a	0.166
b	kʷ	0.066
nː	nː	0.186
rː	rː	0.46
sː	s	0.576
t	t	0.796
ð	-	0.096
ɣ	k	0.936
ˈa	ˈa	0.456
ˈe	ˈɛ	0.596
ˈo	ˈɔ	0.726
ˈu	ˈʊ	0.516
a	i_ãː	0.057
b	ɡ	0.077
b	b	0.327
o	ɔ	0.617
z	-	0.107
i	ɛ	0.08
j	j	0.08
k	k	0.828
m	m	0.878
ð	d	0.098
ˈa	ˈaː	0.448
ˈi	ˈiː	0.498
β	p	0.398
b	w	0.489
e	ɛ	0.479
i	ɪ	0.399
n	n	0.939
t	tː	0.09
u	ʊ	0.059
u	ʊ̃ː	0.859
z	d_i	0.069
ˈi	ˈɪ_ɡ	0.059
ˈi	ˈɪ	0.249
