Bokmål Norwegian	Old Norse	probability
b	b	1.0
d	d	0.643
d	ð	0.205
d	t	0.102
e	a	1.0
f	f	0.965
h	h	1.0
i	i	0.903
i	ɑ	0.097
j	ɟ	0.291
j	j	0.253
j	ç	0.199
j	-	0.076
j	ˈɛi̯	0.05
k	k	0.769
k	c	0.212
kʰ	kʰ	0.896
kʰ	cʰ	0.104
kː	kː	0.78
kː	cː	0.22
l	l	0.781
l	ɣ_l	0.108
l	lː	0.058
l	l̥	0.053
lː	l	0.635
lː	lː	0.284
m	m	0.944
m	mː	0.056
mː	m	0.751
mː	mː	0.249
n	n	0.853
n	nː	0.126
nː	n	0.608
nː	nː	0.367
p	p	1.0
pː	pː	1.0
s	s	0.932
sː	s	0.904
sː	sː	0.096
t	t	1.0
tʰ	θ	0.67
tʰ	tʰ	0.284
tː	tː	0.616
tː	t	0.384
ŋ	ŋ	1.0
ŋː	ŋ	1.0
ɕ	cʰ	0.942
ə	ɑ	0.455
ə	-	0.172
ə	i	0.134
ə	a	0.109
ɡ	ɡ	0.672
ɡ	ɣ	0.3
ɡː	ɡː	0.789
ɡː	ɟː	0.211
ɪ	i	0.5
ɪ	ɑ	0.5
ɳ	r_n	1.0
ɾ	r	0.813
ɾ	rː	0.102
ʂ	s	0.543
ʂ	m	0.457
ʃ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	v	0.898
ʋ	x_w	0.078
ˈeː	ˈɛ	0.214
ˈeː	ˈi	0.199
ˈeː	ˈeː	0.157
ˈeː	ˈɛi̯	0.13
ˈeː	ˈɑː	0.129
ˈeː	ˈɛː	0.055
ˈeː	-	0.053
ˈiː	ˈiː	0.584
ˈiː	ˈe	0.126
ˈiː	ˈi	0.093
ˈiː	ˈoː	0.082
ˈiː	ˈyː	0.07
ˈoː	ˈɑː	0.81
ˈoː	ˈɛː	0.108
ˈuː	ˈoː	0.445
ˈuː	ˈo	0.284
ˈuː	ˈɔː	0.108
ˈuː	ˈɔ	0.094
ˈyː	ˈyː	0.373
ˈyː	j_ˈoː	0.289
ˈyː	j_ˈuː	0.168
ˈyː	ˈoː	0.075
ˈæ	ˈe	0.645
ˈæ	ˈɛ	0.289
ˈæ	ˈɑ	0.066
ˈæɪ̯	ˈɛi̯	0.569
ˈæɪ̯	ˈe	0.311
ˈæɪ̯	ˈi	0.069
ˈæɪ̯	ˈɑ	0.051
ˈæː	ˈe	0.341
ˈæː	ˈɑ	0.311
ˈæː	ˈɛː	0.163
ˈæː	ˈeː	0.097
ˈæː	ˈɔ	0.089
ˈøː	ˈɑu̯	0.274
ˈøː	ˈøː	0.228
ˈøː	ˈɒu̯	0.134
ˈøː	ˈøy̯	0.11
ˈøː	-	0.072
ˈøː	ˈɔ	0.057
ˈøː	ˈɛː	0.053
ˈœ	ˈøː	0.278
ˈœ	ˈɑu̯	0.156
ˈœ	ˈy	0.113
ˈœ	ˈo	0.103
ˈœ	ˈu	0.096
ˈœ	ˈi	0.094
ˈœ	ˈøy̯	0.094
ˈœʏ̯	ˈøy̯	1.0
ˈɑ	ˈɑ	0.681
ˈɑ	ˈɔ	0.146
ˈɑ	ˈa	0.127
ˈɑː	ˈɑ	0.894
ˈɑː	ˈe	0.068
ˈɔ	ˈo	0.668
ˈɔ	ˈu	0.107
ˈɔ	ˈɑː	0.107
ˈɔ	ˈy	0.072
ˈɛ	ˈɛ	0.416
ˈɛ	ˈɑ	0.194
ˈɛ	ˈe	0.173
ˈɛ	-	0.067
ˈɛ	ˈi	0.059
ˈɛː	ˈe	1.0
ˈɪ	ˈi	0.863
ˈɪ	ˈe	0.068
ˈʉ	ˈu	0.987
ˈʉː	ˈuː	0.669
ˈʉː	ˈu	0.144
ˈʉː	ˈo	0.063
ˈʊ	ˈu	0.506
ˈʊ	ˈo	0.494
ˈʏ	ˈy	0.669
ˈʏ	ˈu	0.198
ˈʏ	ˈyː	0.067
ˈʏ	ˈɒu̯	0.067
