Ladin	Neapolitan	probability
a	ə	0.764
a	a	0.2
a_v	p	1.0
b	b	0.519
b	v	0.388
b	-	0.087
d	t	0.312
d	d	0.307
d	k_k	0.125
d	ɾ	0.103
d	-	0.097
d_e	ə	1.0
e	ə	0.521
e	i	0.226
e	-	0.116
e	ʃ_ə	0.084
e_s	ə	1.0
f	f	0.675
f	v_ə	0.23
f	p_ə	0.082
f_l	ʃ	1.0
i	i	0.25
i	-	0.231
i	a	0.19
i	ə	0.19
j	j	0.373
j	-	0.301
j	ʎ	0.088
j	i	0.085
j	ɲ	0.056
j	ɾ	0.056
j	l	0.051
j_r	ɾ	1.0
j_ˈe	ˈe	0.078
k	k	0.687
k	k_ə	0.246
k	ɡ	0.057
l	l	0.704
l	j	0.183
l	-	0.053
m	m	0.86
n	n	0.971
o	u	0.458
o	-	0.141
o	a	0.093
o	ɲ	0.093
o	o	0.078
o	ˈo	0.076
o	ˈu	0.067
p	p	0.89
p	k	0.107
r	ɾ	0.691
r	r	0.195
r	-	0.088
r_j	ɾ	1.0
s	s	0.86
s	ʃ	0.093
t	t	0.883
t	d_ə	0.053
u	a	0.304
u	u	0.304
v	v	0.71
v	p	0.184
v	-	0.052
v	ʤ	0.052
w	-	0.427
w	w	0.274
w	ˈɔ	0.251
z	s	1.0
ŋ	ŋ	0.901
ŋ	n	0.092
ɡ	k	0.331
ɡ	ɡ	0.323
ɡ	-	0.305
ɲ	ɲ	0.823
ɲ	ɲ_ə	0.171
ʃ	ʃ	0.58
ʃ	ʃ_ə	0.236
ʃ	s	0.079
ʃ	ʧ	0.066
ʃ	ʦ	0.056
ʒ	ʤ	0.465
ʒ	s	0.162
ʒ	ʃ	0.141
ʒ	-	0.093
ʒ	v	0.081
ʒ	d	0.061
ʤ	ʤ	1.0
ʥ	k	0.297
ʥ	j	0.258
ʥ	ɡ	0.157
ʦ	ʦ	0.583
ʦ	ʃ	0.194
ʦ	ʦ_ə	0.154
ʧ	ʃ	1.0
ʨ	k	0.617
ʨ	ʃ	0.251
ʨ	-	0.071
ˈa	ˈa	0.936
ˈe	ˈi	0.347
ˈe	ˈa	0.283
ˈe	ˈe	0.199
ˈe_j	ˈe	0.75
ˈe_j	ˈɛ	0.24
ˈi	ˈi	0.955
ˈo	ˈu	0.551
ˈo	ˈo	0.38
ˈo_s	ˈu	0.529
ˈu	ˈu	0.916
ˈu	ˈi	0.084
ˈɔ	ˈɔ	0.827
ˈɔ	ˈu	0.121
ˈɔ	ˈo	0.051
ˈɛ	ˈɛ	0.52
ˈɛ	ˈa	0.203
ˈɛ	ˈɔ	0.097
ˈɛ	-	0.083
