Romanian	Romanian	probability
ˈɨ_n	n	1.0
ˈɨ_j	ˈa	1.0
ˈə	ˈe	1.0
ˈo_j	ˈu	1.0
ˈi_r	ˈi	1.0
ˈe_r	ˈi	1.0
ˈau̯	ˈɔ	1.0
ˈa_t	d	1.0
ʧʲ	-	1.0
ʧ_e	s_i	1.0
ʦʲ	ʧ	1.0
ʒ	z	1.0
ʃ_t	s	1.0
ʃ	s	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	d	1.0
u_#>	#>	1.0
t_#>	t_#>	1.0
r_u	e_r	1.0
r_t	r_t	1.0
r_k	r_k	1.0
r_e_#>	#>	1.0
r_#>	l_#>	1.0
o	o	1.0
n_#>	#>	1.0
m_n	ɲ	1.0
m_e_#>	m_#>	1.0
kʲ	ʧ	1.0
k_r	k_r	1.0
k_#>	#>	1.0
j_ˈe	ˈɛ	1.0
j	-	1.0
f_r	b	1.0
f	f	1.0
e̯ˈa	ˈe	1.0
e_#>	#>	1.0
d_#>	t_#>	1.0
b_u	u	1.0
a	a	1.0
<#_ˈo	<#_ˈø	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ə	a	0.891
s	s	0.871
b	b	0.833
m	m	0.815
u	o	0.8
k	k	0.8
ˈɨ	ˈa	0.778
r	r	0.767
ˈa	ˈa	0.739
t	t	0.737
p	p	0.735
p_t	t	0.714
n	n	0.71
ˈi_n	ˈi	0.7
ʦ	s	0.667
l	l	0.667
d	d	0.667
ʤ	z	0.636
w	-	0.625
ʧ	s	0.6
e	e	0.519
ˈo	ˈɔ	0.5
ˈo	ˈø	0.5
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
ɨ	a	0.5
ɨ	-	0.5
o̯ˈa	ˈɔ	0.471
i	e	0.444
ʧ	-	0.4
w	f	0.375
ˈi	ˈe	0.333
ʦ	-	0.333
l	j	0.333
i	i	0.333
d	-	0.333
#>	s_#>	0.333
#>	l_#>	0.333
#>	k_#>	0.333
ˈu	ˈu	0.303
ˈi_n	ˈe	0.3
ˈi	ˈi	0.286
p_t	ʧ	0.286
t	d	0.263
ˈi	-	0.238
o̯ˈa	ˈu	0.235
ˈɨ	-	0.222
i	-	0.222
e	-	0.222
ˈu	ˈø	0.212
u	ˈɛ	0.2
e	a	0.185
ˈu	ˈy	0.182
ˈu	ˈo	0.182
ʤ	ʤ	0.182
ʤ	-	0.182
p	-	0.176
o̯ˈa	-	0.176
b	ŋ	0.167
ˈi	ˈɛ	0.143
r	l	0.14
s	-	0.129
n	-	0.129
o̯ˈa	ˈo	0.118
k	-	0.114
m	-	0.111
ə	-	0.109
n	ɲ	0.097
ˈa	ˈɛ	0.087
ˈa	-	0.087
k	ɡ	0.086
m	l	0.074
e	f	0.074
n	ŋ	0.065
ˈu	ˈɔ	0.061
ˈu	ˈe	0.061
p	w	0.059
