Western Lombard	Aromanian	probability
b	b	1.0
i	i	1.0
n	n	1.0
p	p	1.0
u	u	1.0
w	-	1.0
ɡ	-	1.0
ʦ	ʦ	1.0
ˈaː	ˈa	1.0
ˈãː	ˈɨ	1.0
ˈẽː	ˈi	1.0
ˈĩː	ˈi	1.0
ˈũː	ˈu	1.0
ˈø	ˈo	1.0
ˈøː	ˈo	1.0
a	ə	0.71
ʋ	-	0.261
ˈa	ˈa	0.731
ˈe	ˈi	0.1
ˈy	-	0.421
e	i	0.912
s	s	0.62
ɲ	ɲ	0.732
ʋ	j	0.402
ˈɛ	ˈe	0.532
a	i	0.143
f	f	0.283
ʤ	-	0.233
ˈe	ˈe	0.543
ˈɔ	ˈa	0.233
ˈɛ	ˈa	0.263
l	r	0.254
ˈi	ˈi	0.774
ˈu	ˈu	0.914
ˈɛ	e̯ˈa	0.204
d	t	0.175
d	d	0.825
j	l	0.265
j	-	0.735
k	-	0.095
m	ɲ	0.305
r	r_i	0.085
r	r	0.915
s	ʃ	0.115
ʧ	-	0.295
k	p	0.056
l	l	0.746
m	m	0.676
s	ʃ_t	0.266
t	t_i	0.116
t	t_u	0.126
ʧ	t_i	0.296
ˈi	ˈi_r	0.226
ˈu	ˈo	0.086
f	ç	0.377
ʋ	v	0.337
ʤ	ʣ	0.767
ˈe	e̯ˈa	0.357
ˈɔ	ˈo	0.767
a	-	0.148
e	r_i	0.088
ɲ	n	0.268
f	w	0.339
k	k	0.849
t	t	0.759
ʧ	ʦ	0.409
ˈa	ˈa_r	0.269
ˈy	ˈu	0.579
