Gan	Gan	probability
⁵	²⁴	1.0
⁴²	³³	1.0
ʦ	ʦ	1.0
ʔ	-	1.0
ɵ_t̚	e	1.0
ɛ_t̚	ɤ	1.0
ɛ_n	ẽ	1.0
ɕ	ɕ	1.0
ɔ_ʔ	o	1.0
ŋ̍	u	1.0
ŋ	n	1.0
²⁴	¹³	1.0
²	²⁴	1.0
z̩	z̩	1.0
y	y	1.0
u_ʔ	w	1.0
t̚	-	1.0
t	t	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɛ	ə	1.0
j_²¹³	j_⁴⁵	1.0
j_e	y	1.0
i_t̚	i	1.0
h	x	1.0
a_³⁵	a_¹³	1.0
a_t̚	a	1.0
<#_ŋ	<#_ŋ	1.0
<#_u	<#_w_ə	1.0
<#	<#_ɕ	1.0
w	w	0.92
s	s	0.909
ɔ	a	0.889
²¹³	⁴¹	0.882
³⁵	¹³	0.87
¹¹	²¹	0.846
j	j	0.818
i	i	0.812
l	l	0.778
pʰ	p	0.75
f	ɸ	0.75
ʨ	ʨ	0.714
ɛ	ɒ	0.714
a	a	0.714
ɵ_n	ẽ	0.6
ɥ	j	0.6
u	ə	0.562
ʨʰ	ʨʰ	0.556
tʰ	t	0.556
ʦʰ	ʦʰ	0.5
ɵ	ɤ	0.5
ɵ	a	0.5
ɨ	ə	0.5
ɨ	-	0.5
nʲ	nʲ	0.5
ʨʰ	ʨ	0.444
tʰ	tʰ	0.444
ɵ_n	õ	0.4
ɥ	ɥ	0.4
ʦʰ	ʦ	0.333
ʨ	-	0.286
ɛ	ə	0.286
u	-	0.25
pʰ	pʰ	0.25
nʲ	ʐ	0.25
nʲ	-	0.25
f	x	0.25
l	l̃	0.222
u	u	0.188
i	j_ə	0.188
j	ə	0.182
ʦʰ	-	0.167
¹¹	⁴⁵	0.154
a	ɒ	0.143
³⁵	⁴⁵	0.13
²¹³	⁴⁵	0.118
ɔ	æ	0.111
s	ʂ	0.091
w	-	0.08
a	ɤ	0.071
a	ə	0.071
