Spanish	Piedmontese	probability
d	d	1.0
f	f	1.0
k	k	1.0
m	m	1.0
p	p	1.0
r	r	1.0
ŋ	ŋ	1.0
ɟ͡ʝ	p	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʝ	-	1.0
ʧ	t	1.0
ˈi	ˈi	1.0
l	-	0.061
n	<#_f	0.071
o	j	0.251
ˈe	ˈe	0.181
ˈo	ˈɔ	0.291
β	b	0.101
o	u	0.152
ɣ	-	0.602
ɾ	-	0.202
ˈu	ˈy	0.492
a	-	0.103
b	b	0.243
e	a	0.083
e	u	0.153
s	s	0.933
w	w	0.33
β	v	0.83
x	-	0.944
ɾ	e	0.14
j	ˈi	0.125
n	ŋ	0.525
t	s	0.055
ð	d	0.25
ð	-	0.45
ˈe	-	0.395
a	a	0.856
e	e	0.646
j	-	0.156
x	ʤ	0.056
b	v	0.757
e	-	0.117
l	l	0.927
n	-	0.077
n	n	0.327
s	-	0.067
w	-	0.67
ˈa	ˈa	0.967
ˈe	ˈɛ	0.337
θ	z	0.327
o	ˈø	0.078
o	-	0.38
ɣ	ɡ	0.398
ɾ	r	0.658
ˈu	ˈu	0.508
j	ˈe	0.719
o	ˈɔ	0.139
t	t	0.899
ð	t	0.299
ˈo	ˈø	0.119
ˈo	ˈu	0.549
β	-	0.069
θ	s	0.639
