Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	ˈœ	1.0
ˈœʏ̯	ˈiː	1.0
ˈæː	-	1.0
ˈuː_ɾ	ʀ_d̥	1.0
ʋ_ə	ə	1.0
ʈː	ʀ_t	1.0
ʈ	t	1.0
ɪ	i	1.0
ɡː	-	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
tː_ə	tʲ	1.0
tʰ_ɾ	t_ʀ	1.0
sː	s	1.0
s_ə	z_ə	1.0
s_k	ʃ	1.0
s	s	1.0
pː	p	1.0
pʰ	p	1.0
nː_ə	n	1.0
mː	m	1.0
m	m	1.0
kʰ	k	1.0
k_#>	k_#>	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_ˈɔ	<#	1.0
<#_ɾ	<#_ʀ	1.0
<#_ç	<#	1.0
l	l	0.944
n	n	0.931
ˈœ	-	0.833
d	d	0.824
tʰ	t	0.812
p	p	0.778
ɾ	ʀ	0.768
ˈʉ	ˈʊ	0.714
ɳ	ʀ_n	0.714
ˈyː	ˈiː	0.7
nː	n	0.688
ʋ	v	0.679
ˈiː	ˈi	0.667
ə	ə	0.638
tː	x_t	0.625
t	t	0.625
ˈæɪ̯	ˈiː	0.6
lː	l	0.6
ʂ	s	0.571
ˈɑː	-	0.556
ɡ	ɡ	0.5
kː	ŋ_k	0.5
kː	k	0.5
<#	<#_v	0.5
<#	<#_j	0.5
j	-	0.462
ˈʉː	ˈʏ	0.444
ˈɑː	ˈɒː	0.444
ˈoː	-	0.438
ˈʏ	-	0.429
ˈɔ	-	0.429
ʂ	ʃ	0.429
ˈæɪ̯	-	0.4
ˈeː	ˈiː	0.375
ˈeː	-	0.375
tː	t	0.375
k	x	0.375
k	k	0.375
ˈɪ	ˈi	0.357
ɡ	j	0.357
ə	-	0.348
ˈiː	-	0.333
#>	v̥_#>	0.333
ˈɛ	ˈa	0.3
ˈɛ	-	0.3
ˈyː	-	0.3
ˈøː	ˈuː	0.294
t	tʲ	0.292
ˈʏ	ˈʊ	0.286
ˈʏ	ˈeː	0.286
ˈɪ	ˈa	0.286
ˈɔ	ˈɔ	0.286
ˈɔ	ˈa	0.286
ɳ	ʀ	0.286
ˈuː	ˈɔ	0.267
ˈuː	ˈœ	0.267
ˈɑ	ˈɒ	0.261
ˈeː	ˈɛː	0.25
k	k_ə	0.25
#>	d̥_#>	0.25
ˈøː	ˈyː_dʲ	0.235
j	h	0.231
ˈʉː	-	0.222
p	-	0.222
ˈɪ	-	0.214
ˈɛ	ˈiː	0.2
ˈɛ	ˈeː	0.2
ˈuː	-	0.2
lː	lʲ	0.2
lː	l_ə	0.2
ˈoː	ˈɔu̯	0.188
tʰ	d	0.188
nː	nʲ	0.188
ʋ	-	0.179
ˈøː	ˈɛ	0.176
ˈøː	ˈiː	0.176
d	-	0.176
ˈɑ	ˈœ	0.174
ˈʉː	ˈɔː	0.167
ˈʉː	ˈœː	0.167
ˈœ	ˈʏ	0.167
#>	nʲ_#>	0.167
j	ɡ	0.154
j	x	0.154
ˈʉ	ˈʏ	0.143
ˈʉ	-	0.143
ˈɪ	ˈai̯	0.143
ɡ	-	0.143
ˈuː	ˈɔu̯	0.133
ˈuː	ˈœ_dʲ	0.133
ˈɑ	ˈʊ	0.13
ˈɑ	ˈɔː	0.13
ˈɑ	ˈuː	0.13
ˈoː	ˈɛi̯	0.125
ˈoː	ˈyː	0.125
ˈoː	ˈuː	0.125
ɾ	ə_ʀ	0.125
nː	z̥	0.125
ˈøː	-	0.118
ʋ	ə	0.107
ˈɑ	ˈeː	0.087
ˈɑ	-	0.087
t	z	0.083
#>	z̥_#>	0.083
#>	k_#>	0.083
#>	dʲ_ə_#>	0.083
ɾ	-	0.071
n	nʲ	0.069
l	-	0.056
